Ticker,Description,fLK+lF,Yahoo_Ticker
VFV,Vanguard S&P 500 Index ETF,$35.25 B,VFV.TO
XIC,iShares Core S&P/TSX Capped Composite Index ETF,$33.90 B,XIC.TO
ZSP,BMO S&P 500 Index ETF,$24.53 B,ZSP.TO
XEF,iShares Core MSCI EAFE IMI Index ETF,$23.81 B,XEF.TO
XIU,iShares S&P/TSX 60 Index ETF,$22.44 B,XIU.TO
XEQT,iShares Core Equity ETF,$22.33 B,XEQT.TO
VUN,Vanguard Morningstar U.S. Total Market Index ETF,$19.72 B,VUN.TO
ZCN,BMO S&P/TSX Capped Composite Index ETF,$18.21 B,ZCN.TO
VCN,Vanguard FTSE Canada All Cap Index ETF,$17.60 B,VCN.TO
VEQT,Vanguard All-Equity ETF Portfolio,$17.13 B,VEQT.TO
XSP,iShares Core S&P 500 Index ETF,$16.01 B,XSP.TO
ZEA,BMO MSCI EAFE Index ETF,$13.60 B,ZEA.TO
XUS,iShares Core S&P 500 Index ETF,$13.30 B,XUS.TO
ZAG,BMO Aggregate Bond Index ETF,$13.10 B,ZAG.TO
VIU,Vanguard FTSE Developed All Cap ex North America Index ETF,$11.60 B,VIU.TO
VGRO,Vanguard Growth ETF Portfolio,$10.81 B,VGRO.TO
XBB,iShares Canadian Universe Bond Index ETF,$10.59 B,XBB.TO
FBAL,Fidelity All-in-One Balanced ETF,$10.16 B,FBAL.NE
VDY,Vanguard FTSE Canadian High Dividend Yield Index ETF,$9.05 B,VDY.TO
HXS,Global X S&P 500 Index Corporate Class ETF,$7.60 B,HXS.TO
TEC,TD Global Technology Leaders Index ETF,$5.15 B,TEC.TO
ZUE,BMO S&P 500 Index ETF,$4.91 B,ZUE.TO
XEC,iShares Core MSCI Emerging Markets IMI Index ETF,$4.80 B,XEC.TO
XGD,iShares S&P/TSX Global Gold Index ETF,$4.69 B,XGD.TO
XUU,iShares Core S&P U.S. Total Market Index ETF,$4.65 B,XUU.TO
SITU,Scotia US Equity Index Tracker ETF,$4.65 B,SITU.NE
VEE,Vanguard FTSE Emerging Markets All Cap Index ETF,$4.64 B,VEE.TO
ZWB,BMO Covered Call Canadian Banks ETF,$4.63 B,ZWB.TO
FCCB,Fidelity Systematic Canadian Bond Index ETF,$4.62 B,FCCB.TO
ZCS,BMO Short Corporate Bond Index ETF,$4.61 B,ZCS.TO
XAW,iShares Core MSCI All Country World ex Canada Index ETF,$4.59 B,XAW.TO
XSB,iShares Canadian Short Term Bond Index ETF,$4.49 B,XSB.TO
CSAV,CI First Asset High Interest Savings ETF,$4.40 B,CSAV.TO
XEI,iShares Core S&P/TSX Composite High Dividend Index ETF,$4.35 B,XEI.TO
DMEU,Desjardins American Equity Index ETF,$4.33 B,DMEU.TO
FCUV,Fidelity U.S. Value Index ETF,$4.27 B,FCUV.TO
TDB,TD Canadian Aggregate Bond Index ETF,$4.20 B,TDB.TO
ZSP.U,BMO S&P 500 Index ETF,$3.01 B,ZSP-U.TO
VCE,Vanguard FTSE Canada Index ETF,$3.72 B,VCE.TO
XCB,iShares Canadian Corporate Bond Index ETF,$3.63 B,XCB.TO
ZIC,BMO Mid-Term US IG Corporate Bond Index ETF,$3.63 B,ZIC.TO
