etf_ticker,etf_exchange,etf_name,provider,holding_ticker,holding_name,weight_pct,data_as_of,source,coverage,ticker_source,fetched_at,status
QCD,TSX,AGFiQ Enhanced Core Canadian Equity ETF,AGFiQ,,,,,,terminated,,2026-09-19 17:30 UTC,terminated
QUS,TSX,AGFiQ Enhanced Core US Equity ETF,AGFiQ,,,,,,terminated,,2026-09-19 17:30 UTC,terminated
QIE,TSX,AGFiQ Enhanced Core International Equity ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
QEM,TSX,AGFiQ Enhanced Core Emerging Markets Equity ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
QIF,TSX,AGFiQ Enhanced Global Infrastructure ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
QEF,TSX,AGFiQ Enhanced Global ESG Factors ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
QGL,TSX,AGFiQ Global Equity Rotation ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
QMA,TSX,AGFiQ MultiAsset Allocation ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
QMY,TSX,AGFiQ MultiAsset Income Allocation ETF,AGFiQ,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [AGFiQ]
XIU,TSX,iShares S&P/TSX 60 Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XIC,TSX,iShares S&P/TSX Capped Composite Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XMD,TSX,iShares S&P/TSX MidCap Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XCS,TSX,iShares S&P/TSX SmallCap Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XEF,TSX,iShares Core MSCI EAFE IMI Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XEG,TSX,iShares S&P/TSX Capped Energy Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XIT,TSX,iShares S&P/TSX Capped Information Technology Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XGD,TSX,iShares S&P/TSX Capped Gold Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XFN,TSX,iShares S&P/TSX Capped Financials Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XMA,TSX,iShares S&P/TSX Capped Materials Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XRE,TSX,iShares S&P/TSX Capped REIT Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
XTR,TSX,iShares S&P/TSX Income Trust Index ETF,BlackRock Inc,,,,,,no_adapter,,2026-09-19 17:30 UTC,no_adapter [BlackRock Inc]
