ticker,exchange,name,provider
QCD,TSX,AGFiQ Enhanced Core Canadian Equity ETF,AGFiQ
QUS,TSX,AGFiQ Enhanced Core US Equity ETF,AGFiQ
QIE,TSX,AGFiQ Enhanced Core International Equity ETF,AGFiQ
QEM,TSX,AGFiQ Enhanced Core Emerging Markets Equity ETF,AGFiQ
QIF,TSX,AGFiQ Enhanced Global Infrastructure ETF,AGFiQ
QEF,TSX,AGFiQ Enhanced Global ESG Factors ETF,AGFiQ
QGL,TSX,AGFiQ Global Equity Rotation ETF,AGFiQ
QMA,TSX,AGFiQ MultiAsset Allocation ETF,AGFiQ
QMY,TSX,AGFiQ MultiAsset Income Allocation ETF,AGFiQ
XIU,TSX,iShares S&P/TSX 60 Index ETF,BlackRock Inc
XIC,TSX,iShares S&P/TSX Capped Composite Index ETF,BlackRock Inc
XMD,TSX,iShares S&P/TSX MidCap Index ETF,BlackRock Inc
XCS,TSX,iShares S&P/TSX SmallCap Index ETF,BlackRock Inc
XEF,TSX,iShares Core MSCI EAFE IMI Index ETF,BlackRock Inc
XEG,TSX,iShares S&P/TSX Capped Energy Index ETF,BlackRock Inc
XIT,TSX,iShares S&P/TSX Capped Information Technology Index ETF,BlackRock Inc
XGD,TSX,iShares S&P/TSX Capped Gold Index ETF,BlackRock Inc
XFN,TSX,iShares S&P/TSX Capped Financials Index ETF,BlackRock Inc
XMA,TSX,iShares S&P/TSX Capped Materials Index ETF,BlackRock Inc
XRE,TSX,iShares S&P/TSX Capped REIT Index ETF,BlackRock Inc
XTR,TSX,iShares S&P/TSX Income Trust Index ETF,BlackRock Inc
XDV,TSX,iShares Dow Jones Canada Select Dividend Index ETF,BlackRock Inc
XCG,TSX,iShares Dow Jones Canada Select Growth Index ETF,BlackRock Inc
XCV,TSX,iShares Dow Jones Canada Select Value Index ETF,BlackRock Inc
XEN,TSX,iShares Jantzi Social Index ETF,BlackRock Inc
XSB,TSX,iShares Core Canadian Short Term Bond Index ETF,BlackRock Inc
XBB,TSX,iShares Core Canadian Universe Bond Index ETF,BlackRock Inc
XRB,TSX,iShares Canadian Real Return Bond Index ETF,BlackRock Inc
XCB,TSX,iShares Canadian Corporate Bond Index ETF,BlackRock Inc
XGB,TSX,iShares Canadian Government Bond Index ETF,BlackRock Inc
XLB,TSX,iShares Core Canadian Long Term Bond Index ETF,BlackRock Inc
XSP,TSX,iShares Core S&P 500 Index ETF ( CAD-hedged ),BlackRock Inc
XUS,TSX,iShares Core S&P 500 Index ETF,BlackRock Inc
