TICKER,ETF_NAME,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
CACB,CIBC Active Investment Grade Corporate Bond ETF,,BELL CDA MEDIUM TERM NT 4.7 15NOV36,2.5504,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,CANADIAN IMPERIAL 4.15 02APR35 FRN,2.3059,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,TORONTO DOMINION 5.177 09APR34 FRN,2.0051,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,BANK N S HALIFAX 4.95 01AUG34 FRN,1.8193,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,CAPITAL PWR CORP CDS- 4.231 14JAN33,1.6291,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,ONTARIO PROV CDA 3.45 02JUN45,1.5481,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,INTER PIPELINE LTD 6.38 17FEB33,1.4100,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,BANK MONTREAL MED 4.077 05MAR35 FRN,1.4058,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,FORD CR CDA CO 4.819 11SEP28,1.3779,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,VIDEOTRON LTD / VIDEOTR 4.5 15JAN30,1.3768,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,TELUS CORP 5.25 15NOV32,1.3364,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,KEYERA CORP MEDIUM TE 5.022 28MAR32,1.2750,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,BANK MONTREAL MED 4.976 03JUL34 FRN,1.2687,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,ROYAL BK CDA 3.831 27MAR30 FRN,1.2518,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,ROYAL BK CDA 4.279 04FEB35 FRN,1.2422,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,EXCHANGE INCOME CORP 4.324 13MAR31,1.2126,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,Cash and Other Assets / Liabilities,1.2101,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,CANADIAN IMPERIAL B 4.9 12JUN34 FRN,1.0844,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,ENBRIDGE INC MEDIUM TER 6.1 09NOV32,1.0571,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,BRITISH COLUMBIA PROV C 2.8 18JUN48,0.9995,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,NATIONAL BK CDA M 3.635 13APR30 FRN,0.9397,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,MANULIFE FINL COR 3.983 23MAY35 FRN,0.9306,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,ATKINSREALIS GROUP IN 4.756 15MAR33,0.9118,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,SUN LIFE FINL INC 4.14 13SEP37 FRN,0.9084,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,VEREN INC 4.968 21JUN29,0.8810,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,STANTEC INC 4.374 10JUN32,0.8796,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,MANULIFE FINL COR 4.064 06DEC34 FRN,0.8532,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,INTER PIPELINE LTD 5.849 18MAY32,0.8328,2026-09-17
CACB,CIBC Active Investment Grade Corporate Bond ETF,,ATHENE GLOBAL FDG 4.091 23MAY30,0.8227,2026-09-17
