etf_ticker,note
XBAL,fund-of-funds: file contained direct holdings + full look-through (summed 189.8%); kept 36 direct holdings only
XEM,fund-of-funds: file contained direct holdings + full look-through (summed 199.5%); kept 3 direct holdings only
VBAL,Vanguard xlsx download sums to 61.1% - appears to contain equity holdings only; bond sleeve missing from issuer download
VCNS,Vanguard xlsx download sums to 41.2% - appears to contain equity holdings only; bond sleeve missing from issuer download
BNC,Purpose: issuer publishes only top-10 holdings for this fund; full ticker-level holdings unavailable (2026-09-19)
BND,Purpose: issuer publishes only top-10 holdings for this fund; full ticker-level holdings unavailable (2026-09-19)
FLOT,Purpose: ticker not found on purpose.com; unverified (browser extraction 2026-09-19)
FLOT.B,Purpose: ticker not found on purpose.com; unverified (browser extraction 2026-09-19)
FLOT.U,Purpose: ticker not found on purpose.com; unverified (browser extraction 2026-09-19)
IGB,Purpose: issuer publishes only top-10 holdings for this fund; full ticker-level holdings unavailable (2026-09-19)
KILO,"Purpose: single physical asset (gold bars, 187,449 oz per 2026-09-18); weight set to 100% single asset"
KILO.B,"Purpose: single physical asset (gold bars, 187,449 oz per 2026-09-18); weight set to 100% single asset"
KILO.U,"Purpose: single physical asset (gold bars, 187,449 oz per 2026-09-18); weight set to 100% single asset"
MJJ,Purpose: fund terminated per purpose.com (browser extraction 2026-09-19); excluded from holdings
PCF,Purpose: ticker not found on purpose.com; unverified (browser extraction 2026-09-19)
PEU,Purpose: fund terminated per purpose.com (browser extraction 2026-09-19); excluded from holdings
PEU.B,Purpose: fund terminated per purpose.com (browser extraction 2026-09-19); excluded from holdings
PFG,Purpose: ticker not found on purpose.com; unverified (browser extraction 2026-09-19)
PIN,Purpose: issuer publishes only top-five holdings per category for this fund; full ticker-level holdings unavailable (2026-09-19)
PINC,Purpose: issuer publishes only top-five holdings per category for this fund; full ticker-level holdings unavailable (2026-09-19)
PRA,Purpose: issuer publishes only top-five holdings per category for this fund; full ticker-level holdings unavailable (2026-09-19)
PRP,Purpose: issuer publishes only top-five holdings per category for this fund; full ticker-level holdings unavailable (2026-09-19)
PUD,Purpose: fund terminated per purpose.com (browser extraction 2026-09-19); excluded from holdings
PUD.B,Purpose: fund terminated per purpose.com (browser extraction 2026-09-19); excluded from holdings
SBND,Purpose: fund terminated per purpose.com (browser extraction 2026-09-19); excluded from holdings
SBT,"Purpose: single physical asset (silver bars, 1,598,047 oz per 2026-09-18); weight set to 100% single asset"
SBT.B,"Purpose: single physical asset (silver bars, 1,598,047 oz per 2026-09-18); weight set to 100% single asset"
SBT.U,"Purpose: single physical asset (silver bars, 1,598,047 oz per 2026-09-18); weight set to 100% single asset"
SYLD,Purpose: issuer publishes only top-10 holdings with coupon yield (not weight %); weights unavailable (2026-09-19)
PDIV,Purpose: captured 100 rows summing to 80.32%; remainder not itemized on issuer page - table may paginate beyond 100 rows (2026-09-19)
PHW,Purpose: captured 100 rows summing to 89.33%; remainder not itemized on issuer page - table may paginate beyond 100 rows (2026-09-19)
PMM,Purpose: captured 100 rows summing to 91.28%; remainder not itemized on issuer page - table may paginate beyond 100 rows (2026-09-19)
PYF,Purpose: captured 100 rows summing to 13.59%; table appears paginated/truncated - majority of holdings missing from capture (2026-09-19)
PYF.B,Purpose: captured 100 rows summing to 13.59%; table appears paginated/truncated - majority of holdings missing from capture (2026-09-19)
PYF.U,Purpose: captured 100 rows summing to 13.59%; table appears paginated/truncated - majority of holdings missing from capture (2026-09-19)
PHR,Purpose: 38 holdings captured summing to 96.79%; small remainder not itemized by issuer (2026-09-19)
PINV,Purpose: 37 holdings captured summing to 91.60%; remainder not itemized by issuer (2026-09-19)
XIN,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 107 direct holdings only
VGRO,"Vanguard xlsx download contains 11,194 holdings summing to 80.93%; fund page states ~30,996 holdings (13,721 stocks + 17,275 bonds) - issuer download is incomplete vs stated counts (2026-09-19)"
VEQT,"Vanguard xlsx download contains 13,725 stock holdings summing to 99.11%; fund holds 0 bonds per fund page - equity sleeve complete (2026-09-19)"
FAUS,"Fidelity: full 136-holding table extracted 2026-06-30; issuer publishes holding names + weights only, no holding tickers"
FBAL,Fidelity: fund-of-funds; 18 underlying funds (all categories expanded) as of 2026-09-18; complete at fund level
FBTC,"Fidelity: single-asset bitcoin ETF; no holdings table published, weight set to 100% Bitcoin (2026-09-18)"
FBTC.U,"Fidelity: single-asset bitcoin ETF (USD series); no holdings table published, weight set to 100% Bitcoin (2026-09-18)"
BKL,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
ELV,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
ILV,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PFH,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PLV,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PPS,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PSY,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PSY.U,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PTB,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PXG,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PXG.U,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PXU,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PZC,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
ULV,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
USB,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
USB.U,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
AXF,CI: legacy ticker - no fund page found on funds.cifinancial.com; appears terminated (browser extraction 2026-09-19)
PXS.U,CI: USD series of PXS; shares the same holdings file as PXS (2026-09-19)
PZW.U,CI: USD series of PZW; shares the same holdings file as PZW (2026-09-19)
FAUS.U,"Fidelity: USD series of FAUS; holdings verified identical to FAUS, duplicated from FAUS rows (2026-06-30)"
FCAB,"Fidelity: full 1,238-position table extracted 2026-06-30 (469 issuers); weight total 103.0% reflects gross FX forward/swap legs (longs ~302%, shorts ~-305%); issuer publishes names + weights only, no holding tickers"
FCAB.U,"Fidelity: USD series of FCAB; holdings verified identical to FCAB, duplicated from FCAB rows (2026-06-30)"
FCAE,"Fidelity: 53 holdings extracted 2026-06-30 totaling 99.8% (task summary said 54, data delivered 53); no holding tickers published"
FCAM,Fidelity: fund-of-funds; 4 underlying US factor ETFs as of 2026-09-18; complete at fund level
FCCA,Fidelity: fund-of-funds; 4 underlying Canadian factor ETFs + money market trust as of 2026-09-18; complete at fund level
VVL,"Vanguard: 850 rows totaling 99.02%, as of 2026-06-30 (quarterly factor ETF); complete"
VXC,"Vanguard: 11,711 rows totaling 98.96%, as of 2026-08-31; complete"
DIVS,Evolve: page reports 73 holdings but table shows top 10 only even with All selected; no download link — top-10 only (36.08%)
EARN,"Evolve: full 113-position page table extracted 2026-09-17, 99.96%; no download link — complete"
ETC,"Evolve: full 4-position page table extracted 2026-09-17, 100%; physical crypto — complete"
XSP,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 37 direct holdings only
GBAL,fund-of-funds: file contained direct holdings + full look-through (summed 200.2%); kept 20 direct holdings only
RBNK,RBC: 6 bank holdings totaling 100.0% as of 2026-09-18 from issuer CSV; browser task reported different weights from the page (RY 21.83/TD 20.52) — CSV file used as authoritative
BSKT,"Manulife: 186 holdings totaling 99.99% as of 2026-08-31, full table extracted from page (no download offered); complete"
NBUE,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NBUE.F,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NBUX,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NCNS,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NCPB,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
