TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT
DXAU,,Snowline Gold Corp.,8.3
DXAU,,G Mining Venture Corporation,7.5
DXAU,,Ramelius Resources Limited,6.3
DXAU,,DPM Metals Inc.,6.3
DXAU,,"Alamos Gold Inc., Class ""A""",5.6
DXAU,,AngloGold Ashanti PLC,5.5
DXAU,,Kinross Gold Corporation,5.5
DXAU,,Vault Minerals Limited,5.1
DXAU,,ORA Banda Mining Limited,4.5
DXAU,,Founders Metals Inc,4.5
DXB,,"Government of Canada, 2.500% May 01 28",12.0
DXB,,"Province of Ontario, 3.600% Jun. 02 35",9.7
DXB,,"Government of Canada, 3.250% Jun. 01 36",9.3
DXB,,"Government of Canada, 2.750% Dec. 01 55",8.9
DXB,,"Province of Ontario, 4.60% Dec. 02 55",5.6
DXB,,"TD, 7.283% Oct. 31 82",3.0
DXB,,"Province of Quebec, 4.40% Dec. 01 55",2.5
DXB,,"United States Treasury, 4.125% Jun. 30 31",2.1
DXB,,"Province of Quebec, 4.450% Sep. 01 34",2.0
DXB,,"CIBC, 5.300% Jan. 16 34",1.3
DXBB,,"Government of Canada, 2.500% May 01 28",10.1
DXBB,,"Canada Housing Trust, 3.500% Mar. 15 36",7.1
DXBB,,"Dynamic Short Term Credit PLUS Fund, Series ""ETF""",5.3
DXBB,,"Government of Canada, 2.750% Dec. 01 55",5.3
DXBB,,"Government of Canada, 3.250% Dec. 01 35",3.9
DXBB,,"TD, 7.283% Oct. 31 82",3.0
DXBB,,"Government of Canada, 2.750% Dec. 01 55",2.9
DXBB,,"Province of Quebec, 3.10% Dec. 01 51",2.6
DXBB,,"Dynamic Global Fixed Income Fund, Series ""ETF""",2.5
DXBB,,"CIBC, 5.300% Jan. 16 34",2.2
DXBC,,"Government of Canada, 2.500% May 01 28",8.9
DXBC,,"Government of Canada, 2.750% Dec. 01 55",5.3
DXBC,,"Province of Ontario, 4.150% Dec. 02 54",4.3
DXBC,,"Government of Canada, 2.750% Dec. 01 55",4.3
DXBC,,"Air Lease, 5.400% Jun. 01 28",3.7
DXBC,,"TD, 7.283% Oct. 31 82",3.7
DXBC,,"Province of Alberta, 3.050% Dec. 01 48",3.2
