TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
DIVS,BN/FA CN PFD,Brookfield Corp,5.53,2026-09-17
DIVS,ENB/FK CN PFD,Enbridge Inc,5.30,2026-09-17
DIVS,FTS/PM CN PFD,Fortis Inc/Canada,4.09,2026-09-17
DIVS,ENB/PJ CN PFD,Enbridge Inc,3.38,2026-09-17
DIVS,TRP/PD CN PFD,TC Energy Corp,3.27,2026-09-17
DIVS,PPL/PO CN PFD,Pembina Pipeline Corp,3.17,2026-09-17
DIVS,POW/PG CN PFD,Power Corp of Canada,3.07,2026-09-17
DIVS,"COCAPS 8 7/8 05/02/33",Coast Capital Savings Federal Credit Union,2.94,2026-09-17
DIVS,BCE/PA CN PFD,BCE Inc,2.71,2026-09-17
DIVS,MFC/PJ CN PFD,Manulife Financial Corp,2.62,2026-09-17
ETC,BITCOIN EQUITY,Physical Bitcoin,78.25,2026-09-17
ETC,ETHER EQUITY,Physical Ethereum,12.89,2026-09-17
ETC,XRP EQUITY,Physical XRP,5.32,2026-09-17
ETC,SOLANA EQUITY,Physical Solana,3.54,2026-09-17
EARN,"SOFTBK 5 1/4 10/10/29",SoftBank Group Corp,1.44,2026-09-17
EARN,"BRITEL 8 3/8 12/20/2083",British Telecommunications Ltd,1.42,2026-09-17
EARN,"HMI 2024-2 A1",Holmes Master Issuer PLC,1.36,2026-09-17
EARN,"PINEFI 6 03/27/30",Pinewood Finco PLC,1.35,2026-09-17
EARN,"SDLF 7 3/8 PERP",Standard Life PLC,1.32,2026-09-17
EARN,"VZ 5.742 06/15/56",Verizon Communications Inc,1.31,2026-09-17
EARN,"ZION 6.816 11/19/35",Zions Bancorp NA,1.29,2026-09-17
EARN,"GM 5 5/8 04/04/32",General Motors Financial Co Inc,1.27,2026-09-17
EARN,"PNFP 5.957 01/15/36",Pinnacle Bank/Nashville TN,1.24,2026-09-17
EARN,"DB 7 1/8 PERP",Deutsche Bank AG,1.22,2026-09-17
EARN,"TELEFO 6.135 PERP",Telefonica Europe BV,1.21,2026-09-17
EARN,"ACAFP 6 1/2 PERP",Credit Agricole SA,1.21,2026-09-17
EARN,"FIBCOP 5 3/8 04/15/31",Fibercop SpA,1.19,2026-09-17
