TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
CBL,,Franklin FTSE U.S. Index ETF,23.64,2026-08-31
CBL,,Franklin Canadian Core Plus Bond Fund ETF Series,16.75,2026-08-31
CBL,,Franklin FTSE Canada All Cap Index ETF,13.28,2026-08-31
CBL,,Franklin Global Core Bond Fund ETF Series,8.20,2026-08-31
CBL,,Franklin Canadian Government Bond Fund,6.80,2026-08-31
CBL,,Franklin International Equity Index ETF,5.91,2026-08-31
CBL,,Franklin U.S. Core Equity Fund EF1,5.08,2026-08-31
CBL,,Franklin Emerging Market Equity Index ETF,4.90,2026-08-31
CBL,,Franklin Canadian Short Term Bond Fund ETF Series,3.69,2026-08-31
CBL,,Franklin Brandywine Global Income Optimiser Fund/ETF Fund - ETF Series,3.51,2026-08-31
CNV,,Franklin Canadian Core Plus Bond Fund ETF Series,29.68,2026-08-31
CNV,,Franklin Global Core Bond Fund ETF Series,14.54,2026-08-31
CNV,,Franklin Canadian Government Bond Fund,12.06,2026-08-31
CNV,,Franklin FTSE U.S. Index ETF,11.45,2026-08-31
CNV,,Franklin Canadian Short Term Bond Fund ETF Series,6.54,2026-08-31
CNV,,Franklin FTSE Canada All Cap Index ETF,6.43,2026-08-31
CNV,,Franklin Brandywine Global Income Optimiser Fund/ETF Fund - ETF Series,6.22,2026-08-31
CNV,,Franklin International Equity Index ETF,2.87,2026-08-31
CNV,,Franklin U.S. Core Equity Fund EF1,2.46,2026-08-31
CNV,,Franklin Emerging Market Equity Index ETF,2.37,2026-08-31
GRO,,Franklin FTSE U.S. Index ETF,31.58,2026-08-31
GRO,,Franklin FTSE Canada All Cap Index ETF,17.74,2026-08-31
GRO,,Franklin Canadian Core Plus Bond Fund ETF Series,8.29,2026-08-31
GRO,,Franklin International Equity Index ETF,7.89,2026-08-31
GRO,,Franklin U.S. Core Equity Fund EF1,6.75,2026-08-31
GRO,,Franklin Emerging Market Equity Index ETF,6.54,2026-08-31
GRO,,Franklin Global Core Bond Fund ETF Series,4.06,2026-08-31
GRO,,Franklin Canadian Government Bond Fund,3.37,2026-08-31
GRO,,Franklin International Core Equity Fund ET1,3.14,2026-08-31
GRO,,Franklin International Core Equity Fund,2.81,2026-08-31
