etf_ticker,holding_ticker,holding_name,weight_pct
GGEP,,"CME Group Inc., Class 'A'",9.6
GGEP,,"Yum China Holdings Inc.",7.1
GGEP,,"Reckitt Benckiser Group PLC",6.1
GGEP,,"L'Oreal SA",6.1
GGEP,,"Mastercard Inc., Class 'A'",5.6
GGEP,,"EssilorLuxottica SA",5.3
GGEP,,"Booking Holdings Inc.",5.1
GGEP,,"Colgate-Palmolive Company",4.7
GGEP,,"UnitedHealth Group Inc.",4.7
GGEP,,"Microsoft Corporation",4.3
GGEP,,"Illumina Inc.",3.6
GGEP,,"MarketAxess Holdings Inc.",3.5
GGEP,,"NIKE Inc., Class 'B'",3.5
GGEP,,"Air Liquide SA",3.5
GGEP,,"Verisk Analytics Inc., Class 'A'",3.3
GGEP,,"Nestle SA",3.2
GGEP,,"Adobe Inc.",3.0
GGEP,,"RELX PLC",2.9
GGEP,,"Accenture PLC, Class 'A'",2.8
GGEP,,"Keyence Corporation",2.7
GGEP,,"Siemens AG",2.6
GGEP,,"Adyen NV",2.6
GGEP,,"Automatic Data Processing Inc.",2.3
GGEP,,"Apple Inc.",0.6
GGEP,,"The Home Depot Inc.",0.2
GGPY,,"CME Group Inc., Class 'A'",9.7
GGPY,,"Yum China Holdings Inc.",7.3
GGPY,,"L'Oreal SA",5.8
GGPY,,"Mastercard Inc., Class 'A'",5.7
GGPY,,"Reckitt Benckiser Group PLC",5.2
GGPY,,"Booking Holdings Inc.",5.1
GGPY,,"EssilorLuxottica SA",5.1
GGPY,,"Colgate-Palmolive Company",4.8
GGPY,,"UnitedHealth Group Inc.",4.5
GGPY,,"Air Liquide SA",4.5
GGPY,,"Microsoft Corporation",4.2
GGPY,,"Illumina Inc.",3.9
GGPY,,"MarketAxess Holdings Inc.",3.7
GGPY,,"Verisk Analytics Inc., Class 'A'",3.5
GGPY,,"Nestle SA",3.3
GGPY,,"NIKE Inc., Class 'B'",3.3
GGPY,,"RELX PLC",3.2
GGPY,,"Adobe Inc.",2.9
GGPY,,"Keyence Corporation",2.7
GGPY,,"Accenture PLC, Class 'A'",2.6
GGPY,,"Siemens AG",2.5
GGPY,,"Automatic Data Processing Inc.",2.3
GGPY,,"Adyen NV",2.1
GGPY,,"Apple Inc.",1.2
GGPY,,"The Home Depot Inc.",0.3
GIDY,,"Apple Inc.",5.6
GIDY,,"The Williams Companies Inc.",5.2
GIDY,,"Broadcom Inc.",4.8
GIDY,,"Costco Wholesale Corporation",4.8
GIDY,,"AXA SA",4.4
GIDY,,"Microsoft Corporation",4.2
GIDY,,"ASML Holding NV",4.2
GIDY,,"TotalEnergies SE",4.1
GIDY,,"Allianz SE",4.1
GIDY,,"Alphabet Inc., Class 'A'",3.9
GIDY,,"Royal Bank of Canada",3.6
GIDY,,"AstraZeneca PLC, ADR",3.2
GIDY,,"Shell PLC, ADR",2.9
GIDY,,"Johnson & Johnson",2.8
GIDY,,"Schneider Electric SE",2.8
