etf_ticker,holding_ticker,holding_name,weight_pct
GBFC,,Government of Canada,1.9
GBFC,,"Manitoba, Province of",2.4
GBFC,,"Ontario, Province of",7.0
GBFC,,Hydro One Inc.,8.9
GBFC,,Stantec Inc.,9.5
GBFC,,North West Redwater Partnership/NWR Financing Company Limited,9.6
GBFC,,Canadian Imperial Bank of Commerce,9.6
GBFC,,Bell Canada,9.6
GBFC,,AltaGas Limited,9.7
GBFC,,Toyota Credit Canada Inc.,9.7
GBFC,,Royal Bank of Canada,4.9
GBFC,,Inter Pipeline Limited,4.8
GBFC,,Enbridge Inc.,4.8
GBFC,,Sun Life Financial Inc.,2.4
GBFC,,The Toronto-Dominion Bank,2.4
GBFC,,Choice Properties Real Estate Investment Trust,2.4
GBFD,,"Ontario, Province of",19.9
GBFD,,Ontario Teachers' Finance Trust,9.5
GBFD,,Bell Canada,9.5
GBFD,,OMERS Finance Trust,9.5
GBFD,,Saputo Inc.,9.4
GBFD,,Granite REIT Holdings Limited Partnership,8.7
GBFD,,The Bank of Nova Scotia,7.8
GBFD,,Choice Properties Real Estate Investment Trust,7.2
GBFD,,Royal Bank of Canada,6.2
GBFD,,Canadian Imperial Bank of Commerce,5.4
GBFD,,Wells Fargo & Company,3.8
GBFD,,North West Redwater Partnership/NWR Financing Company Limited,2.1
GBFD,,Heathrow Funding Limited,0.4
GBFD,,Hyundai Capital Canada Inc.,0.2
GBFE,,"Nova Scotia, Province of",11.0
GBFE,,CGI Inc.,9.5
GBFE,,The Toronto-Dominion Bank,9.5
GBFE,,Granite REIT Holdings Limited Partnership,9.5
GBFE,,WSP Global Inc.,9.4
GBFE,,Greater Toronto Airports Authority,9.2
GBFE,,Verizon Communications Inc.,8.8
GBFE,,Hydro-Québec,7.6
GBFE,,Honda Canada Finance Inc.,5.0
GBFE,,TELUS Corporation,4.2
GBFE,,The Bank of Nova Scotia,3.8
GBFE,,Bank of Montreal,3.8
GBFE,,"Québec, Province of",3.4
GBFE,,Bell Canada,1.7
GBFE,,Videotron Limited,1.3
GBFE,,"Ontario, Province of",1.0
GBFE,,Royal Bank of Canada,0.9
GBFE,,Municipal Finance Authority of British Columbia,0.1
GBFF,,"Ontario, Province of",19.8
GBFF,,National Grid Electricity Transmission PLC,9.5
GBFF,,Nestle Holdings Inc.,9.5
GBFF,,Gibson Energy Inc.,9.5
GBFF,,Bell Canada,9.4
GBFF,,Enbridge Inc.,9.4
GBFF,,Brookfield Infrastructure Finance ULC,9.3
GBFF,,AIMCo Realty Investors Limited Partnership,8.2
GBFF,,TransCanada Pipelines Limited,5.1
GBFF,,Ontario Power Generation Inc.,4.9
GBFF,,Rogers Communications Inc.,2.6
GBFF,,Municipal Finance Authority of British Columbia,1.6
GBFF,,"Quebec, Province of",0.3
GBFF,,OMERS Finance Trust,0.2
GBFF,,Choice Properties Real Estate Investment Trust,0.1
GBLF,GBFC,GuardBonds 2026 Investment Grade Bond Fund - ETF Units,33.7
GBLF,GBFD,GuardBonds 2027 Investment Grade Bond Fund - ETF Units,33.4
GBLF,GBFE,GuardBonds 2028 Investment Grade Bond Fund - ETF Units,32.8
GCBD,,Government of Canada,31.1
GCBD,,"Ontario, Province of",19.6
GCBD,,"Quebec, Province of",11.2
GCBD,,Canada Housing Trust No.1,5.9
GCBD,,"British Columbia, Province of",4.1
GCBD,,"Alberta, Province of",3.6
GCBD,,"Manitoba, Province of",3.4
GCBD,,Bank of Montreal,2.8
GCBD,,Royal Bank of Canada,2.7
GCBD,,The Toronto-Dominion Bank,2.6
GCBD,,"Saskatchewan, Province of",1.5
GCBD,,Canadian Imperial Bank of Commerce,1.3
GCBD,,"New Brunswick, Province of",1.2
GCBD,,Enbridge Inc.,1.2
GCBD,,TransCanada PipeLines Limited,0.9
