etf_ticker,holding_ticker,holding_name,weight_pct
MALX,NVDA,NVIDIA CORP.,8.2
MALX,AAPL,Apple Inc,6.7
MALX,GOOGL,ALPHABET INC-CL A,5.4
MALX,MSFT,Microsoft Corp,4.6
MALX,AMZN,Amazon.com Inc,3.3
MALX,AVGO,Broadcom Inc,2.4
MALX,META,Meta Platforms Inc,2.2
MALX,LLY,Eli Lilly & Co,2.0
MALX,MU,Micron Technology Inc,2.0
MALX,JPM,JPMorgan Chase & Co,1.8
MALX,AMAT,Applied Materials Inc,1.7
MALX,LRCX,Lam Research Corp,1.7
MALX,CAT,Caterpillar Inc,1.6
MALX,AMD,ADVANCED MICRO DEVICES,1.4
MALX,BAC,Bank of America Corp,1.4
MALX,MA,MASTERCARD INC - A,1.3
MALX,KLAC,KLA Corp,1.2
MALX,TSLA,TESLA INC.,1.1
MALX,C,Citigroup Inc,1.1
MALX,INTC,Intel Corp,1.1
MALX,CVS,CVS Health Corp,1.1
MALX,VRT,Vertiv Holdings Co,1.0
MALX,BKNG,Booking Holdings Inc,1.0
MALX,RTX,RTX CORPORATION,1.0
MALX,BA,BOEING CO,1.0
MALX,BLK,BLACKROCK FUNDING INC/DE,0.9
MALX,FIX,Comfort Systems USA Inc,0.9
MALX,VTR,Ventas Inc,0.8
MALX,GE,GENERAL ELECTRIC,0.8
MALX,VLY,VALLEY NATIONAL,0.8
MALX,TER,Teradyne Inc,0.8
MALX,KNX,KNIGHT-SWIFT TRANSP HOLD,0.8
MALX,SYF,SYNCHRONY FINANCIAL,0.8
MALX,ZION,ZIONS BANCORPORATION NA,0.8
MALX,FDX,FEDEX CORPORATION,0.8
MALX,EIX,Edison International,0.8
MALX,ORLY,O'REILLY AUTO,0.8
MALX,PCG,PG&E CORP.,0.8
MALX,GS,GOLDMAN SACHS GROUP INC,0.8
MALX,COLB,COLUMBIA BANKING SYSTEMS,0.8
MALX,CNHI,CNH INDUSTRIAL NV,0.8
MALX,LMT,LOCKHEED MARTIN,0.8
MALX,RNR,RENAISSANCERE HO,0.7
MALX,KHC,Kraft Heinz Co/The,0.7
MALX,TXT,TEXTRON INC.,0.7
MALX,CB,Chubb Ltd,0.7
MALX,UNH,UnitedHealth Group Inc,0.7
MALX,MSCI,MSCI Inc,0.7
MALX,ABBV,AbbVie Inc,0.7
MALX,NFLX,Netflix Inc,0.7
MALX,CME,CME GROUP INC.,0.7
MALX,DD,DUPONT DE NEMOU,0.7
MALX,UGI,UGI CORP.,0.7
MALX,EXPE,Expedia Group Inc,0.7
MALX,CRWD,CROWDSTRIKE HOLDINGS INC,0.7
MALX,NDAQ,NASDAQ OMX GROUP (THE),0.7
MALX,PG,Procter & Gamble Co,0.7
MALX,SPGI,S&P Global Inc,0.7
MALX,PLD,ProLogis Inc,0.7
MALX,PLD,ProLogis Inc,0.7
MALX,TAP,MOLSON COORS BEVERAGE CO,0.7
MALX,NOV,NOV INC,0.6
MALX,SCHW,SCHWAB (CHARLES) CORP,0.6
MALX,ANET,ARISTA NETWORKS INC,0.6
MALX,STX,SEAGATE TECHNOLOGY HOLDIN,0.6
MALX,TRV,Travelers Cos Inc/The,0.6
MALX,DIS,Walt Disney Co/The,0.5
MALX,HST,Host Hotels & Resorts Inc,0.5
MALX,PYPL,PayPal Holdings Inc,0.5
MALX,AIG,AMERICAN INTERNATIONAL GR,0.5
MALX,WST,WEST PHARMACEUTICAL INC,0.5
MALX,OVV,Ovintiv Inc,0.5
MALX,DXCM,Dexcom Inc,0.5
MALX,DXCM,Dexcom Inc,0.5
MALX,NOC,NORTHROP GRUMMAN,0.5
MALX,COF,CAPITAL ONE FINANCIAL COR,0.5
MALX,SM,SM Energy Co,0.5
MALX,REGN,REGENERON PHARM,0.5
MALX,WDC,WESTERN DIGITAL,0.5
MALX,CMI,Cummins Inc,0.4
MALX,DELL,DELL TECHNOLOGIES -C,0.4
MALX,FE,FIRSTENERGY CORPORATION,0.4
MALX,CAG,CONAGRA BRANDS INC,0.4
MALX,INCY,INCYTE CORPORATION,0.4
MALX,PFE,Pfizer Inc,0.4
MALX,UHAL/B,U-HAUL HOLDING CO,0.4
MALX,NEM,Newmont Corp,0.4
MALX,ATR,AptarGroup Inc,0.4
MALX,CNC,CENTENE CORPORATION,0.4
MALX,BMRN,BIOMARIN PHARM.,0.4
MALX,SNAP,SNAP INC - A,0.4
MALX,CHTR,CHARTER COMMUNI INC,0.4
MALX,NBIX,NEUROCRINE BIOSCIENCES IN,0.4
MALX,UHS,UNIVERSAL HEALTH,0.4
MALX,DBX,DROPBOX INC-CLASS A,0.4
MALX,VSAT,VIASAT INC,0.4
MALX,PINS,PINTEREST INC- CLASS A,0.4
MALX,BBIO,BRIDGEBIO PHARMA INC,0.4
MALX,MRVL,Marvell Technology Inc,0.4
MALX,T,AT&T Inc,0.4
MALX,WELL,WELLTOWER OP INC.,0.4
MALX,RITM,Rithm Capital Corp,0.3
MALX,PEGA,Pegasystems Inc,0.3
MALX,KR,KROGER CO,0.3
MALX,DVN,Devon Energy Corp,0.3
MALX,MBLY,MOBILEYE GLOBAL INC-A,0.3
MALX,OHI,OMEGA HEALTHCARE INVESTOR,0.3
MALX,ADSK,Autodesk Inc,0.3
MALX,HSY,Hershey Co/The,0.3
MALX,PRIM,Primoris Services Corp,0.3
MALX,THC,Tenet Healthcare Corp,0.3
MALX,HPE,HEWLETT PACKARD ENTERPRIS,0.3
MALX,ESTC,Elastic NV,0.3
MALX,HCA,HCA Holdings Inc,0.3
MALX,2534252,APTIV PLC,0.3
MALX,KEX,KIRBY CORP,0.3
MALX,NKE,NIKE INC -CL B,0.3
MALX,VRSN,VeriSign Inc,0.3
MALX,SNDK,Sandisk Corp,0.3
MALX,SNDK,Sandisk Corp,0.3
MALX,EL,ESTEE LAUDER COMPANIES-CL,0.3
MALX,YOU,CLEAR SECURE INC -CLASS A,0.3
MALX,INTU,Intuit Inc,0.3
MALX,AZO,Autozone Inc,0.3
MALX,CRM,Salesforce Inc,0.3
MALX,MPWR,MONOLITHIC POWER SYSTEMS,0.3
MALX,DOCU,DocuSign Inc,0.3
MALX,NTNX,NUTANIX INC - A,0.2
MALX,WMS,ADVANCED DRAINAGE SYSTEMS,0.2
MALX,AVTR,Avantor Inc,0.2
MALX,VSH,VISHAY INTERTECHNOLOGY IN,0.2
MALX,TTC,TORO CO.,0.2
MALX,CSCO,Cisco Systems Inc,0.2
MALX,ALNY,ALNYLAM PHARMACEUTICALS I,0.2
MALX,GILD,GILEAD SCIENCES,0.2
MALX,URI,United Rentals Inc,0.2
MALX,IDCC,InterDigital Inc,0.2
MALX,OC,Owens Corning,0.2
MALX,SYY,SYSCO CORP.,0.2
MALX,ORCL,Oracle Corp,0.2
MALX,ACI,ALBERTSONS COS INC - CLAS,0.2
MALX,ARE,ALEXANDRIA REAL ESTATE EQ,0.2
MALX,BPOP,POPULAR INC.,0.2
MALX,CNM,CORE & MAIN INC-CLASS A,0.2
MALX,AA,Alcoa Corp,0.2
MALX,CMCSA,COMCAST CORP-CLASS A,0.2
MALX,WTW,Willis Towers Watson PLC,0.2
MALX,STLD,Steel Dynamics Inc,0.1
MALX,RIG,Transocean Ltd,0.1
MALX,COST,Costco Wholesale Corp,0.1
MALX,FTNT,Fortinet Inc,0.1
MALX,ELV,ELEVANCE HEALTH INC.,0.1
MALX,GLW,Corning Inc,0.1
MALX,AGCO,AGCO CORPORATION,0.1
MALX,CHWY,CHEWY INC - CLASS A,0.1
MALX,PSTG,PURE STORAGE INC - CLASS,0.1
MALX,DOC,HEALTHPEAK PROPERTIES INC,0.1
MALX,SWKS,SKYWORKS SOLUT.,0.1
MALX,LYFT,LYFT INC-A,0.1
MALX,ESS,Essex Property Trust Inc,0.1
MALX,BWA,BorgWarner Inc,0.1
MALX,GM,General Motors Co,0.1
MALX,LUMN,Lumen Technologies Inc,0.1
MALX,ALV,AUTOLIV INC.,0.1
MALX,BE,BLOOM ENERGY CORP- A,0.1
MALX,EQIX,Equinix Inc,0.1
MALX,PLTR,PALANTIR TECHNOLOGIES INC,0.1
MALX,STEP,STEPSTONE GROUP INC-CLASS,0.1
MALX,CDNS,CADENCE DESIGN SYS INC,0.1
MALX,TSN,TYSON FOODS INC-CL A,0.1
MALX,DAL,Delta Air Lines Inc,0.1
MALX,FRT,FEDERAL REALTY INVS TRUST,0.1
MALX,LEVI,LEVI STRAUSS & CO- CLASS,0.1
MALX,HR,HEALTHCARE REALTY TRUST,0.1
MALX,CART,MAPLEBEAR INC,0.1
MALX,CPRT,Copart Inc,0.1
MALX,CCL,CARNIVAL CORPORATION,0.1
MALX,HALO,HALOZYME THERAPEUTICS,0.1
MALX,MTDR,MATADOR RESOURCES CO.,0.1
MALX,AAL,AMERICAN AIRLINES GROUP I,0.1
MALX,ZTS,Zoetis Inc,0.1
MALX,UBER,UBER TECHNOLOGIES INC,0.1
MALX,TTEK,TETRA TECH INC.,0.1
MALX,EG,Everest Group Ltd,0.0
MALX,FIS,FIDELITY NTL INFORMATION,0.0
MALX,TXN,Texas Instruments Inc,0.0
MALX,PL,PLANET LABS PBC,0.0
MALX,AKAM,AKAMAI TECHNOLOGIES,0.0
MALX,FCX,Freeport-McMoRan Inc,0.0
MALX,VTRS,VIATRIS INC,0.0
MALX,GSAT,GLOBALSTAR INC,0.0
MALX,ICE,INTERCONTINENTAL EXCHANGE,0.0
MALX,PM,PHILIP MORRIS INTERNATION,0.0
MALX,PATH,UIPATH INC - CLASS A,0.0
MALX,RMBS,Rambus Inc,0.0
MALX,PODD,Insulet Corp,0.0
MALX,MYRG,MYR GROUP INC/DELAWARE,0.0
MALX,G,Genpact Ltd,0.0
MALX,BSX,Boston Scientific Corp,0.0
MALX,IRM,Iron Mountain Inc,0.0
MALX,APA,APA Corp,0.0
MALX,F,FORD MOTOR COMPANY,0.0
MALX,GIS,General Mills Inc,0.0
MALX,SRPT,SAREPTA THERAPEUTICS INC,0.0
MALX,RBRK,RUBRIK INC-A,0.0
MALX,FDXF-W,FEDEX FREIGHT HOLDING CO-,0.0
MALX,MIR,MIRION TECHNOLOGIES INC,-0.0
MALX,AAOI,APPLIED OPTOELECTRONICS I,-0.0
MALX,QBTS,D-WAVE QUANTUM INC,-0.0
MALX,PKG,PACKAGING CORP.,-0.1
MALX,ASTS,AST SPACEMOBILE INC,-0.1
MALX,QS,QUANTUMSCAPE CORP,-0.1
MALX,ORA,ORMAT TECHNOLOGIES INC,-0.1
MALX,FORM,FORMFACTOR INC,-0.1
MALX,ECHO,ECHOSTAR HOLDING CORP,-0.1
MALX,KRMN,KARMAN HOLDINGS INC,-0.1
MALX,OMC,OMNICOM GROUP,-0.1
MALX,PTGX,PROTAGONIST THERAPEUTICS,-0.1
MALX,UEC,URANIUM ENERGY CORP,-0.1
MALX,VMI,VALMONT INDUSTRIES,-0.1
MALX,IONQ,IONQ INC,-0.1
MALX,PLXS,PLEXUS CORP.,-0.1
MALX,HEI/A,HEICO CORP-CL A,-0.1
MALX,ERIE,ERIE INDEMNITY COMPANY-A,-0.1
MALX,FIGR,FIGURE TECHNOLOGY SOLUT-C,-0.1
MALX,RGTI,RIGETTI COMPUTING INC,-0.1
MALX,POOL,POOL CORP,-0.1
MALX,CDW,CDW CORP/DE,-0.1
MALX,CMPO,GPGI INC,-0.1
MALX,GME,GAMESTOP CORP-CLASS A,-0.1
MALX,MP,MP MATERIALS CORP,-0.1
MALX,AWK,AMERICAN WATER WORKS CO I,-0.1
MALX,SSD,SIMPSON MANUFACT,-0.1
MALX,WLK,WESTLAKE CHEMICAL CORP,-0.1
MALX,ENPH,Enphase Energy Inc,-0.2
MALX,ARES,ARES MANAGEMENT CORP,-0.2
MALX,RGLD,Royal Gold Inc,-0.2
MALX,CYTK,CYTOKINETICS INC,-0.2
MALX,MRNA,Moderna Inc,-0.2
MALX,GNRC,Generac Holdings Inc,-0.2
