etf_ticker,holding_ticker,holding_name,weight_pct
MAAA,,BATPK 2022-1A AR 10/2YY,2.3
MAAA,,ANCHC 2020-15A A1R2 7/38,2.0
MAAA,,OAKC 2020-7A A1R2 7/38,2.0
MAAA,,BSP 2022-26A AR 7/37,2.0
MAAA,,GOCAP 2026-91A A 8/40,2.0
MAAA,,STCP 2025-7A A1 8/38,1.3
MAAA,,POLEN 2025-2A A1 1/39,1.3
MAAA,,BGCLO 2024-8A A1R 4/39,1.3
MAAA,,DRSLF 2019-76A A1R2 10/37,1.3
MAAA,,ALC 2025-2A A1,1.3
MAAA,,EMPWR 2024-1A A1R 4/37,1.3
MAAA,,ELM22 2023-1A AR 4/38,1.3
MAAA,,OAKCL 2025-32A A 7/38,1.3
MAAA,,OBRAC 2025-3A A 1/39,1.3
MAAA,,BSP 2025-41A A 7/38,1.3
MAAA,,ELD 2025-2A A1 1/39,1.3
MAAA,,CANYC 2025-2A A1N,1.3
MAAA,,CGMS 2021-8A A1R 10/38,1.3
MAAA,,MP19 2020-3A AR2 10/38,1.3
MAAA,,MENLO 2025-3A A 10/38,1.3
MAAA,,EMPWR 2023-2A AR 10/38,1.3
MAAA,,ARES 2025-78A A1 1/39,1.3
MAAA,,GCBSL 2025-82A A1 10/38,1.3
MAAA,,AWPT 2025-18A A1 3/38,1.3
MAAA,,CIFC 2017-3A AR 4/37,1.3
MAAA,,"CROWN CITY CLO 4/37",1.3
MAAA,,WELF 2024-1A A1 7/37,1.3
MAAA,,VOYA 2025-5A A1 1/39,1.3
MAAA,,MDPK 2019-37A AR2 4/37,1.3
MAAA,,MENLO 2026-5A A 7/39,1.3
MAAA,,CTM 2026-4A A1 7/39,1.3
MAAA,,CLVR 2020-1AR A1R3 7/37,1.3
MAAA,,CIFC 2022-1AR A1R 7/39,1.3
MAAA,,CGMS 2017-2A AR2 7/37,1.3
MAAA,,BBAM 2024-4AR A1R,1.3
MAAA,,VOYA 2026-2A A1 7/39,1.3
MAAA,,BBAM 2026-7A A1 7/39,1.3
MAAA,,HPSPR 2025-3A A1 7/37,1.3
MAAA,,ICG 2023-1A AR 7/38,1.0
MAAA,,INVCO 2025-1A A 7/38,1.0
MAAA,,BBAM 2025-5A A1 7/38,1.0
MAAA,,PIPK 2025-19A A1 7/38,1.0
MAAA,,CTM 2025-2A A1 10/38,1.0
MAAA,,ARES 2025-77A A1 7/38,1.0
MAAA,,OAKC 2026-25A A1 4/39,1.0
MAAA,,BGCLO 2025-13A A1 10/38,1.0
MAAA,,KKR 2024-47A A 1/15YY,1.0
MAAA,,PLMRS 2025-4A A 10/38,1.0
MAAA,,APID 2022-39A A1R 10/38,1.0
MAAA,,BGCLO 2025-13A A2 10/38,1.0
MAAA,,AGL 2021-15A A1R 1/39,1.0
MAAA,,CIFC 2018-4A AR 1/38,1.0
MAAA,,CCITY 2020-2A A1AR 4/35,1.0
MAAA,,BALLY 2023-25A A1AR 1/38,1.0
MAAA,,ABBSL 2025-6AR AR 7/39,1.0
MAAA,,VOYA 2022-1A A1R 4/35,0.9
MAAA,,WWICK 2024-5A A1 1/38,0.9
MAAA,,CATLK 2021-6A ANR 4/34,0.9
MAAA,,CGMS 2025-3A A 7/38,0.7
MAAA,,GNRT 2025-22A A 7/38,0.7
