TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
BSKT,,"Province of Quebec 4.45% 09/01/2034",2.76,2026-08-31
BSKT,,"Province of Ontario 3.80% 12/02/2034",2.18,2026-08-31
BSKT,,"Psp Capital Inc. 4.15% 06/01/2033",2.10,2026-08-31
BSKT,,"Hydro-Quebec 2.10% 02/15/2060",2.04,2026-08-31
BSKT,,"Province of Ontario 3.60% 06/02/2035",1.83,2026-08-31
BSKT,,"Brookfield Infrastructure Finance Ulc 5.62% 11/14/2027",1.78,2026-08-31
BSKT,,"Cdp Financial Inc. 3.70% 03/08/2028",1.61,2026-08-31
BSKT,,"British Columbia (Province of) 4.95% 06/18/2040",1.53,2026-08-31
BSKT,,"CPPIB Capital Inc. 4.00% 06/02/2035",1.35,2026-08-31
BSKT,,"Cppib Capital Inc. 3.00% 06/15/2028",1.34,2026-08-31
BSKT,,"Province of Ontario 2.95% 09/08/2030",1.29,2026-08-31
BSKT,,"Hydro One Inc. 3.02% 04/05/2029",1.29,2026-08-31
BSKT,,"Bank of Montreal 4.08% 03/05/2035",1.29,2026-08-31
BSKT,,"Cppib Capital Inc. 4.75% 06/02/2033",1.27,2026-08-31
BSKT,,"Brookfield Finance Ii Inc. 5.43% 12/14/2032",1.26,2026-08-31
BSKT,,"Canada Housing Trust No. 1 2.15% 12/15/2031",1.22,2026-08-31
BSKT,,"Canadian Government Bond 2.75% 03/01/2031",1.16,2026-08-31
BSKT,,"GA Global Funding Trust 4.86% 07/22/2033",1.16,2026-08-31
BSKT,,"Cdp Financial Inc. 4.20% 12/02/2030",1.15,2026-08-31
BSKT,,"Athene Global Funding 4.61% 09/19/2035",1.14,2026-08-31
BSKT,,"Toronto (City of) 2.15% 08/25/2040",1.09,2026-08-31
BSKT,,"Province of Ontario 4.65% 06/02/2041",1.09,2026-08-31
BSKT,,"Province of Ontario 4.60% 06/02/2039",1.08,2026-08-31
BSKT,,"Canadian Imperial Bank Of Commerce 5.50% 01/14/2028",1.06,2026-08-31
BSKT,,"Cppib Capital Inc. 3.25% 03/08/2028",1.03,2026-08-31
BSKT,,"CPPIB Capital Inc. 3.35% 12/02/2030",0.97,2026-08-31
BSKT,,"The Municipal Finance Authority Of British Columbia 3.30% 10/02/2030",0.91,2026-08-31
BSKT,,"PSP Capital Inc. 4.25% 12/01/2055",0.90,2026-08-31
BSKT,,"Montreal (City of) 3.90% 09/01/2035",0.89,2026-08-31
BSKT,,"Province of Ontario 3.50% 06/02/2043",0.88,2026-08-31
BSKT,,"Canadian Government Bond 3.50% 09/01/2029",0.88,2026-08-31
BSKT,,"Province of Ontario 2.65% 12/02/2050",0.84,2026-08-31
BSKT,,"North West Redwater Partnership/NWR Financing Company Limited 4.75% 06/01/2037",0.83,2026-08-31
BSKT,,"CAN 2 1/4 /29 01/12/2029 2.25% 12/01/2029",0.80,2026-08-31
BSKT,,"Magna International Inc. 4.95% 01/31/2031",0.80,2026-08-31
BSKT,,"CPPIB Capital Inc. 3.20% 06/02/2031",0.79,2026-08-31
BSKT,,"British Columbia (Province of) 1.55% 06/18/2031",0.79,2026-08-31
BSKT,,"Province of Ontario 4.70% 06/02/2037",0.79,2026-08-31
BSKT,,"Province of Ontario 1.90% 12/02/2051",0.78,2026-08-31
BSKT,,"Ford Credit Canada Co Cie Credit Ford Du Canada 4.45% 06/24/2030",0.77,2026-08-31
BSKT,,"Hydro One Inc. 4.91% 01/27/2028",0.75,2026-08-31
BSKT,,"Hydro-Quebec 5.00% 02/15/2045",0.74,2026-08-31
BSKT,,"Coastal Gaslink Pipeline Limited 5.19% 09/30/2034",0.73,2026-08-31
BSKT,,"Government Of Newfoundland And Labrador 4.10% 10/17/2054",0.72,2026-08-31
BSKT,,"Province of Quebec 4.25% 12/01/2043",0.72,2026-08-31
BSKT,,"Province of Ontario 2.90% 06/02/2049",0.70,2026-08-31
BSKT,,"Riocan Real Estate Investment Trust 5.47% 03/01/2030",0.67,2026-08-31
BSKT,,"Province of Alberta 3.05% 12/01/2048",0.67,2026-08-31
BSKT,,"British Columbia Investment Management Corporation 3.40% 06/02/2030",0.67,2026-08-31
BSKT,,"Toronto-Dominion Bank 4.68% 01/08/2029",0.67,2026-08-31
BSKT,,"Enbridge Gas Inc. 5.67% 10/06/2053",0.67,2026-08-31
BSKT,,"The Municipal Finance Authority Of British Columbia 4.05% 12/03/2033",0.67,2026-08-31
BSKT,,"Magna International Inc. 4.80% 05/30/2029",0.66,2026-08-31
BSKT,,"Province of Manitoba 2.05% 09/05/2052",0.66,2026-08-31
BSKT,,"Municipal Finance Authority Of British Columbia 2.30% 04/15/2031",0.65,2026-08-31
BSKT,,"Royal Bank of Canada 5.10% 04/03/2034",0.65,2026-08-31
BSKT,,"Province of British Columbia 4.45% 12/18/2055",0.65,2026-08-31
BSKT,,"Psp Capital Inc. 3.75% 06/15/2029",0.65,2026-08-31
BSKT,,"Province of Alberta 3.30% 12/01/2046",0.64,2026-08-31
BSKT,,"Canadian Imperial Bank Of Commerce 5.30% 01/16/2034",0.64,2026-08-31
BSKT,,"Hyundai Capital Canada Inc. 5.57% 03/08/2028",0.63,2026-08-31
BSKT,,"Primaris Real Estate Investment Trust 5.93% 03/29/2028",0.63,2026-08-31
BSKT,,"Laurentian Bank Of Canada 4.19% 01/23/2028",0.60,2026-08-31
BSKT,,"Transcanada Pipelines Ltd. 5.33% 05/12/2032",0.59,2026-08-31
BSKT,,"Province of Ontario 2.90% 12/02/2046",0.59,2026-08-31
BSKT,,"Calgary (City of) 4.20% 06/01/2034",0.58,2026-08-31
BSKT,,"Hydro One Inc. 4.59% 10/09/2043",0.58,2026-08-31
BSKT,,"Province of Nova Scotia 4.75% 12/01/2054",0.56,2026-08-31
BSKT,,"Government of Alberta 2.05% 06/01/2030",0.56,2026-08-31
BSKT,,"NWR Financing Co. Ltd. 4.05% 07/22/2044",0.56,2026-08-31
BSKT,,"Keyera Corp. 3.70% 10/15/2030",0.55,2026-08-31
BSKT,,"407 International Inc. 2.84% 03/07/2050",0.55,2026-08-31
BSKT,,"Royal Bank of Canada 4.83% 08/08/2034",0.54,2026-08-31
BSKT,,"Province of Saskatchewan 3.30% 06/02/2048",0.53,2026-08-31
BSKT,,"Athene Global Funding 5.11% 03/07/2029",0.52,2026-08-31
BSKT,,"Avenue Living 2014 LP 4.52% 09/25/2028",0.52,2026-08-31
BSKT,,"The Toronto-Dominion Bank 4.13% 01/09/2033",0.51,2026-08-31
BSKT,,"Bell Canada 5.30% 06/03/2056",0.51,2026-08-31
BSKT,,"Hydro-Québec 2.00% 09/01/2028",0.50,2026-08-31
BSKT,,"Province of Quebec 4.40% 12/01/2055",0.50,2026-08-31
BSKT,,"Montreal (City of) 1.75% 09/01/2030",0.50,2026-08-31
BSKT,,"Canada Housing Trust No. 1 3.55% 09/15/2032",0.50,2026-08-31
BSKT,,"Mini Mall Storage Properties Trust 4.28% 12/01/2028",0.48,2026-08-31
BSKT,,"Omers Realty Corporation 3.24% 10/04/2027",0.47,2026-08-31
BSKT,,"Athene Global Funding 4.09% 05/23/2030",0.47,2026-08-31
BSKT,,"City of Toronto 2.65% 11/09/2029",0.46,2026-08-31
BSKT,,"Glencore Finance Canada Ltd. 4.05% 10/10/2032",0.46,2026-08-31
BSKT,,"The Regional Municipality Of York 2.15% 06/22/2031",0.46,2026-08-31
BSKT,,"Montreal (City of) 3.15% 09/01/2028",0.45,2026-08-31
BSKT,,"Ford Credit Canada Company 4.92% 01/09/2031",0.45,2026-08-31
BSKT,,"Royal Bank of Canada 4.14% 05/05/2036",0.44,2026-08-31
BSKT,,"Hydro One Inc. 4.85% 11/30/2054",0.43,2026-08-31
BSKT,,"Loblaw Cos. Ltd. 4.49% 12/11/2028",0.42,2026-08-31
BSKT,,"Ontario Power Generation Inc. 4.25% 01/18/2049",0.42,2026-08-31
BSKT,,"Morguard Company 4.31% 06/18/2029",0.42,2026-08-31
BSKT,,"Hyundai Capital Canada Inc. 4.00% 05/13/2031",0.42,2026-08-31
BSKT,,"Montreal (City of) 6.00% 06/01/2043",0.42,2026-08-31
BSKT,,"Hydro One Inc. 3.90% 11/21/2033",0.41,2026-08-31
BSKT,,"Fairstone Bank Of Canada 3.62% 02/23/2029",0.39,2026-08-31
BSKT,,"Montreal (City of) 2.30% 09/01/2029",0.39,2026-08-31
BSKT,,"Mini Mall Storage Properties Trust 5.03% 07/30/2031",0.38,2026-08-31
BSKT,,"Cae Inc. 5.54% 06/12/2028",0.38,2026-08-31
BSKT,,"Ford Credit Canada Company 5.58% 05/23/2031",0.37,2026-08-31
BSKT,,"Pembina Pipeline Corp. 5.02% 01/12/2032",0.36,2026-08-31
BSKT,,"Province of Quebec 4.20% 12/01/2057",0.35,2026-08-31
BSKT,,"Allied Properties Real Estate Investment Trust 5.53% 09/26/2028",0.34,2026-08-31
BSKT,,"Riocan Real Estate Investment Trust 5.96% 10/01/2029",0.34,2026-08-31
BSKT,,"Coastal Gaslink Pipeline Limited 4.91% 06/30/2031",0.34,2026-08-31
BSKT,,"Toronto (City of) 3.25% 06/24/2046",0.34,2026-08-31
BSKT,,"Énergir, L.P. 3.04% 02/09/2032",0.34,2026-08-31
BSKT,,"Avenue Living 2014 LP Avenue Living 2014 LP 4.65% 07/15/2029",0.33,2026-08-31
BSKT,,"British Columbia (Province of) 4.30% 06/18/2042",0.33,2026-08-31
BSKT,,"Brookfield Infrastructure Finance Ulc 2.86% 09/01/2032",0.33,2026-08-31
BSKT,,"Cppib Capital Inc. 3.95% 06/02/2032",0.32,2026-08-31
BSKT,,"407 International Inc. 4.86% 07/31/2053",0.32,2026-08-31
BSKT,,"Pembina Pipeline Corp. 3.62% 04/03/2029",0.32,2026-08-31
BSKT,,"Province of Manitoba 4.10% 03/05/2041",0.31,2026-08-31
BSKT,,"Lower Mattagami Energy Limited Partnership 4.69% 06/07/2054",0.30,2026-08-31
BSKT,,"Montreal (City of) 2.40% 12/01/2041",0.30,2026-08-31
BSKT,,"Province of Nova Scotia 1.10% 06/01/2028",0.30,2026-08-31
BSKT,,"Omers Realty Corporation 4.96% 02/10/2031",0.30,2026-08-31
BSKT,,"Province of Ontario 3.60% 03/08/2028",0.29,2026-08-31
BSKT,,"Telus Corp. 3.15% 02/19/2030",0.28,2026-08-31
BSKT,,"Fédération des caisses Desjardins du Québec 5.04% 08/23/2032",0.27,2026-08-31
BSKT,,"Newfoundland and Labrador (Province of) 3.30% 10/17/2046",0.27,2026-08-31
BSKT,,"Province of Ontario 1.05% 09/08/2027",0.27,2026-08-31
BSKT,,"Montreal (City of) 3.00% 09/01/2027",0.26,2026-08-31
BSKT,,"Transcanada Pipelines Limited 5.28% 07/15/2030",0.26,2026-08-31
BSKT,,"Aéroports de Montréal 3.92% 09/26/2042",0.26,2026-08-31
BSKT,,"Municipal Finance Authority Of British Columbia due 4.00% 06/03/2036",0.26,2026-08-31
BSKT,,"Honda Canada Finance Inc. 3.87% 05/22/2030",0.26,2026-08-31
BSKT,,"The Toronto-Dominion Bank 4.23% 02/01/2035",0.26,2026-08-31
BSKT,,"Province of Manitoba 2.85% 09/05/2046",0.25,2026-08-31
BSKT,,"BNP Paribas SA 2.54% 07/13/2029",0.25,2026-08-31
BSKT,,"Royal Bank of Canada 5.23% 06/24/2030",0.24,2026-08-31
BSKT,,"York (Regional Municipality of) 1.70% 05/27/2030",0.24,2026-08-31
BSKT,,"Power Corporation of Canada 4.46% 07/27/2048",0.24,2026-08-31
BSKT,,"Gov. of Canada 1.75% 12/01/2053",0.24,2026-08-31
BSKT,,"Province of Manitoba 4.40% 09/05/2055",0.23,2026-08-31
BSKT,,"Coastal Gaslink Pipeline Limited 5.61% 06/30/2044",0.23,2026-08-31
