etf_ticker,holding_ticker,holding_name,weight_pct
MAEC,,Kelt Exploration Ltd.,5.30
MAEC,,Spartan Delta Corp.,4.90
MAEC,,Tourmaline Oil Corp.,4.70
MAEC,,Tenaz Energy Corp.,4.40
MAEC,,Cenovus Energy Inc.,4.20
MAEC,,Advantage Energy Ltd.,4.10
MAEC,,CALFRAC WELL SERVICES LTD,3.90
MAEC,,Tamarack Valley Energy Ltd.,3.90
MAEC,,Baytex Energy Corp.,3.80
MAEC,,Surge Energy Inc.,3.70
MDIV,,Middlefield Healthcare Dividend ETF,7.90
MDIV,,NVIDIA Corporation,5.80
MDIV,,Taiwan Semiconductor Manufacturing Co. Ltd.,5.50
MDIV,,Samsung Electronics Co. Ltd.,4.80
MDIV,,Take-Two Interactive Software Inc.,4.70
MDIV,,JPMorgan Chase & Co.,4.60
MDIV,,Amazon.com Inc.,4.30
MDIV,,Microsoft Corporation,3.80
MDIV,,Sony Group Corporation,3.70
MDIV,,RESONAC HOLDINGS CORP,3.70
MHCD,,Eli Lilly & Company,7.10
MHCD,,Johnson & Johnson,6.50
MHCD,,Merck & Co. Inc.,5.10
MHCD,,AbbVie Inc.,5.10
MHCD,,Thermo Fisher Scientific Inc.,4.40
MHCD,,AstraZeneca PLC,3.30
MHCD,,Stryker Corp.,3.00
MHCD,,Danaher Corp.,2.90
MHCD,,Abbott Laboratories,2.80
MHCD,,Medtronic PLC,2.60
MINF,,AltaGas Ltd.,5.00
MINF,,Pembina Pipeline Corp.,4.90
MINF,,Eaton Corp PLC,4.80
MINF,,Getlink SE,4.70
MINF,,Tourmaline Oil Corp.,4.60
MINF,,RWE AG,4.60
MINF,,Topaz Energy Corp.,4.50
MINF,,Gibson Energy Inc.,4.50
MINF,,Capital Power Corporation,4.20
MINF,,Rockpoint Gas Storage Inc.,4.00
MINN,,NVIDIA Corporation,7.40
MINN,,Taiwan Semiconductor Manufacturing Co. Ltd.,6.10
MINN,,Microsoft Corporation,6.00
MINN,,Amazon.com Inc.,5.50
MINN,,Take-Two Interactive Software Inc.,4.90
MINN,,Samsung Electronics Co. Ltd.,4.40
MINN,,Sony Group Corporation,4.10
MINN,,SK Hynix Inc.,3.60
MINN,,Advantest Corporation,3.50
MINN,,Broadcom Inc.,3.50
MIPC,,Middlefield Healthcare Dividend ETF,7.20
MIPC,,Topaz Energy Corp.,4.10
MIPC,,Canadian Natural Resources Ltd.,4.10
MIPC,,Morgan Stanley,3.90
MIPC,,Killam Apartment Real Estate Investment Trust,3.60
MIPC,,Tourmaline Oil Corp.,3.50
MIPC,,Microsoft Corporation,3.50
MIPC,,First Horizon Corp.,3.20
MIPC,,Dream Industrial Real Estate Investment Trust,3.20
MIPC,,AltaGas Ltd.,2.90
MREL,,RioCan Real Estate Investment Trust,6.70
MREL,,Extendicare Inc.,5.40
MREL,,Granite Real Estate Investment Trust,5.00
MREL,,Killam Apartment Real Estate Investment Trust,4.90
MREL,,Chartwell Retirement Residences,4.80
MREL,,Choice Properties Real Estate Investment Trust,4.70
MREL,,Boardwalk Real Estate Investment Trust,4.60
MREL,,Canadian Apartment Properties Real Estate Investment Trust,4.40
MREL,,Primaris Real Estate Investment Trust,4.10
MREL,,Welltower Inc.,3.70
MSBP,,CANADIAN GOVERNMENT BOND 3.0% 01NOV28,8.90
MSBP,,UNITED KINGDOM GILT 4.375% 07MAR28,3.30
MSBP,,"Sunoco LP, 5.875%, 15 July 2027",3.10
MSBP,,"SBA Communications Corp., 3.875%, 15 February 2027",3.10
MSBP,,UNITED STATES TREASURY N 4.125% 30JUN28,3.10
MSBP,,VIDEOTRON LTD 3.625% 15JUN28,2.40
MSBP,,"Viasat, Inc., 5.625%, 15 April 2027",2.30
MSBP,,"Cinemark USA, Inc., 5.25%, 15 July 2028",2.30
MSBP,,"SECURE Waste Infrastructure Corp., 6.75%, 22 March 2029",2.30
MSBP,,FOLIOBEYOND ALTERNATIVE INCOME AND INTE,2.30
MUSA,,Middlefield Healthcare Dividend ETF,6.90
MUSA,,NVIDIA Corporation,6.50
MUSA,,Taiwan Semiconductor Manufacturing Co. Ltd.,5.90
MUSA,,Microsoft Corporation,5.40
MUSA,,Sony Group Corporation,4.90
MUSA,,Amazon.com Inc.,4.90
MUSA,,Take-Two Interactive Software Inc.,4.80
MUSA,,Samsung Electronics Co. Ltd.,4.60
MUSA,,Micron Technology Inc.,4.50
MUSA,,Broadcom Inc.,3.20
