base_ticker,classes,class_tickers,description,provider
BTCQ,1,BTCQ,3iQ Bitcoin ETF - USD,3iQ
ETHQ,1,ETHQ,3iQ Ether Staking ETF,3iQ
SOLQ,1,SOLQ,3iQ Solana Staking ETF,3iQ
XRPQ,1,XRPQ,3iQ XRP ETF,3iQ
AENP,1,AENP,AGF Enhanced U.S. Income Plus Fund - ETF Series,AGF
AENU,1,AENU,AGF Enhanced U.S. Equity Income Fund,AGF
AGLR,1,AGLR,AGF Global Real Assets Fund,AGF
AGSL,1,AGSL,AGF Global Select Fund - ETF Series,AGF
AMGR,1,AMGR,AGF American Growth Fund - ETF Series,AGF
ASMD,1,ASMD,AGF U.S. Small-Mid Cap Fund,AGF
ATAP,1,ATAP,AGF Global Sustainable Growth Equity ETF,AGF
QBTL,1,QBTL,AGF US Market Neutral Anti-Beta CAD-Hedged ETF,AGF
ARB,1,ARB,Accelerate Arbitrage Fund ETF,Accelerate
ATSX,1,ATSX,Accelerate Canadian Long Short Equity Fund,Accelerate
HDGE,1,HDGE,Accelerate Absolute Return Hedge Fund,Accelerate
ONEC,1,ONEC,Accelerate OneChoice Alternative Portfolio ETF,Accelerate
ACAA,1,ACAA,Arrow long/short Alternative Fund ETF,Arrow
ADIV,1,ADIV,ARROW EC equity advantage ALTERNATIVE FUND ETF,Arrow
RATE,1,RATE,Arrow EC Income Advantage Alternative Fund ETF,Arrow
COMM,1,COMM,BMO Global Communications Index ETF,BMO
DISC,1,DISC,BMO Global Consumer Discretionary Hedged to CAD Index ETF,BMO
ESGA,1,ESGA,BMO MSCI Canada Selection Equity Index ETF,BMO
ESGE,1,ESGE,BMO MSCI EAFE Selection Equity Index ETF,BMO
ESGG,1,ESGG,BMO MSCI World ESG Leaders Index ETF,BMO
ESGY,2,"ESGY,ESGY.F",BMO MSCI USA ESG Leaders Index ETF,BMO
GRNI,1,GRNI,BMO Brookfield Global Renewables Infrastructure Fund ETF,BMO
STPL,1,STPL,BMO Global Consumer Staples Hedged to CAD Index ETF,BMO
WOMN,1,WOMN,BMO Women In Leadership Fund ETF,BMO
ZACE,1,ZACE,BMO U.S. All Cap Equity Fund ETF,BMO
ZAPR,1,ZAPR,BMO US Equity Buffer Hedged to CAD ETF - April,BMO
ZBAL,2,"ZBAL,ZBAL.T",BMO Balanced ETF,BMO
ZBCB,1,ZBCB,BMO Canadian Core Plus US Balanced ETF,BMO
ZBDU,2,"ZBDU,ZBDU.F",BMO US Dividend Growth ETF,BMO
ZBEC,1,ZBEC,BMO Canadian Equity Plus ETF,BMO
ZBEU,2,"ZBEU,ZBEU.F",BMO US Equity Focused ETF,BMO
ZBI,1,ZBI,BMO Canadian Bank Income Index ETF,BMO
ZBK,1,ZBK,BMO Equal Weight U.S. Banks Index ETF,BMO
ZBVU,1,ZBVU,BMO US Large Cap Disciplined Value ETF,BMO
ZCDX,2,"ZCDX.U,ZCDX",BMO Credit Stress Opportunities ETF,BMO
ZCOM,2,"ZCOM,ZCOM.F",BMO Broad Commodity ETF,BMO
ZCON,1,ZCON,BMO Conservative ETF,BMO
