TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
NBUE,,Microsoft Corp,9.89,2026-08-31
NBUE,,Alphabet Inc Cl A,9.22,2026-08-31
NBUE,,Moody's Corp,7.57,2026-08-31
NBUE,,Amazon.com Inc,6.95,2026-08-31
NBUE,,Mastercard Inc Cl A,6.65,2026-08-31
NBUE,,Analog Devices Inc,5.10,2026-08-31
NBUE,,CME Group Inc Cl A,4.79,2026-08-31
NBUE,,Autozone Inc,4.74,2026-08-31
NBUE,,KLA Corp,4.50,2026-08-31
NBUE,,Linde PLC,3.71,2026-08-31
NBUE.F,,Microsoft Corp,9.89,2026-08-31
NBUE.F,,Alphabet Inc Cl A,9.22,2026-08-31
NBUE.F,,Moody's Corp,7.57,2026-08-31
NBUE.F,,Amazon.com Inc,6.95,2026-08-31
NBUE.F,,Mastercard Inc Cl A,6.65,2026-08-31
NBUE.F,,Analog Devices Inc,5.10,2026-08-31
NBUE.F,,CME Group Inc Cl A,4.79,2026-08-31
NBUE.F,,Autozone Inc,4.74,2026-08-31
NBUE.F,,KLA Corp,4.50,2026-08-31
NBUE.F,,Linde PLC,3.71,2026-08-31
NBUX,,NVIDIA Corp,7.57,2026-08-31
NBUX,,Apple Inc,6.80,2026-08-31
NBUX,,Microsoft Corp,5.51,2026-08-31
NBUX,,Amazon.com Inc,3.73,2026-08-31
NBUX,,Alphabet Inc Cl A,2.91,2026-08-31
NBUX,,Broadcom Inc,2.52,2026-08-31
NBUX,,Alphabet Inc Cl C,2.31,2026-08-31
NBUX,,Meta Platforms Inc Cl A,1.83,2026-08-31
NBUX,SPY,SPDR S&P 500 ETF Trust (SPY),1.77,2026-08-31
NBUX,,Micron Technology Inc,1.58,2026-08-31
NCNS,NSCB,NBI Sustainable Canadian Bond ETF (NSCB),33.92,2026-08-31
NCNS,NCPB,NBI Canadian Core Plus Bond Fund ETF (NCPB),16.90,2026-08-31
NCNS,NUBF,NBI Unconstrained Fixed Income ETF (NUBF),16.84,2026-08-31
NCNS,NBUX,NBI U.S. Equity Index Fund ETF Series (NBUX),9.02,2026-08-31
NCNS,NBCX,NBI Canadian Equity Index Fund ETF Series (NBCX),6.95,2026-08-31
NCNS,NBIX,NBI International Equity Index Fund ETF (NBIX),3.96,2026-08-31
NCNS,NBEM,NBI Diversified Emerging Markets Equ Fd ETF (NBEM),3.52,2026-08-31
NCNS,NUSA,NBI Active U.S. Equity ETF (NUSA),3.03,2026-08-31
NCNS,NBCG,NBI Canadian Equity Growth Fund ETF Series (NBCG),2.31,2026-08-31
NCNS,NBIV,NBI International Value Fund ETF (NBIV),1.32,2026-08-31
NCPB,,NBI Senior Loan Fund Series O,3.95,2026-08-31
