TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT
ABHI,ABX,Barrick Mining Corp,
BCHI,BCE,BCE Inc.,
CCHI,CCO,Cameco Corp.,
CLHI,CLS,Celestica Inc.,
CQHI,CNQ,Canadian Natural Resources Ltd.,
CRHI,CNR,Canadian National Railway Co.,
CSHI,CSU,Constellation Software Inc.,
CSUC,CSU,Constellation Software Inc.,
ENHI,ENB,Enbridge Inc.,
GOHI,GOOGL,Alphabet Inc.,
INHI,INTC,Intel Corporation,
KGHI,K,Kinross Gold Corporation,
NVHI,NVDA,NVIDIA Corporation,
PLHI,PLTR,Palantir Technologies Inc.,
RYHI,RY,Royal Bank of Canada,128.8
RYHI,,Covered Calls,48.3
SHHI,SHOP,Shopify Inc.,
SUHI,SU,Suncor Energy Inc.,
SXHI,SPCX,SpaceX,
TDHI,TD,Toronto-Dominion Bank,
TSHI,TSLA,Tesla Inc.,
ECHI,TD,TD Bank,14.71
ECHI,RY,Royal Bank of Canada,14.62
ECHI,ENB,Enbridge Inc.,11.69
ECHI,CNR,Canadian National Railway Co.,11.28
ECHI,SU,Suncor Energy Inc.,11.27
ECHI,SHOP,Shopify Inc.,11.17
ECHI,CNQ,Canadian Natural Resources Ltd.,10.86
ECHI,ABX,Barrick Mining Corp.,10.15
ECHI,CCO,Cameco Corp.,9.81
ECHI,BCE,BCE Inc.,8.33
ECHI,K,Kinross Gold Corporation,4.30
ECHI,CSU,Constellation Software Inc.,3.73
ECHI,CLS,Celestica Inc.,1.20
USHI,GOHI,Ninepoint Alphabet HighShares,6.0
USHI,,Amazon.com,5.5
USHI,TSHI,Ninepoint Tesla HighShares ETF,5.5
USHI,,Microsoft Corp,5.4
USHI,,General Electric Co,5.0
USHI,,Eli Lilly & Co,4.6
USHI,,Johnson & Johnson,4.6
USHI,,Advanced Micro Devices,4.4
USHI,,Apple,4.4
USHI,,Crowdstrike Holdings,4.4
USHI,NVHI,Ninepoint NVIDIA HighShares ETF,4.4
USHI,PLHI,Ninepoint Palantir HighShares,4.4
USHI,,Goldman Sachs Group Inc/The,4.2
USHI,,JPMorgan Chase & Co,4.2
USHI,,Visa,4.2
USHI,,Union Pacific Corp,4.0
USHI,,Micron Technology,3.4
USHI,INHI,Ninepoint Intel HighShares ETF,3.4
USHI,,Costco Wholesale Corp,3.0
USHI,,ExxonMobil Holdings Corp,3.0
USHI,,Freeport-McMoRan,3.0
USHI,,Vistra Corp,3.0
USHI,,Walmart,3.0
USHI,,Caterpillar,1.5
USHI,,GE Vernova,1.5
GBSL,,Amazon.Com Inc,5.34
GBSL,,Taiwan Semiconductor Manufacturing Company Limited,4.80
GBSL,,Rolls-Royce Holdings Plc,4.46
GBSL,,Alphabet Inc,4.36
GBSL,,Crowdstrike Holdings Inc,4.14
GBSL,,Natera Inc,4.14
GBSL,,Guardant Health Inc,3.98
GBSL,,Jfrog Ltd,3.73
GBSL,,Ing Groep Nv,3.53
GBSL,,Asml Holding Nv,3.37
GBSL.U,,Amazon.Com Inc,5.34
GBSL.U,,Taiwan Semiconductor Manufacturing Company Limited,4.80
GBSL.U,,Rolls-Royce Holdings Plc,4.46
GBSL.U,,Alphabet Inc,4.36
GBSL.U,,Crowdstrike Holdings Inc,4.14
GBSL.U,,Natera Inc,4.14
GBSL.U,,Guardant Health Inc,3.98
GBSL.U,,Jfrog Ltd,3.73
GBSL.U,,Ing Groep Nv,3.53
GBSL.U,,Asml Holding Nv,3.37
GBUL,,Gold Bullion,99.29
GBUL,,Cash and Cash Equivalents,0.71
GLDE,,Agnico Eagle Mines Ltd,
GLDE,,Anglogold Ashanti Plc,
GLDE,,Dpm Metals Inc,
GLDE,,G Mining Ventures Corp,
GLDE,,Iamgold Corp,
GLDE,,K92 Mining Inc,
GLDE,,Kinross Gold Corp,
GLDE,,Omai Gold Mines Corp,
GLDE,,Predictive Discovery Ltd,
GLDE,,Snowline Gold Corp,
INFR,,Aena Sme Sa,
INFR,,Altagas Ltd,
INFR,,American Tower Corporation,
INFR,,Cheniere Energy Inc,
INFR,,Csx Corp,
INFR,,Equinix Inc,
INFR,,Targa Resources Corp,
INFR,,Tc Energy Corp,
INFR,,The Williams Companies Inc,
INFR,,Union Pacific Corporation,
NACO,,Alberta (Province Of) 3.45% 12/01/2043,
NACO,,Algonquin Power & Utilities Corp 4.75% 01/18/2082,
NACO,,Bank Of Montreal 6.534% 10/27/2032,
NACO,,Bank Of Nova Scotia 3.934% 05/03/2032,
NACO,,Canada (Government Of) 3.5% 12/01/2057,
NACO,,Canadian Imperial Bank Of Commerce 4.2% 04/07/2032,
NACO,,Cenovus Energy Inc 3.5% 02/07/2028,
NACO,,Enbridge Inc 5.375% 09/27/2077,
NACO,,"First Capital Real Estate Investment Trust 4.76% 02/15/2035",
NACO,,"Realt_24-Rona-A 6.264 12-Dec-2029",
