Ticker,HoldingName,WeightPct
,"NEWFOUNDLAND PROVINCE CDA 3.85% 12/02/2034",0.06
,"NEWFOUNDLAND PROVINCE CDA 3.3% 10/17/2046",0.06
,"IA FINANCIAL CORP INC 6.921%/VAR 09/30/2084",0.06
,"QUEBEC PROVINCE CDA 1.85% 02/13/2027",0.06
,"AVIVA PLC 4% 10/02/2030 REGS",0.06
,"BRUCE POWER LP 4.7% 06/21/2031",0.06
,"BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 7.85% 04/02/2031",0.06
,"TERANET HLDGS LP 3.719% 02/23/2029",0.06
,"TELUS CORPORATION 4.8% 12/15/2028",0.06
,"GENERAL MTRS FINL CDA LTD 3.8% 11/07/2030",0.06
,"SUNCOR ENERGY INC 3.55% 11/14/2030",0.06
,"COGECO COMMUNICATIONS INC 4.743% 02/06/2035",0.06
,"TORONTO DOMINION BANK 4.133%/VAR 01/09/2033",0.06
,"NATIONAL BANK OF CANADA 3.308%/VAR 08/15/2028",0.06
,"RELIANCE LP 2.67% 08/01/2028",0.06
,"MANITOBA PROVINCE CDA 4.05% 09/05/2045",0.06
,"SASKATCHEWAN PROV CDA 4.4% 12/02/2056",0.06
,"VENTAS CDA FIN LTD 3.3% 12/01/2031",0.06
,"NOVA SCOTIA PROVINCE CDA 3.15% 12/01/2051",0.06
,"GIBSON ENERGY INC 4.45% 08/20/2032",0.06
,"FORTISALBERTA INC 6.22% 10/31/2034",0.06
,"ONTARIO PROVINCE CDA 3.75% 12/02/2053",0.06
,"CANADIAN NATL RESOURCES LTD 3.75% 02/08/2031",0.06
,"ENBRIDGE INC 4.21% 02/22/2030",0.06
,"SUNCOR ENERGY INC 5% 04/09/2030",0.06
,"CANADIAN IMPERIAL BK OF COMM 3.9%/VAR 06/20/2031",0.06
,"COGECO COMMUNICATIONS INC 5.299% 02/16/2033",0.06
,"ALBERTA PROVINCE CDA 3.75% 06/01/2036",0.06
,"BRUCE POWER LP 2.68% 12/21/2028",0.06
,"NATIONAL BANK OF CANADA 2.237% 11/04/2026",0.06
,"INTACT FINL CORP 7.338%/VAR 06/30/2083",0.06
,"BRITISH COLUMBIA PROVINCE CDA 4.95% 06/18/2040",0.06
,"FEDERATION DES CAISE DESJARDIN 4.264%/VAR 01/24/2035 REGS",0.05
,"PEMBINA PIPELINE CORP 3.62% 04/03/2029 REGS",0.05
,"CANADIAN IMPERIAL BK OF COMM 4.9%/VAR 06/12/2034",0.05
,"BROOKFIELD INFRASTRUCTURE FINANCE ULC 3.7% 01/06/2031",0.05
