HoldingName,WeightPct
CALGARY AIRPORT AUTHORITY 3.199% 10/07/2036,0.01
HYDRO ONE INC 6.03% 03/03/2039,0.01
HYDRO ONE INC 4.46% 01/27/2053,0.01
ENBRIDGE GAS INC 4.84% 09/12/2055,0.01
ENERGIR INC 5.7% 07/10/2036,0.01
CU INC 4.094% 10/19/2054,0.01
COASTAL GASLINK PIPELINE LP 4.868% 06/30/2045,0.01
GREATER TORONTO ARPTS AUTH 4.53% 12/02/2041 144A,0.01
CANADIAN NATIONAL RAILWAY CO 4.7% 05/10/2053,0.01
BRUCE POWER LP 4.746% 06/21/2049 REGS,0.01
HYDRO ONE INC 4.59% 10/09/2043 REGS,0.01
ENBRIDGE GAS INC 3.65% 04/01/2050,0.01
FORTISBC INC 4.92% 08/12/2054,0.01
ALTALINK LP 4.692% 11/28/2032,0.01
TORONTO HYDRO CORP 4.61% 06/14/2033,0.01
FORTISBC ENERGY INC 4.67% 11/28/2052,0.01
407 INTERNATIONAL INC 3.72% 05/11/2048,0.01
ENBRIDGE INC 5.12% 09/28/2040,0.01
ONTARIO PROVINCE CDA 5.7% 12/02/2039,0.01
CANADIAN NATIONAL RAILWAY CO 3.95% 09/22/2045,0.01
SUN LIFE FINL INC 2.06%/VAR 10/01/2035,0.01
BRITISH COLUMBIA FERRY SVC INC 4.689% 02/19/2056,0.01
CO OPERATORS FINL SVCS LTD 3.327% 05/13/2030,0.01
CANADIAN IMPERIAL BK OF COMM 2.25% 01/07/2027,0.01
BROOKFIELD CORP 3.8% 03/16/2027,0.01
FORTISALBERTA INC 2.632% 06/08/2051,0.01
GREAT WEST LIFECO INC 6.74% 11/24/2031,0.01
ATHENE GLOBAL FUNDING 2.47% 06/09/2028 REGS,0.01
CT REAL ESTATE INVT TR 3.469% 06/16/2027,0.01
BANK OF AMERICA CORPORATION 3.615%/VAR 03/16/2028,0.01
TRANSCANADA PIPELINES LTD 4.33% 09/16/2047,0.01
ALTALINK LP 5.381% 03/26/2040,0.01
TERANET HLDGS LP 5.754% 12/17/2040,0.01
CALGARY AIRPORT AUTHORITY 3.754% 10/07/2061,0.01
JOHN DEERE FINANCIAL INC 1.34% 09/08/2027,0.01
ALTALINK LP 4.054% 11/21/2044 REGS,0.01
TELUS CORPORATION 4.75% 01/17/2045,0.00
HYDRO ONE INC 5.49% 07/16/2040,0.00
LOBLAW COS LTD 5.336% 09/13/2052,0.00
IGM FINANCIAL INC 6% 12/10/2040,0.00
PEMBINA PIPELINE CORP 4.81% 03/25/2044 REGS,0.00
ONTARIO PROVINCE CDA 1.85% 02/01/2027,0.00
SUNCOR ENERGY INC 3.95% 03/04/2051,0.00
AEROPORTS DE MONTREAL 3.918% 06/12/2045,0.00
FORTISBC ENERGY INC 3.85% 12/07/2048,0.00
EPCOR UTILS INC 3.106% 07/08/2049,0.00
ENBRIDGE INC 4.56% 03/28/2064,0.00
BRITISH COLUMBIA PROVINCE CDA 5.4% 06/18/2035,0.00
ENERGIR LP 4.65% 05/20/2055,0.00
LOWER MATTAGAMI ENRG LTD PRTP 4.175% 04/23/2052,0.00
NOVA SCOTIA POWER INC 3.571% 04/05/2049,0.00
SASKATCHEWAN PROV CDA 5% 03/05/2037,0.00
NORTH WEST REDWATER PARTNERSHIP / NWR FINANCING CO LTD 2% 12/01/2026 REGS,0.00
ROGERS COMMUNICATIONS INC 6.56% 03/22/2041,0.00
TRANSCANADA PIPELINES LTD 6.89% 08/07/2028,0.00
MANITOBA PROVINCE CDA 4.6% 03/05/2038,0.00
ENBRIDGE GAS INC 3.2% 09/15/2051,0.00
TORONTO HYDRO CORP 4.75% 09/24/2055,0.00
TORONTO HYDRO CORP 2.99% 12/10/2049,0.00
TORONTO DOMINION BANK 1.888% 03/08/2028,0.00
BANK OF NOVA SCOTIA 3.1% 02/02/2028,0.00
IGM FINANCIAL INC 4.174% 07/13/2048 REGS,0.00
LOBLAW COS LTD 6.05% 06/09/2034 144A,0.00
PROLOGIS LP 5.25% 01/15/2031,0.00
FORTISALBERTA INC 4.54% 10/18/2041,0.00
ENBRIDGE GAS INC 4.2% 06/02/2044,0.00
SASKATCHEWAN PROV CDA 3.4% 02/03/2042,0.00
BRITISH COLUMBIA FERRY SVC INC 4.702% 10/23/2043,0.00
ONTARIO POWER GENERATION INC 4.248% 01/18/2049,0.00
BANK OF MONTREAL QUE 2.7% 12/09/2026,0.00
POWER CORP OF CANADA 4.81% 01/31/2047,0.00
HYDRO ONE INC 4.91% 01/27/2028,0.00
ENERGIR INC 3.28% 10/09/2046,0.00
SUNCOR ENERGY INC 4.34% 09/13/2046,0.00
NORTH WEST REDWATER PARTNERSHIP / NWR FINANCING CO LTD 4.75% 06/01/2037 REGS,0.00
LOBLAW COS LTD 5.115% 03/04/2054,0.00
ALBERTA PROVINCE CDA 3.9% 12/01/2033,0.00
JPMORGAN CHASE & CO 1.896%/VAR 03/05/2028,0.00
TRANSURBAN FINANCE CO PTY LTD 4.555% 11/14/2028 REGS,0.00
TELUS CORPORATION 5.65% 09/13/2052,0.00
407 INTERNATIONAL INC 3.3% 03/27/2045 REGS,0.00
AEROPORTS DE MONTREAL 6.95% 04/16/2032,0.00
SUN LIFE FINL INC 2.46%/VAR 11/18/2031,0.00
PEMBINA PIPELINE CORP 4.75% 04/30/2043,0.00
CANADIAN UTILITIES LTD 4.851% 06/03/2052,0.00
ENERGIR INC 7.05% 10/30/2030,0.00
407 INTERNATIONAL INC 3.43% 06/01/2033,0.00
AT&T INC 4.85% 05/25/2047,0.00
HEATHROW FUNDING LTD 4.9% 08/06/2039,0.00
VERIZON COMMUNICATIONS INC 3.625% 05/16/2050,0.00
BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 5.6% 08/11/2053 REGS,0.00
JOHN DEERE FINANCIAL INC 2.58% 10/16/2026,0.00
407 INTERNATIONAL INC 3.67% 03/08/2049,0.00
ENBRIDGE INC 4.55% 09/29/2045,0.00
FORTISBC ENERGY INC 2.82% 08/09/2049,0.00
BMW CDA INC 4.66% 04/05/2028,0.00
MACQUARIE GROUP LTD 2.723%/VAR 08/21/2029,0.00
407 INTERNATIONAL INC 4.89% 04/04/2054,0.00
ENMAX CORP 3.836% 06/05/2028,0.00
HCN CDN HLDGS 1 LP 2.95% 01/15/2027,0.00
