HoldingName,WeightPct
AEROPORTS DE MONTREAL 3.03% 04/21/2050,0.00
CALGARY AIRPORT AUTHORITY 3.554% 10/07/2051,0.00
NOVA SCOTIA POWER INC 3.307% 04/25/2050,0.00
METRO INC 5.03% 12/01/2044,0.00
HYDRO ONE INC 3.79% 07/31/2062,0.00
FEDERATION DES CAISE DESJARDIN 5.475% 08/16/2028,0.00
INTER PIPELINE LTD/AB 5.091% 11/27/2051,0.00
ALBERTA PROVINCE CDA 3.5% 06/01/2031,0.00
MANITOBA PROVINCE CDA 3.35% 03/05/2043,0.00
BMW CDA INC 3.99% 10/10/2028,0.00
FAIRFAX FINANCIAL HLDGS LTD 5.1% 08/16/2055,0.00
ENBRIDGE INC 6.5% 06/11/2029,0.00
BRITISH COLUMBIA FERRY SVC INC 2.794% 10/15/2049,0.00
WINNIPEG ARPTS AUTH INC 5.205% 09/28/2040,0.00
FORTISALBERTA INC 5.85% 04/15/2038,0.00
CENTRAL 1 CR UN 4.648% 02/07/2028,0.00
GREATER TORONTO ARPTS AUTH 5.3% 02/25/2041,0.00
ALTALINK LP 5.111% 07/23/2056,0.00
FORTISBC ENERGY INC 6% 10/02/2037,0.00
ENBRIDGE INC 5.82% 08/17/2053,0.00
ENBRIDGE GAS INC 4.55% 08/17/2052,0.00
MANITOBA PROVINCE CDA 3.1% 03/05/2068,0.00
CANADIAN PAC RY CO 6.45% 11/17/2039,0.00
POWER FINANCIAL CORP 6.9% 03/11/2033,0.00
CT REAL ESTATE INVT TR 2.371% 01/06/2031,0.00
BRITISH COLUMBIA PROVINCE CDA 6.35% 06/18/2031,0.00
LOWER MATTAGAMI ENRG LTD PRTP 4.944% 09/21/2043,0.00
FORTISBC ENERGY INC 6.5% 05/01/2034,0.00
GIBSON ENERGY INC 6.2% 07/12/2053,0.00
ENBRIDGE INC 4.2% 05/12/2051,0.00
BROOKFIELD INFRASTRUCTURE FINANCE ULC 5.95% 07/27/2053,0.00
NEW BRUNSWICK PROVINCE CANADA 4.65% 09/26/2035,0.00
FIRST CAPITAL REALTY INC/FIRST CAP REAL ESTATE INV TR 3.753% 07/12/2027,0.00
IGM FINANCIAL INC 4.206% 03/21/2050 REGS,0.00
CU INC 3.825% 09/11/2062,0.00
CANADIAN NATL RESOURCES LTD 4.85% 05/30/2047,0.00
NOVA SCOTIA POWER INC 5.61% 06/15/2040,0.00
GREAT WEST LIFECO INC 3.337% 02/28/2028,0.00
ENERGIR LP 4.83% 06/02/2053,0.00
NOVA SCOTIA PROVINCE CDA 3.5% 06/02/2062,0.00
IGM FINANCIAL INC 4.115% 12/09/2047,0.00
BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 5.15% 02/09/2053,0.00
NEW BRUNSWICK PROVINCE CANADA 3.55% 06/03/2055,0.00
ENBRIDGE INC 4.57% 03/11/2044 REGS,0.00
NOVA SCOTIA POWER INC 3.612% 05/01/2045,0.00
AEROPORTS DE MONTREAL 3.441% 04/26/2051,0.00
FORTISBC INC 5.9% 07/04/2047,0.00
TRANSCANADA PIPELINES LTD 4.18% 07/03/2048 REGS,0.00
HYDRO ONE INC 3.72% 11/18/2047,0.00
CU INC 6.5% 03/07/2039,0.00
TORONTO HYDRO CORP 4.08% 09/16/2044,0.00
CU INC 3.857% 11/14/2052,0.00
ONTARIO PROVINCE CDA 8% 12/02/2026,0.00
BROOKFIELD INFRASTRUCTURE FINANCE ULC 5.789% 04/25/2052,0.00
ENBRIDGE INC 5.33% 04/06/2040,0.00
FIRST CAPITAL REAL ESTATE INVESTMENT TRUST 3.447% 03/01/2028,0.00
MANITOBA PROVINCE CDA 5.8% 03/05/2044,0.00
EPCOR UTILS INC 3.287% 06/28/2051,0.00
HEALTH MONTREAL COLLECTIVE LP 6.721% 09/30/2049,0.00
ALTALINK LP 5.249% 09/22/2036,0.00
TERANET HLDGS LP 6.1% 06/17/2041,0.00
CCL INDUSTRIES INC 3.864% 04/13/2028,0.00
FORTISBC INC 4% 10/28/2044,0.00
TORONTO HYDRO CORP 3.27% 10/18/2051,0.00
BROOKFIELD RENEWABLE PARTNERS ULC 5.318% 01/10/2054,0.00
IGM FINANCIAL INC 7% 12/31/2032,0.00
EPCOR UTILS INC 4.55% 02/28/2042,0.00
INTACT FINL CORP 6.4% 11/23/2039,0.00
ONTARIO POWER GENERATION INC 3.651% 09/13/2050,0.00
CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST 3.827% 03/04/2050,0.00
ENBRIDGE INC 4.55% 08/17/2043,0.00
ALECTRA INC 5.297% 04/29/2041,0.00
CANADIAN NATIONAL RAILWAY CO 3.2% 07/31/2028,0.00
POWER CORP OF CANADA 4.455% 07/27/2048,0.00
ALBERTA PROVINCE CDA 4.5% 12/01/2040,0.00
MANITOBA PROVINCE CDA 2.75% 06/02/2029,0.00
TORONTO HYDRO CORP 5.54% 05/21/2040,0.00
CANADIAN NATIONAL RAILWAY CO 3.6% 07/31/2048,0.00
NEWFOUNDLAND & LABRADOR HYDRO 5.7% 07/14/2033,0.00
TRANSCANADA PIPELINES LTD 7.31% 01/15/2027,0.00
SUN LIFE FINL INC 5.4%/VAR 05/29/2042,0.00
EPCOR UTILS INC 3.949% 11/26/2048,0.00
BELL TELEPHONE CO OF CANADA OR BELL CANADA/THE 4.75% 09/29/2044,0.00
ENBRIDGE GAS INC 4.95% 11/22/2050,0.00
407 INTERNATIONAL INC 3.65% 09/08/2044 REGS,0.00
INTACT FINL CORP 5.16% 06/16/2042,0.00
TRANSCANADA PIPELINES LTD 4.34% 10/15/2049 REGS,0.00
TORONTO HYDRO CORP 3.96% 04/09/2063,0.00
407 INTERNATIONAL INC STEP 07/26/2040,0.00
METRO INC 3.413% 02/28/2050,0.00
LOBLAW COS LTD 6.45% 03/01/2039 144A,0.00
FORTISALBERTA INC 4.27% 09/22/2045,0.00
MANULIFE FIN DE LP 5.059%/VAR 12/15/2041,0.00
FORTISBC ENERGY INC 3.375% 04/13/2045 REGS,0.00
FORTISBC ENERGY INC 5.8% 05/13/2038,0.00
TRANSCANADA PIPELINES LTD 7.9% 04/15/2027,0.00
ALECTRA INC 1.751% 02/11/2031,0.00
407 INTERNATIONAL INC 3.98% 09/11/2052,0.00
SUNCOR ENERGY INC 3.1% 05/24/2029,0.00
SWISS FRANC,0.00
ROGERS COMMUNICATIONS INC 5.65% 09/21/2026,0.00
