Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","10,538,923.67","4.23","10,538,923.67","41,231.00","255.61","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"SHEL","SHELL PLC","Energy","Equity","5,312,868.26","2.13","5,312,868.26","79,665.00","66.69","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"TTE","TOTALENERGIES","Energy","Equity","3,697,920.75","1.49","3,697,920.75","28,907.00","127.92","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","3,204,251.52","1.29","3,204,251.52","111,601.00","28.71","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"ROP","ROCHE PS PAR AG","Health Care","Equity","2,633,439.85","1.06","2,633,439.85","4,294.00","613.28","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"BHP","BHP GROUP LTD","Materials","Equity","2,409,448.24","0.97","2,409,448.24","40,227.00","59.90","Australia","Asx - All Markets","CAD","1.01","AUD"
"7203","TOYOTA MOTOR","Consumer Discretionary","Equity","2,340,473.22","0.94","2,340,473.22","85,900.00","27.25","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"BP.","BP PLC","Energy","Equity","2,253,517.84","0.91","2,253,517.84","213,949.00","10.53","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"GLEN","GLENCORE PLC","Materials","Equity","2,121,170.29","0.85","2,121,170.29","195,761.00","10.84","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"000660","SK HYNIX","Information Technology","Equity","1,923,686.60","0.77","1,923,686.60","1,089.00","1,766.47","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"SAN","BANCO SANTANDER","Financials","Equity","1,832,577.79","0.74","1,832,577.79","88,074.00","20.81","Spain","Bolsa De Madrid","CAD","0.62","EUR"
"NESN","NESTLE SA","Consumer Staples","Equity","1,648,497.45","0.66","1,648,497.45","12,395.00","133.00","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"NOVN","NOVARTIS AG","Health Care","Equity","1,611,780.73","0.65","1,611,780.73","8,182.00","196.99","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"BAYN","BAYER AG","Health Care","Equity","1,522,781.91","0.61","1,522,781.91","19,329.00","78.78","Germany","Xetra","CAD","0.62","EUR"
"BNP","BNP PARIBAS SA","Financials","Equity","1,514,997.99","0.61","1,514,997.99","9,087.00","166.72","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"RIO","RIO TINTO PLC","Materials","Equity","1,490,819.49","0.60","1,490,819.49","10,895.00","136.84","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","1,463,604.67","0.59","1,463,604.67","19,722.00","74.21","Germany","Xetra","CAD","0.62","EUR"
"RY","ROYAL BANK OF CANADA","Financials","Equity","1,420,091.12","0.57","1,420,091.12","4,984.00","284.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP","Financials","Equity","1,403,684.40","0.56","1,403,684.40","42,800.00","32.80","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"SAN","SANOFI SA","Health Care","Equity","1,386,289.75","0.56","1,386,289.75","11,466.00","120.90","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"TD","TORONTO DOMINION","Financials","Equity","1,379,315.52","0.55","1,379,315.52","8,096.00","170.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SIE","SIEMENS N AG","Industrials","Equity","1,363,247.30","0.55","1,363,247.30","3,183.00","428.29","Germany","Xetra","CAD","0.62","EUR"
"ALV","ALLIANZ","Financials","Equity","1,318,206.31","0.53","1,318,206.31","1,819.00","724.68","Germany","Xetra","CAD","0.62","EUR"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","1,307,720.64","0.53","1,307,720.64","16,736.00","78.14","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"BAS","BASF N","Materials","Equity","1,293,358.92","0.52","1,293,358.92","15,373.00","84.13","Germany","Xetra","CAD","0.62","EUR"
"8058","MITSUBISHI","Industrials","Equity","1,269,858.71","0.51","1,269,858.71","28,400.00","44.71","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
