Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"7203","TOYOTA MOTOR","Consumer Discretionary","Equity","7,430,116.97","4.21","7,430,116.97","272,700.00","27.25","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8306","MITSUBISHI UFJ FINANCIAL GROUP","Financials","Equity","4,443,907.40","2.52","4,443,907.40","135,500.00","32.80","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"6752","PANASONIC HOLDINGS","Consumer Discretionary","Equity","4,103,972.45","2.32","4,103,972.45","107,225.00","38.27","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"7267","HONDA MOTOR","Consumer Discretionary","Equity","3,795,855.01","2.15","3,795,855.01","247,400.00","15.34","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"6758","SONY GROUP","Consumer Discretionary","Equity","3,728,587.44","2.11","3,728,587.44","110,600.00","33.71","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8058","MITSUBISHI","Industrials","Equity","3,626,251.46","2.05","3,626,251.46","81,100.00","44.71","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8316","SUMITOMO MITSUI FINANCIAL GROUP","Financials","Equity","3,557,784.11","2.01","3,557,784.11","57,600.00","61.77","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"4502","TAKEDA PHARMACEUTICAL","Health Care","Equity","3,364,034.11","1.90","3,364,034.11","63,000.00","53.40","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8001","ITOCHU","Industrials","Equity","3,218,066.94","1.82","3,218,066.94","151,200.00","21.28","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"6501","HITACHI","Industrials","Equity","3,215,561.41","1.82","3,215,561.41","65,400.00","49.17","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","3,086,257.35","1.75","3,086,257.35","19,700.00","156.66","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8031","MITSUI","Industrials","Equity","2,899,256.10","1.64","2,899,256.10","61,800.00","46.91","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"9984","SOFTBANK GROUP","Communication","Equity","2,507,690.68","1.42","2,507,690.68","44,700.00","56.10","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"6981","MURATA MANUFACTURING","Information Technology","Equity","2,462,456.48","1.39","2,462,456.48","36,900.00","66.73","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"9433","KDDI","Communication","Equity","2,412,289.36","1.37","2,412,289.36","86,400.00","27.92","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8411","MIZUHO FINANCIAL GROUP","Financials","Equity","2,396,094.94","1.36","2,396,094.94","31,210.00","76.77","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"9432","NTT","Communication","Equity","2,234,122.12","1.26","2,234,122.12","1,382,100.00","1.62","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
"8766","TOKIO MARINE HOLDINGS","Financials","Equity","2,079,086.56","1.18","2,079,086.56","27,900.00","74.52","Japan","Tokyo Stock Exchange","CAD","111.35","JPY"
