Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RY","ROYAL BANK OF CANADA","Financials","Equity","10,060,023.51","6.48","10,060,023.51","35,307.00","284.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TD","TORONTO DOMINION","Financials","Equity","9,775,830.60","6.30","9,775,830.60","57,380.00","170.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SU","SUNCOR ENERGY INC","Energy","Equity","8,319,226.52","5.36","8,319,226.52","85,492.00","97.31","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","7,883,662.32","5.08","7,883,662.32","111,304.00","70.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","7,526,738.88","4.85","7,526,738.88","57,168.00","131.66","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ENB","ENBRIDGE","Energy","Equity","6,357,444.10","4.10","6,357,444.10","93,245.00","68.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CVE","CENOVUS ENERGY","Energy","Equity","5,505,601.32","3.55","5,505,601.32","119,583.00","46.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BMO","BANK OF MONTREAL","Financials","Equity","5,500,386.12","3.54","5,500,386.12","22,613.00","243.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NTR","NUTRIEN LTD","Materials","Equity","5,435,533.81","3.50","5,435,533.81","49,177.00","110.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","4,437,654.05","2.86","4,437,654.05","27,901.00","159.05","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFC","MANULIFE FINANCIAL","Financials","Equity","4,114,613.15","2.65","4,114,613.15","66,655.00","61.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MG","MAGNA INTERNATIONAL","Consumer Discretionary","Equity","3,471,226.34","2.24","3,471,226.34","38,242.00","90.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","3,273,232.34","2.11","3,273,232.34","40,982.00","79.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ABX","BARRICK MINING","Materials","Equity","3,253,161.56","2.10","3,253,161.56","53,191.00","61.16","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","2,931,927.46","1.89","2,931,927.46","17,479.00","167.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRP","TC ENERGY","Energy","Equity","2,887,154.38","1.86","2,887,154.38","33,517.00","86.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","2,703,165.92","1.74","2,703,165.92","29,614.00","91.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BN","BROOKFIELD CLASS A","Financials","Equity","2,640,233.74","1.70","2,640,233.74","50,686.00","52.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CP","CANADIAN PACIFIC KANSAS CITY","Industrials","Equity","2,601,656.31","1.68","2,601,656.31","20,949.00","124.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","2,395,243.05","1.54","2,395,243.05","21,165.00","113.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","1,947,932.84","1.26","1,947,932.84","20,524.00","94.91","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","1,938,769.80","1.25","1,938,769.80","9,185.00","211.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","1,836,144.54","1.18","1,836,144.54","797.00","2,303.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PPL","PEMBINA PIPELINE","Energy","Equity","1,830,234.60","1.18","1,830,234.60","27,481.00","66.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AEM","AGNICO EAGLE MINES","Materials","Equity","1,754,126.55","1.13","1,754,126.55","6,217.00","282.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMO","IMPERIAL OIL LTD","Energy","Equity","1,642,502.48","1.06","1,642,502.48","9,001.00","182.48","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTS","FORTIS","Utilities","Equity","1,487,280.86","0.96","1,487,280.86","19,513.00","76.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BCE","BCE INC","Communication","Equity","1,442,220.00","0.93","1,442,220.00","46,225.00","31.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","1,324,281.32","0.85","1,324,281.32","21,094.00","62.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","1,318,014.30","0.85","1,318,014.30","5,065.00","260.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","1,237,285.20","0.80","1,237,285.20","20,310.00","60.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","1,218,678.45","0.79","1,218,678.45","24,785.00","49.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCP","WHITECAP RESOURCES INC","Energy","Equity","1,165,032.75","0.75","1,165,032.75","62,805.00","18.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS","Materials","Equity","1,128,585.08","0.73","1,128,585.08","25,673.00","43.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","1,093,429.12","0.70","1,093,429.12","10,976.00","99.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MRU","METRO","Consumer Staples","Equity","1,023,478.20","0.66","1,023,478.20","11,149.00","91.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SHOP","SHOPIFY SUBORDINATE VOTING CLASS A","Information Technology","Equity","1,000,675.59","0.64","1,000,675.59","5,559.00","180.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCN","WASTE CONNECTIONS","Industrials","Equity","992,661.11","0.64","992,661.11","4,573.00","217.07","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"WFG","WEST FRASER TIMBER","Materials","Equity","939,149.20","0.61","939,149.20","9,220.00","101.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","924,140.91","0.60","924,140.91","4,893.00","188.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL","Consumer Discretionary","Equity","894,475.80","0.58","894,475.80","8,730.00","102.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALA","ALTAGAS","Utilities","Equity","846,079.08","0.55","846,079.08","15,862.00","53.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","822,894.00","0.53","822,894.00","11,926.00","69.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GWO","GREAT WEST LIFECO INC","Financials","Equity","794,561.68","0.51","794,561.68","8,488.00","93.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAG","IA FINANCIAL INC","Financials","Equity","786,850.56","0.51","786,850.56","3,681.00","213.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WN","GEORGE WESTON","Consumer Staples","Equity","753,854.86","0.49","753,854.86","7,433.00","101.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFII","TFI INTERNATIONAL","Industrials","Equity","681,485.66","0.44","681,485.66","3,869.00","176.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPM","WHEATON PRECIOUS METALS","Materials","Equity","671,896.62","0.43","671,896.62","3,154.00","213.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSU","CONSTELLATION SOFTWARE","Information Technology","Equity","653,706.90","0.42","653,706.90","231.00","2,829.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FNV","FRANCO NEVADA","Materials","Equity","614,391.05","0.40","614,391.05","1,645.00","373.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTT","FINNING INTERNATIONAL INC","Industrials","Equity","608,647.50","0.39","608,647.50","6,390.00","95.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING","Materials","Equity","596,863.74","0.38","596,863.74","17,967.00","33.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OTEX","OPEN TEXT","Information Technology","Equity","594,320.64","0.38","594,320.64","18,048.00","32.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"T","TELUS","Communication","Equity","570,327.92","0.37","570,327.92","45,736.00","12.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","569,925.74","0.37","569,925.74","4,094.00","139.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEY","KEYERA","Energy","Equity","550,330.74","0.35","550,330.74","10,233.00","53.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SAP","SAPUTO","Consumer Staples","Equity","543,663.12","0.35","543,663.12","13,578.00","40.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WSP","WSP GLOBAL INC","Industrials","Equity","536,951.24","0.35","536,951.24","2,972.00","180.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTO","B2GOLD","Materials","Equity","510,885.85","0.33","510,885.85","67,667.00","7.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
