Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","7,233,980.55","6.21","7,233,980.55","68,000.00","106.38","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","5,291,559.05","4.54","5,291,559.05","401,375.00","13.18","Brazil","XBSP","CAD","3.69","BRL"
"9988","ALIBABA GROUP HOLDING","Consumer Discretionary","Equity","3,319,989.80","2.85","3,319,989.80","177,196.00","18.74","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","3,249,465.96","2.79","3,249,465.96","1,884,000.00","1.72","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2317","HON HAI PRECISION INDUSTRY","Information Technology","Equity","3,026,567.92","2.60","3,026,567.92","275,414.00","10.99","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"2454","MEDIATEK","Information Technology","Equity","2,566,330.28","2.20","2,566,330.28","13,000.00","197.41","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","2,498,713.09","2.15","2,498,713.09","123,650.00","20.21","Brazil","XBSP","CAD","3.69","BRL"
"700","TENCENT HOLDINGS","Communication","Equity","2,263,111.66","1.94","2,263,111.66","29,800.00","75.94","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","2,242,817.32","1.93","2,242,817.32","1,673,000.00","1.34","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"3988","BANK OF CHINA LTD H","Financials","Equity","1,822,806.06","1.57","1,822,806.06","1,707,000.00","1.07","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"JD","JD COM ADR REPRESENTING CLASS A","Consumer Discretionary","Equity","1,706,099.79","1.47","1,706,099.79","45,789.00","37.26","China","NASDAQ","CAD","0.71","USD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","1,460,349.51","1.25","1,460,349.51","155,000.00","9.42","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","1,294,132.36","1.11","1,294,132.36","200,000.00","6.47","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"1303","NAN YA PLASTICS CORP","Materials","Equity","1,200,954.83","1.03","1,200,954.83","116,000.00","10.35","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"857","PETROCHINA H","Energy","Equity","1,152,085.49","0.99","1,152,085.49","676,000.00","1.70","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"992","LENOVO GROUP","Information Technology","Equity","1,125,758.47","0.97","1,125,758.47","184,000.00","6.12","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"386","CHINA PETROLEUM AND CHEMICAL H","Energy","Equity","1,071,910.62","0.92","1,071,910.62","1,334,700.00","0.80","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"3711","ASE TECHNOLOGY HOLDING","Information Technology","Equity","1,050,484.53","0.90","1,050,484.53","39,000.00","26.94","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","997,126.71","0.86","997,126.71","54,985.00","18.13","India","National Stock Exchange Of India","CAD","68.59","INR"
"PTT.R","PTT NON-VOTING DR","Energy","Equity","965,816.65","0.83","965,816.65","545,400.00","1.77","Thailand","Stock Exchange Of Thailand","CAD","23.86","THB"
"3968","CHINA MERCHANTS BANK H","Financials","Equity","923,674.30","0.79","923,674.30","101,000.00","9.15","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","797,135.89","0.68","797,135.89","69,027.00","11.55","Brazil","XBSP","CAD","3.69","BRL"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","749,236.36","0.64","749,236.36","665,000.00","1.13","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","737,413.67","0.63","737,413.67","5,854.00","125.97","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrials","Equity","706,376.92","0.61","706,376.92","66,400.00","10.64","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"3481","INNOLUX CORP","Information Technology","Equity","694,683.41","0.60","694,683.41","326,504.00","2.13","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"2222","SAUDI ARABIAN OIL","Energy","Equity","671,508.06","0.58","671,508.06","70,561.00","9.52","Saudi Arabia","Saudi Stock Exchange","CAD","2.69","SAR"
"PDD","PDD HOLDINGS ADS","Consumer Discretionary","Equity","671,110.44","0.58","671,110.44","6,173.00","108.72","China","NASDAQ","CAD","0.71","USD"
"HDFCBANK","HDFC BANK","Financials","Equity","670,725.67","0.58","670,725.67","64,526.00","10.39","India","National Stock Exchange Of India","CAD","68.59","INR"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","641,369.12","0.55","641,369.12","36,319.00","17.66","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"2881","FUBON FINANCIAL HOLDING","Financials","Equity","638,700.45","0.55","638,700.45","96,101.00","6.65","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"SOL","SASOL","Materials","Equity","633,880.51","0.54","633,880.51","32,182.00","19.70","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"ICICIBANK","ICICI BANK","Financials","Equity","633,142.60","0.54","633,142.60","32,227.00","19.65","India","National Stock Exchange Of India","CAD","68.59","INR"
"BBDC4","BANCO BRADESCO PREF","Financials","Equity","627,434.61","0.54","627,434.61","127,463.00","4.92","Brazil","XBSP","CAD","3.69","BRL"
"BBAS3","BANCO DO BRASIL SA","Financials","Equity","626,857.93","0.54","626,857.93","101,463.00","6.18","Brazil","XBSP","CAD","3.69","BRL"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","623,815.67","0.54","623,815.67","15,000.00","41.59","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"9888","BAIDU","Communication","Equity","616,649.26","0.53","616,649.26","39,600.00","15.57","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","613,855.98","0.53","613,855.98","38,474.00","15.96","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","602,380.11","0.52","602,380.11","35,851.00","16.80","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"VBBR3","VIBRA ENERGIA SA","Consumer Discretionary","Equity","562,967.55","0.48","562,967.55","52,644.00","10.69","Brazil","XBSP","CAD","3.69","BRL"
"2891","CTBC FINANCIAL HOLDING","Financials","Equity","552,853.34","0.47","552,853.34","177,000.00","3.12","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
