Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","638,717,930.06","13.26","638,717,930.06","6,004,000.00","106.38","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","291,341,900.24","6.05","291,341,900.24","1,139,805.00","255.61","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"000660","SK HYNIX","Information Technology","Equity","237,781,088.70","4.94","237,781,088.70","134,608.00","1,766.47","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"700","TENCENT HOLDINGS","Communication","Equity","113,588,460.22","2.36","113,588,460.22","1,495,700.00","75.94","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"IEMG","ISHARES CORE MSCI EMERGING MARKETS","Financials","Equity","87,189,336.02","1.81","87,189,336.02","764,886.00","113.99","United States","NYSE Arca","CAD","0.71","USD"
"9988","ALIBABA GROUP HOLDING","Consumer Discretionary","Equity","76,616,302.26","1.59","76,616,302.26","4,089,200.00","18.74","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2454","MEDIATEK","Information Technology","Equity","69,431,275.96","1.44","69,431,275.96","351,711.00","197.41","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","38,262,952.02","0.79","38,262,952.02","195,540.00","195.68","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","35,369,850.55","0.73","35,369,850.55","20,507,000.00","1.72","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2308","DELTA ELECTRONICS","Information Technology","Equity","35,111,565.71","0.73","35,111,565.71","475,000.00","73.92","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
