Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"EMXC","ISHARES MSCI EM EX CHINA ETF","Financials","Equity","146,071,913.39","99.96","146,071,913.39","1,052,482.00","138.79","United States","NASDAQ","CAD","0.71","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","32,844.57","0.02","32,844.57","23,483.00","139.86","United States","-","CAD","0.71","USD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","21,401.29","0.01","21,401.29","21,401.00","100.00","Canada","-","CAD","1.00","CAD"
 
Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","28,057,434.70","19.20","28,057,434.70","63,205,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","12,793,956.86","8.76","12,793,956.86","11,995,109.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"000660","SK HYNIX","Information Technology","Equity","10,445,120.49","7.15","10,445,120.49","1,417,030.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"2454","MEDIATEK","Information Technology","Equity","3,047,892.72","2.09","3,047,892.72","3,700,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","1,680,878.72","1.15","1,680,878.72","2,058,575.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"2308","DELTA ELECTRONICS","Information Technology","Equity","1,541,628.37","1.05","1,541,628.37","4,998,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"2317","HON HAI PRECISION INDUSTRY","Information Technology","Equity","1,443,950.08","0.99","1,443,950.08","31,489,200.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"HDFCBANK","HDFC BANK","Financials","Equity","1,255,634.17","0.86","1,255,634.17","28,948,286.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","1,118,341.18","0.77","1,118,341.18","14,778,818.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"ICICIBANK","ICICI BANK","Financials","Equity","1,106,494.74","0.76","1,106,494.74","13,496,990.00","-","India","National Stock Exchange Of India","CAD","-","INR"
"402340","SK SQUARE","Industrials","Equity","1,008,495.10","0.69","1,008,495.10","236,850.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"3711","ASE TECHNOLOGY HOLDING","Information Technology","Equity","963,242.02","0.66","963,242.02","8,570,000.00","-","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","807,076.54","0.55","807,076.54","143,656.00","-","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","802,256.16","0.55","802,256.16","7,182,784.00","-","India","National Stock Exchange Of India","CAD","-","INR"
