Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"ASML","ASML HOLDING","Information Technology","Equity","27,021,659.19","3.88","27,021,659.19","11,862.00","2,277.98","Netherlands","Euronext Amsterdam","CAD","0.62","EUR"
"IEUR","ISHARES CORE MSCI EUROPE ETF","Financials","Equity","25,196,076.34","3.62","25,196,076.34","238,351.00","105.71","United States","NYSE Arca","CAD","0.71","USD"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","15,077,906.85","2.17","15,077,906.85","525,149.00","28.71","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"ROP","ROCHE PS PAR AG","Health Care","Equity","13,167,812.55","1.89","13,167,812.55","21,471.00","613.28","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"SHEL","SHELL PLC","Energy","Equity","11,806,685.13","1.70","11,806,685.13","177,038.00","66.69","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"NOVN","NOVARTIS AG","Health Care","Equity","11,025,194.78","1.58","11,025,194.78","55,968.00","196.99","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"AZN","ASTRAZENECA PLC","Health Care","Equity","10,690,934.58","1.54","10,690,934.58","46,062.00","232.10","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"NESN","NESTLE SA","Consumer Staples","Equity","10,472,314.46","1.50","10,472,314.46","78,741.00","133.00","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"SIE","SIEMENS N AG","Industrials","Equity","9,459,642.81","1.36","9,459,642.81","22,087.00","428.29","Germany","Xetra","CAD","0.62","EUR"
"SAP","SAP","Information Technology","Equity","9,345,707.04","1.34","9,345,707.04","30,944.00","302.02","Germany","Xetra","CAD","0.62","EUR"
"SAN","BANCO SANTANDER","Financials","Equity","9,074,936.69","1.30","9,074,936.69","436,143.00","20.81","Spain","Bolsa De Madrid","CAD","0.62","EUR"
"ALV","ALLIANZ","Financials","Equity","8,425,215.29","1.21","8,425,215.29","11,626.00","724.68","Germany","Xetra","CAD","0.62","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","7,748,548.14","1.11","7,748,548.14","16,800.00","461.22","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"TTE","TOTALENERGIES","Energy","Equity","7,640,817.40","1.10","7,640,817.40","59,729.00","127.92","France","Nyse Euronext - Euronext Paris","CAD","0.62","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","7,040,317.77","1.01","7,040,317.77","254,752.00","27.64","United Kingdom","London Stock Exchange","CAD","0.54","GBP"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","6,863,108.42","0.99","6,863,108.42","169,933.00","40.39","Spain","Bolsa De Madrid","CAD","0.62","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","6,764,369.65","0.97","6,764,369.65","95,105.00","71.13","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"ABBN","ABB LTD","Industrials","Equity","6,418,595.92","0.92","6,418,595.92","47,539.00","135.02","Switzerland","SIX Swiss Exchange","CAD","0.59","CHF"
"IBE","IBERDROLA","Utilities","Equity","6,249,733.26","0.90","6,249,733.26","189,586.00","32.96","Spain","Bolsa De Madrid","CAD","0.62","EUR"
