Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"XEF","ISHARES MSCI EAFE IMI INDEX","Other","Equity","19,994,938.00","64.80","19,994,938.00","383,780.00","52.10","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"XEC","ISHARES MSCI EMERGING MARKET","Financials","Equity","10,814,518.44","35.05","10,814,518.44","243,351.00","44.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","49,289.47","0.16","49,289.47","49,289.00","100.00","Canada","-","CAD","1.00","CAD"
 
Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,460,277.68","4.73","1,460,277.68","13,727.00","106.38","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","666,086.89","2.16","666,086.89","2,606.00","255.61","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"000660","SK HYNIX","Information Technology","Equity","543,630.99","1.76","543,630.99","308.00","1,766.47","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"ASML","ASML HOLDING","Information Technology","Equity","492,356.38","1.60","492,356.38","216.00","2,277.98","Netherlands","Euronext Amsterdam","CAD","-","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","274,725.44","0.89","274,725.44","9,569.00","28.71","United Kingdom","London Stock Exchange","CAD","-","GBP"
"700","TENCENT HOLDINGS","Communication","Equity","259,691.11","0.84","259,691.11","3,420.00","75.94","China","Hong Kong Exchanges And Clearing Ltd","CAD","-","HKD"
"ROP","ROCHE PS PAR AG","Health Care","Equity","239,920.64","0.78","239,920.64","391.00","613.28","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"SHEL","SHELL PLC","Energy","Equity","215,045.28","0.70","215,045.28","3,225.00","66.69","United Kingdom","London Stock Exchange","CAD","-","GBP"
"NOVN","NOVARTIS AG","Health Care","Equity","200,878.69","0.65","200,878.69","1,020.00","196.99","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"AZN","ASTRAZENECA PLC","Health Care","Equity","195,442.10","0.63","195,442.10","842.00","232.10","United Kingdom","London Stock Exchange","CAD","-","GBP"
"8306","MITSUBISHI UFJ FINANCIAL GROUP","Financials","Equity","195,056.62","0.63","195,056.62","5,947.00","32.80","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"NESN","NESTLE SA","Consumer Staples","Equity","190,808.91","0.62","190,808.91","1,435.00","133.00","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"9988","ALIBABA GROUP HOLDING","Consumer Discretionary","Equity","175,165.04","0.57","175,165.04","9,347.00","18.74","China","Hong Kong Exchanges And Clearing Ltd","CAD","-","HKD"
"SIE","SIEMENS N AG","Industrials","Equity","172,514.10","0.56","172,514.10","403.00","428.29","Germany","Xetra","CAD","-","EUR"
"SAP","SAP","Information Technology","Equity","170,450.91","0.55","170,450.91","564.00","302.02","Germany","Xetra","CAD","-","EUR"
"BHP","BHP GROUP LTD","Materials","Equity","169,478.13","0.55","169,478.13","2,829.00","59.90","Australia","Asx - All Markets","CAD","-","AUD"
"SAN","BANCO SANTANDER","Financials","Equity","165,342.75","0.54","165,342.75","7,945.00","20.81","Spain","Bolsa De Madrid","CAD","-","EUR"
"2454","MEDIATEK","Information Technology","Equity","158,739.25","0.51","158,739.25","804.00","197.41","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"ALV","ALLIANZ","Financials","Equity","153,503.83","0.50","153,503.83","212.00","724.68","Germany","Xetra","CAD","-","EUR"
"7203","TOYOTA MOTOR","Consumer Discretionary","Equity","143,930.30","0.47","143,930.30","5,282.00","27.25","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","142,765.71","0.46","142,765.71","932.00","153.21","Australia","Asx - All Markets","CAD","-","AUD"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","141,168.54","0.46","141,168.54","306.00","461.22","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"TTE","TOTALENERGIES","Energy","Equity","138,154.65","0.45","138,154.65","1,080.00","127.92","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","128,406.50","0.42","128,406.50","4,646.00","27.64","United Kingdom","London Stock Exchange","CAD","-","GBP"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","125,515.44","0.41","125,515.44","3,108.00","40.39","Spain","Bolsa De Madrid","CAD","-","EUR"
"8316","SUMITOMO MITSUI FINANCIAL GROUP","Financials","Equity","125,058.70","0.41","125,058.70","2,025.00","61.77","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"UBSG","UBS GROUP AG","Financials","Equity","123,331.54","0.40","123,331.54","1,734.00","71.13","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"6501","HITACHI","Industrials","Equity","121,072.09","0.39","121,072.09","2,462.00","49.17","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"ABBN","ABB LTD","Industrials","Equity","116,511.51","0.38","116,511.51","863.00","135.02","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"9984","SOFTBANK GROUP","Communication","Equity","115,981.86","0.38","115,981.86","2,067.00","56.10","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","115,608.55","0.37","115,608.55","738.00","156.66","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"IBE","IBERDROLA","Utilities","Equity","113,871.30","0.37","113,871.30","3,455.00","32.96","Spain","Bolsa De Madrid","CAD","-","EUR"
"8035","TOKYO ELECTRON","Information Technology","Equity","113,341.96","0.37","113,341.96","248.00","457.73","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"6857","ADVANTEST","Information Technology","Equity","110,698.18","0.36","110,698.18","408.00","271.57","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"6758","SONY GROUP","Consumer Discretionary","Equity","109,180.46","0.35","109,180.46","3,239.00","33.71","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","107,661.53","0.35","107,661.53","1,793.00","60.03","Denmark","Omx Nordic Exchange Copenhagen A/S","CAD","-","DKK"
"AIR","AIRBUS GROUP","Industrials","Equity","103,918.47","0.34","103,918.47","331.00","314.07","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","103,783.76","0.34","103,783.76","1,200.00","86.51","United Kingdom","London Stock Exchange","CAD","-","GBP"
"SAF","SAFRAN SA","Industrials","Equity","102,376.98","0.33","102,376.98","192.00","532.71","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"UCG","UNICREDIT","Financials","Equity","101,587.11","0.33","101,587.11","756.00","134.43","Italy","Borsa Italiana","CAD","-","EUR"
"8411","MIZUHO FINANCIAL GROUP","Financials","Equity","99,211.25","0.32","99,211.25","1,292.00","76.77","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","98,305.57","0.32","98,305.57","432.00","227.80","Germany","Xetra","CAD","-","EUR"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","96,851.58","0.31","96,851.58","1,148.00","84.36","Singapore","Singapore Exchange","CAD","-","SGD"
"285A","KIOXIA HOLDINGS","Information Technology","Equity","95,689.92","0.31","95,689.92","214.00","447.94","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"BP.","BP PLC","Energy","Equity","92,094.36","0.30","92,094.36","8,746.00","10.53","United Kingdom","London Stock Exchange","CAD","-","GBP"
"BNP","BNP PARIBAS SA","Financials","Equity","92,039.39","0.30","92,039.39","552.00","166.72","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","91,979.60","0.30","91,979.60","347.00","265.45","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"MC","LVMH","Consumer Discretionary","Equity","91,432.08","0.30","91,432.08","138.00","662.35","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","87,476.95","0.28","87,476.95","447.00","195.68","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","87,191.61","0.28","87,191.61","299.00","291.28","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","87,087.86","0.28","87,087.86","1,115.00","78.14","United Kingdom","London Stock Exchange","CAD","-","GBP"
"ISP","INTESA SANPAOLO","Financials","Equity","86,227.24","0.28","86,227.24","7,875.00","10.95","Italy","Borsa Italiana","CAD","-","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","85,944.32","0.28","85,944.32","1,891.00","45.46","Germany","Xetra","CAD","-","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","84,699.53","0.27","84,699.53","82.00","1,031.65","Switzerland","SIX Swiss Exchange","CAD","-","CHF"
"INGA","ING GROEP","Financials","Equity","83,048.20","0.27","83,048.20","1,600.00","51.91","Netherlands","Euronext Amsterdam","CAD","-","EUR"
"OR","LOREAL SA","Consumer Staples","Equity","81,456.59","0.26","81,456.59","133.00","610.62","France","Nyse Euronext - Euronext Paris","CAD","-","EUR"
