Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NVDA","NVIDIA","Information Technology","Equity","18,745,478.46","8.46","18,745,478.46","61,104.00","306.78","United States","NASDAQ","CAD","0.71","USD"
"AAPL","APPLE","Information Technology","Equity","17,479,831.18","7.89","17,479,831.18","37,085.00","471.34","United States","NASDAQ","CAD","0.71","USD"
"MSFT","MICROSOFT","Information Technology","Equity","13,054,730.56","5.89","13,054,730.56","18,752.00","696.17","United States","NASDAQ","CAD","0.71","USD"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","10,741,936.21","4.85","10,741,936.21","7,857.00","1,367.17","United States","NASDAQ","CAD","0.71","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","9,542,038.43","4.31","9,542,038.43","27,160.00","351.32","United States","NASDAQ","CAD","0.71","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","8,664,563.81","3.91","8,664,563.81","11,365.00","762.38","United States","NASDAQ","CAD","0.71","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","7,143,101.81","3.23","7,143,101.81","14,704.00","485.79","United States","NASDAQ","CAD","0.71","USD"
"META","META PLATFORMS CLASS A","Communication","Equity","7,135,397.41","3.22","7,135,397.41","7,477.00","954.31","United States","NASDAQ","CAD","0.71","USD"
"GOOG","ALPHABET CLASS C","Communication","Equity","6,619,554.89","2.99","6,619,554.89","13,771.00","480.68","United States","NASDAQ","CAD","0.71","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","6,458,148.61","2.92","6,458,148.61","12,609.00","512.18","United States","NASDAQ","CAD","0.71","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","5,812,983.95","2.62","5,812,983.95","11,967.00","485.75","United States","NASDAQ","CAD","0.71","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","5,332,450.47","2.41","5,332,450.47","35,042.00","152.17","United States","NASDAQ","CAD","0.71","USD"
"WMT","WALMART INC","Consumer Staples","Equity","5,084,127.45","2.30","5,084,127.45","34,039.00","149.36","United States","NASDAQ","CAD","0.71","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","4,236,601.03","1.91","4,236,601.03","27,477.00","154.19","United States","NASDAQ","CAD","0.71","USD"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","3,951,117.66","1.78","3,951,117.66","16,029.00","246.50","United States","NASDAQ","CAD","0.71","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","3,870,913.92","1.75","3,870,913.92","3,096.00","1,250.29","United States","NASDAQ","CAD","0.71","USD"
"LRCX","LAM RESEARCH","Information Technology","Equity","3,285,319.50","1.48","3,285,319.50","8,722.00","376.67","United States","NASDAQ","CAD","0.71","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","3,231,897.48","1.46","3,231,897.48","5,536.00","583.79","United States","NASDAQ","CAD","0.71","USD"
"NFLX","NETFLIX","Communication","Equity","3,096,138.55","1.40","3,096,138.55","29,394.00","105.33","United States","NASDAQ","CAD","0.71","USD"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","2,987,994.40","1.35","2,987,994.40","5,696.00","524.57","United States","NASDAQ","CAD","0.71","USD"
"SPCX","SPACE EXPLORATION TECHNOLOGIES COR","Communication","Equity","2,887,577.49","1.30","2,887,577.49","13,336.00","216.52","United States","NASDAQ","CAD","0.71","USD"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","2,441,964.86","1.10","2,441,964.86","7,106.00","343.65","United States","NASDAQ","CAD","0.71","USD"
"SNDK","SANDISK","Information Technology","Equity","2,332,479.47","1.05","2,332,479.47","1,033.00","2,257.95","United States","NASDAQ","CAD","0.71","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","2,295,540.07","1.04","2,295,540.07","6,358.00","361.05","United States","NASDAQ","CAD","0.71","USD"
"KLAC","KLA","Information Technology","Equity","2,147,420.47","0.97","2,147,420.47","9,086.00","236.34","United States","NASDAQ","CAD","0.71","USD"
"LIN","LINDE PLC","Materials","Equity","2,061,628.56","0.93","2,061,628.56","3,215.00","641.25","United States","NASDAQ","CAD","0.71","USD"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","2,047,372.96","0.92","2,047,372.96","6,080.00","336.74","United States","NASDAQ","CAD","0.71","USD"
"AMGN","AMGEN INC","Health Care","Equity","1,992,984.72","0.90","1,992,984.72","3,752.00","531.18","United States","NASDAQ","CAD","0.71","USD"
"QCOM","QUALCOMM","Information Technology","Equity","1,934,674.64","0.87","1,934,674.64","7,330.00","263.94","United States","NASDAQ","CAD","0.71","USD"
"GILD","GILEAD SCIENCES","Health Care","Equity","1,834,590.70","0.83","1,834,590.70","8,693.00","211.04","United States","NASDAQ","CAD","0.71","USD"
"PEP","PEPSICO","Consumer Staples","Equity","1,782,880.72","0.80","1,782,880.72","9,537.00","186.94","United States","NASDAQ","CAD","0.71","USD"
"TMUS","T MOBILE US INC","Communication","Equity","1,757,912.76","0.79","1,757,912.76","7,551.00","232.80","United States","NASDAQ","CAD","0.71","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","1,755,714.42","0.79","1,755,714.42","1,563.00","1,123.29","United States","NASDAQ","CAD","0.71","USD"
"ADI","ANALOG DEVICES","Information Technology","Equity","1,728,099.98","0.78","1,728,099.98","3,407.00","507.22","United States","NASDAQ","CAD","0.71","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING CLASS A","Information Technology","Equity","1,530,662.98","0.69","1,530,662.98","8,510.00","179.87","Canada","NASDAQ","CAD","0.71","USD"
"ASML","ASML HOLDING ADR REPRESENTING","Information Technology","Equity","1,456,496.95","0.66","1,456,496.95","639.00","2,279.32","Netherlands","NASDAQ","CAD","0.71","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","1,425,794.09","0.64","1,425,794.09","2,405.00","592.84","United States","NASDAQ","CAD","0.71","USD"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","1,325,538.84","0.60","1,325,538.84","2,471.00","536.43","United States","NASDAQ","CAD","0.71","USD"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","1,291,227.08","0.58","1,291,227.08","5,414.00","238.50","United States","NASDAQ","CAD","0.71","USD"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","1,278,978.90","0.58","1,278,978.90","1,771.00","722.17","United States","NASDAQ","CAD","0.71","USD"
"FTNT","FORTINET","Information Technology","Equity","1,233,929.53","0.56","1,233,929.53","5,112.00","241.38","United States","NASDAQ","CAD","0.71","USD"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","1,095,205.05","0.49","1,095,205.05","2,956.00","370.50","United Kingdom","NASDAQ","CAD","0.71","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,075,305.21","0.49","1,075,305.21","7,953.00","135.21","United States","NASDAQ","CAD","0.71","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,058,536.36","0.48","1,058,536.36","2,780.00","380.77","United States","NASDAQ","CAD","0.71","USD"
"ADBE","ADOBE INC","Information Technology","Equity","993,045.28","0.45","993,045.28","2,810.00","353.39","United States","NASDAQ","CAD","0.71","USD"
"APP","APPLOVIN CLASS A","Communication","Equity","959,435.86","0.43","959,435.86","2,133.00","449.80","United States","NASDAQ","CAD","0.71","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","923,323.83","0.42","923,323.83","2,512.00","367.56","United States","NASDAQ","CAD","0.71","USD"
"MELI","MERCADOLIBRE","Consumer Discretionary","Equity","903,701.81","0.41","903,701.81","354.00","2,552.81","United States","NASDAQ","CAD","0.71","USD"
"CSX","CSX","Industrials","Equity","865,780.71","0.39","865,780.71","12,923.00","66.99","United States","NASDAQ","CAD","0.71","USD"
"MAR","MARRIOTT INTERNATIONAL CLASS A","Consumer Discretionary","Equity","856,751.45","0.39","856,751.45","1,834.00","467.15","United States","NASDAQ","CAD","0.71","USD"
"MNST","MONSTER BEVERAGE","Consumer Staples","Equity","847,026.72","0.38","847,026.72","13,606.00","62.25","United States","NASDAQ","CAD","0.71","USD"
"INTU","INTUIT","Information Technology","Equity","836,064.26","0.38","836,064.26","1,909.00","437.96","United States","NASDAQ","CAD","0.71","USD"
"CMCSA","COMCAST CLASS A","Communication","Equity","793,963.23","0.36","793,963.23","24,778.00","32.04","United States","NASDAQ","CAD","0.71","USD"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","793,894.09","0.36","793,894.09","719.00","1,104.16","United States","NASDAQ","CAD","0.71","USD"
"DASH","DOORDASH CLASS A","Consumer Discretionary","Equity","780,988.26","0.35","780,988.26","2,870.00","272.12","United States","NASDAQ","CAD","0.71","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","779,735.40","0.35","779,735.40","8,986.00","86.77","United States","NASDAQ","CAD","0.71","USD"
"CTAS","CINTAS","Industrials","Equity","778,854.31","0.35","778,854.31","2,813.00","276.87","United States","NASDAQ","CAD","0.71","USD"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","758,196.98","0.34","758,196.98","2,297.00","330.08","United States","NASDAQ","CAD","0.71","USD"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","752,777.10","0.34","752,777.10","1,917.00","392.68","United States","NASDAQ","CAD","0.71","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","726,658.43","0.33","726,658.43","2,264.00","320.96","United States","NASDAQ","CAD","0.71","USD"
"SNPS","SYNOPSYS","Information Technology","Equity","707,987.90","0.32","707,987.90","1,328.00","533.12","United States","NASDAQ","CAD","0.71","USD"
"WBD","WARNER BROS. DISCOVERY SERIES A","Communication","Equity","688,763.96","0.31","688,763.96","17,438.00","39.50","United States","NASDAQ","CAD","0.71","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","684,249.05","0.31","684,249.05","5,763.00","118.73","United States","NASDAQ","CAD","0.71","USD"
"LITE","LUMENTUM HOLDINGS","Information Technology","Equity","682,416.80","0.31","682,416.80","546.00","1,249.84","United States","NASDAQ","CAD","0.71","USD"
"ABNB","AIRBNB CLASS A","Consumer Discretionary","Equity","671,401.64","0.30","671,401.64","2,893.00","232.08","United States","NASDAQ","CAD","0.71","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","647,585.22","0.29","647,585.22","3,807.00","170.10","United States","NASDAQ","CAD","0.71","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","635,087.12","0.29","635,087.12","2,199.00","288.81","United States","NASDAQ","CAD","0.71","USD"
"PCAR","PACCAR INC","Industrials","Equity","605,697.13","0.27","605,697.13","3,690.00","164.14","United States","NASDAQ","CAD","0.71","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","566,228.35","0.26","566,228.35","1,776.00","318.82","United States","NASDAQ","CAD","0.71","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","562,726.58","0.25","562,726.58","344.00","1,635.82","United States","NASDAQ","CAD","0.71","USD"
"FAST","FASTENAL","Industrials","Equity","549,115.50","0.25","549,115.50","7,983.00","68.79","United States","NASDAQ","CAD","0.71","USD"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","545,653.65","0.25","545,653.65","6,897.00","79.11","United States","NASDAQ","CAD","0.71","USD"
"FANG","DIAMONDBACK ENERGY","Energy","Equity","543,463.11","0.25","543,463.11","1,973.00","275.45","United States","NASDAQ","CAD","0.71","USD"
"TER","TERADYNE","Information Technology","Equity","539,838.47","0.24","539,838.47","1,093.00","493.90","United States","NASDAQ","CAD","0.71","USD"
"HONA","HONEYWELL AEROSPACE INC","Industrials","Equity","514,030.27","0.23","514,030.27","2,199.00","233.75","United States","NASDAQ","CAD","0.71","USD"
"PDD","PDD HOLDINGS ADS","Consumer Discretionary","Equity","504,664.61","0.23","504,664.61","4,642.00","108.72","China","NASDAQ","CAD","0.71","USD"
"ALAB","ASTERA LABS","Information Technology","Equity","492,294.65","0.22","492,294.65","1,199.00","410.58","United States","NASDAQ","CAD","0.71","USD"
"NBIS","NEBIUS NV CLASS A","Information Technology","Equity","469,533.24","0.21","469,533.24","1,540.00","304.89","Netherlands","NASDAQ","CAD","0.71","USD"
"PYPL","PAYPAL HOLDINGS","Financials","Equity","457,743.29","0.21","457,743.29","6,182.00","74.04","United States","NASDAQ","CAD","0.71","USD"
"ADSK","AUTODESK","Information Technology","Equity","450,444.63","0.20","450,444.63","1,473.00","305.80","United States","NASDAQ","CAD","0.71","USD"
"XEL","XCEL ENERGY INC","Utilities","Equity","443,031.14","0.20","443,031.14","4,302.00","102.98","United States","NASDAQ","CAD","0.71","USD"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Consumer Staples","Equity","431,587.14","0.19","431,587.14","3,071.00","140.54","Netherlands","NASDAQ","CAD","0.71","USD"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","431,538.42","0.19","431,538.42","2,333.00","184.97","United States","NASDAQ","CAD","0.71","USD"
"EXC","EXELON CORP","Utilities","Equity","430,589.51","0.19","430,589.51","7,220.00","59.64","United States","NASDAQ","CAD","0.71","USD"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","422,055.83","0.19","422,055.83","9,601.00","43.96","United States","NASDAQ","CAD","0.71","USD"
"PAYX","PAYCHEX","Industrials","Equity","405,925.17","0.18","405,925.17","2,491.00","162.96","United States","NASDAQ","CAD","0.71","USD"
"WDAY","WORKDAY CLASS A","Information Technology","Equity","396,065.34","0.18","396,065.34","1,421.00","278.72","United States","NASDAQ","CAD","0.71","USD"
"IDXX","IDEXX LABORATORIES","Health Care","Equity","393,155.48","0.18","393,155.48","555.00","708.38","United States","NASDAQ","CAD","0.71","USD"
"FER","FERROVIAL NV","Industrials","Equity","387,990.27","0.18","387,990.27","5,076.00","76.44","Spain","NASDAQ","CAD","0.71","USD"
"RKLB","ROCKET LAB CORP","Industrials","Equity","384,073.74","0.17","384,073.74","4,049.00","94.86","United States","NASDAQ","CAD","0.71","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE","Communication","Equity","381,485.84","0.17","381,485.84","1,295.00","294.58","United States","NASDAQ","CAD","0.71","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","375,210.46","0.17","375,210.46","3,788.00","99.05","United States","NASDAQ","CAD","0.71","USD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","374,836.97","0.17","374,836.97","2,694.00","139.14","Canada","NASDAQ","CAD","0.71","USD"
"ROP","ROPER TECHNOLOGIES","Information Technology","Equity","371,628.07","0.17","371,628.07","709.00","524.15","United States","NASDAQ","CAD","0.71","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","363,794.19","0.16","363,794.19","260,104.00","139.86","United States","-","CAD","0.71","USD"
"AXON","AXON ENTERPRISE","Industrials","Equity","355,201.15","0.16","355,201.15","560.00","634.28","United States","NASDAQ","CAD","0.71","USD"
"ODFL","OLD DOMINION FREIGHT LINE","Industrials","Equity","352,396.18","0.16","352,396.18","1,439.00","244.89","United States","NASDAQ","CAD","0.71","USD"
"CRWV","COREWEAVE CLASS A","Information Technology","Equity","349,696.63","0.16","349,696.63","3,130.00","111.72","United States","NASDAQ","CAD","0.71","USD"
"DXCM","DEXCOM INC","Health Care","Equity","334,883.51","0.15","334,883.51","2,723.00","122.98","United States","NASDAQ","CAD","0.71","USD"
"ALNY","ALNYLAM PHARMACEUTICALS","Health Care","Equity","315,225.19","0.14","315,225.19","918.00","343.38","United States","NASDAQ","CAD","0.71","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES","Health Care","Equity","286,632.48","0.13","286,632.48","3,180.00","90.14","United States","NASDAQ","CAD","0.71","USD"
"CPRT","COPART INC","Industrials","Equity","271,595.48","0.12","271,595.48","6,547.00","41.48","United States","NASDAQ","CAD","0.71","USD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","77,496.25","0.03","77,496.25","77,496.00","100.00","Canada","-","CAD","1.00","CAD"
"RBCFT","CASH COLLATERAL USD RBCFT","Cash and/or Derivatives","Cash Collateral and Margins","26,574.35","0.01","26,574.35","19,000.00","139.86","United States","-","CAD","0.71","USD"
"HWBZ6","MICRO E-MINI NASDAQ 100 DEC 26","Cash and/or Derivatives","Futures","0.00","0.00","332,800.38","4.00","41,599.77","-","Chicago Mercantile Exchange","CAD","0.71","USD"
 
