Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"MSFT","MICROSOFT","Information Technology","Equity","12,875,812.80","3.63","12,875,812.80","18,495.00","696.17","United States","NASDAQ","CAD","0.71","USD"
"AAPL","APPLE","Information Technology","Equity","11,879,780.64","3.35","11,879,780.64","25,204.00","471.34","United States","NASDAQ","CAD","0.71","USD"
"NVDA","NVIDIA","Information Technology","Equity","11,258,822.00","3.17","11,258,822.00","36,700.00","306.78","United States","NASDAQ","CAD","0.71","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","10,848,271.82","3.06","10,848,271.82","30,878.00","351.32","United States","NASDAQ","CAD","0.71","USD"
"META","META PLATFORMS CLASS A","Communication","Equity","9,921,036.72","2.80","9,921,036.72","10,396.00","954.31","United States","NASDAQ","CAD","0.71","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","9,592,613.61","2.70","9,592,613.61","19,748.00","485.75","United States","NASDAQ","CAD","0.71","USD"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","7,298,008.84","2.06","7,298,008.84","5,338.00","1,367.17","United States","NASDAQ","CAD","0.71","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","6,818,215.11","1.92","6,818,215.11","13,312.00","512.18","United States","NASDAQ","CAD","0.71","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","6,190,574.57","1.74","6,190,574.57","12,671.00","488.56","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","6,173,997.48","1.74","6,173,997.48","8,669.00","712.19","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"LLY","ELI LILLY","Health Care","Equity","6,034,804.61","1.70","6,034,804.61","3,744.00","1,611.85","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","5,889,463.74","1.66","5,889,463.74","7,725.00","762.38","United States","NASDAQ","CAD","0.71","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","5,566,703.18","1.57","5,566,703.18","11,459.00","485.79","United States","NASDAQ","CAD","0.71","USD"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","4,476,493.75","1.26","4,476,493.75","19,603.00","228.36","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GOOG","ALPHABET CLASS C","Communication","Equity","4,440,115.35","1.25","4,440,115.35","9,237.00","480.68","United States","NASDAQ","CAD","0.71","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","4,302,127.48","1.21","4,302,127.48","11,383.00","377.94","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"V","VISA CLASS A","Financials","Equity","4,060,575.56","1.14","4,060,575.56","7,848.00","517.40","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","3,554,611.91","1.00","3,554,611.91","23,359.00","152.17","United States","NASDAQ","CAD","0.71","USD"
