Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"ITOT","ISHARES CORE S&P TOTAL U.S. STOCK","Financials","Equity","1,495,709.51","100.67","1,495,709.51","6,434.00","232.47","United States","NYSE Arca","CAD","0.71","USD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","3,678.20","0.25","3,678.20","179,000.00","1.00","Canada","-","CAD","0.72","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","838.33","0.06","838.33","838.00","100.00","Canada","-","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","740.47","0.05","740.47","529.00","139.86","United States","-","CAD","0.71","USD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","70.02","0.00","70.02","5,000.00","1.00","Canada","-","CAD","0.72","CAD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","15.55","0.00","15.55","1,000.00","1.00","Canada","-","CAD","0.72","CAD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","-14.79","0.00","-14.79","-2,000.00","1.00","Canada","-","CAD","0.72","CAD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","-893.66","-0.06","-893.66","-67,000.00","1.00","Canada","-","CAD","0.72","CAD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","-14,450.94","-0.97","-14,450.94","-1,203,000.00","1.00","Canada","-","CAD","0.72","CAD"
 
Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NVDA","NVIDIA","Information Technology","Equity","107,633.65","7.24","107,633.65","31,486,074.00","-","United States","NASDAQ","CAD","-","USD"
"AAPL","APPLE","Information Technology","Equity","100,280.59","6.75","100,280.59","19,093,026.00","-","United States","NASDAQ","CAD","-","USD"
"MSFT","MICROSOFT","Information Technology","Equity","74,906.63","5.04","74,906.63","9,655,990.00","-","United States","NASDAQ","CAD","-","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","49,824.48","3.35","49,824.48","12,727,061.00","-","United States","NASDAQ","CAD","-","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","41,228.34","2.78","41,228.34","7,616,243.00","-","United States","NASDAQ","CAD","-","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","33,313.94","2.24","33,313.94","6,154,741.00","-","United States","NASDAQ","CAD","-","USD"
"GOOG","ALPHABET CLASS C","Communication","Equity","32,945.25","2.22","32,945.25","6,150,733.00","-","United States","NASDAQ","CAD","-","USD"
"META","META PLATFORMS CLASS A","Communication","Equity","30,363.50","2.04","30,363.50","2,855,342.00","-","United States","NASDAQ","CAD","-","USD"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","22,336.33","1.50","22,336.33","1,466,167.00","-","United States","NASDAQ","CAD","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","20,900.00","1.41","20,900.00","3,661,970.00","-","United States","NASDAQ","CAD","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","18,959.46","1.28","18,959.46","3,482,609.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","18,886.62","1.27","18,886.62","2,379,865.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"LLY","ELI LILLY","Health Care","Equity","18,467.97","1.24","18,467.97","1,028,223.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","18,012.08","1.21","18,012.08","2,120,237.00","-","United States","NASDAQ","CAD","-","USD"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","13,699.50","0.92","13,699.50","5,383,792.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","13,166.13","0.89","13,166.13","3,126,295.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"V","VISA CLASS A","Financials","Equity","12,434.13","0.84","12,434.13","2,156,673.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","10,890.41","0.73","10,890.41","6,422,497.00","-","United States","NASDAQ","CAD","-","USD"
"WMT","WALMART INC","Consumer Staples","Equity","9,497.46","0.64","9,497.46","5,706,470.00","-","United States","NASDAQ","CAD","-","USD"
"ABBV","ABBVIE","Health Care","Equity","9,453.93","0.64","9,453.93","2,297,542.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"MA","MASTERCARD CLASS A","Financials","Equity","9,239.15","0.62","9,239.15","1,047,883.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","8,816.01","0.59","8,816.01","5,131,195.00","-","United States","NASDAQ","CAD","-","USD"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","8,198.43","0.55","8,198.43","2,984,818.00","-","United States","NASDAQ","CAD","-","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","8,029.12","0.54","8,029.12","576,303.00","-","United States","NASDAQ","CAD","-","USD"
"CVX","CHEVRON","Energy","Equity","8,016.26","0.54","8,016.26","2,431,135.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"BAC","BANK OF AMERICA","Financials","Equity","7,716.66","0.52","7,716.66","8,510,274.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","7,468.38","0.50","7,468.38","600,070.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"MRK","MERCK & CO INC","Health Care","Equity","7,379.38","0.50","7,379.38","3,217,749.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","6,953.70","0.47","6,953.70","3,023,854.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","6,901.95","0.46","6,901.95","1,180,276.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"KO","COCA-COLA","Consumer Staples","Equity","6,894.62","0.46","6,894.62","5,023,607.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"LRCX","LAM RESEARCH","Information Technology","Equity","6,824.62","0.46","6,824.62","1,625,988.00","-","United States","NASDAQ","CAD","-","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","6,710.65","0.45","6,710.65","1,031,563.00","-","United States","NASDAQ","CAD","-","USD"
"GE","GE AEROSPACE","Industrials","Equity","6,625.54","0.45","6,625.54","1,356,180.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"NFLX","NETFLIX","Communication","Equity","6,430.35","0.43","6,430.35","5,478,582.00","-","United States","NASDAQ","CAD","-","USD"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","6,159.48","0.41","6,159.48","1,053,746.00","-","United States","NASDAQ","CAD","-","USD"
"HD","HOME DEPOT","Consumer Discretionary","Equity","6,121.79","0.41","6,121.79","1,298,465.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","6,013.65","0.40","6,013.65","2,025,686.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","5,683.25","0.38","5,683.25","383,259.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"WFC","WELLS FARGO","Financials","Equity","5,399.06","0.36","5,399.06","3,986,887.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"RTX","RTX","Industrials","Equity","5,274.92","0.36","5,274.92","1,748,791.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"ORCL","ORACLE","Information Technology","Equity","5,179.04","0.35","5,179.04","2,206,680.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","5,068.96","0.34","5,068.96","1,323,727.00","-","United States","NASDAQ","CAD","-","USD"
"GEV","GE VERNOVA","Industrials","Equity","5,041.44","0.34","5,041.44","349,726.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","4,960.22","0.33","4,960.22","483,451.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"MS","MORGAN STANLEY","Financials","Equity","4,944.07","0.33","4,944.07","1,558,717.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","4,907.12","0.33","4,907.12","314,856,074.00","-","United States","-","CAD","-","USD"
"SNDK","SANDISK","Information Technology","Equity","4,846.25","0.33","4,846.25","192,614.00","-","United States","NASDAQ","CAD","-","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","4,756.21","0.32","4,756.21","1,182,214.00","-","United States","NASDAQ","CAD","-","USD"
"C","CITIGROUP","Financials","Equity","4,584.35","0.31","4,584.35","2,216,650.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","4,527.81","0.30","4,527.81","1,221,944.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"KLAC","KLA","Information Technology","Equity","4,470.97","0.30","4,470.97","1,697,686.00","-","United States","NASDAQ","CAD","-","USD"
"LIN","LINDE PLC","Materials","Equity","4,284.16","0.29","4,284.16","599,562.00","-","United States","NASDAQ","CAD","-","USD"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","4,273.69","0.29","4,273.69","1,138,936.00","-","United States","NASDAQ","CAD","-","USD"
"ANET","ARISTA NETWORKS","Information Technology","Equity","4,176.62","0.28","4,176.62","1,343,106.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"AMGN","AMGEN INC","Health Care","Equity","4,161.81","0.28","4,161.81","703,147.00","-","United States","NASDAQ","CAD","-","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","4,074.16","0.27","4,074.16","5,408,985.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"QCOM","QUALCOMM","Information Technology","Equity","4,030.49","0.27","4,030.49","1,370,435.00","-","United States","NASDAQ","CAD","-","USD"
"CRM","SALESFORCE","Information Technology","Equity","4,027.95","0.27","4,027.95","1,064,226.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","3,906.64","0.26","3,906.64","3,198,472.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"GILD","GILEAD SCIENCES","Health Care","Equity","3,803.89","0.26","3,803.89","1,617,540.00","-","United States","NASDAQ","CAD","-","USD"
"DIS","WALT DISNEY","Communication","Equity","3,712.05","0.25","3,712.05","2,260,835.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"PEP","PEPSICO","Consumer Staples","Equity","3,693.80","0.25","3,693.80","1,773,213.00","-","United States","NASDAQ","CAD","-","USD"
"USD","USD/CAD","Cash and/or Derivatives","Forwards","3,678.20","0.25","3,678.20","3,678.00","1.00","Canada","-","CAD","1.00","CAD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","3,650.88","0.25","3,650.88","291,674.00","-","United States","NASDAQ","CAD","-","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","3,608.40","0.24","3,608.40","2,264,761.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"ADI","ANALOG DEVICES","Information Technology","Equity","3,587.31","0.24","3,587.31","634,711.00","-","United States","NASDAQ","CAD","-","USD"
"T","AT&T","Communication","Equity","3,574.75","0.24","3,574.75","9,033,871.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","3,569.51","0.24","3,569.51","921,720.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"DE","DEERE","Industrials","Equity","3,496.97","0.24","3,496.97","327,255.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"SCHW","CHARLES SCHWAB","Financials","Equity","3,473.04","0.23","3,473.04","2,129,819.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","3,450.30","0.23","3,450.30","376,254.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"NEE","NEXTERA ENERGY","Utilities","Equity","3,439.23","0.23","3,439.23","2,714,951.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"UNP","UNION PACIFIC","Industrials","Equity","3,390.62","0.23","3,390.62","770,152.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","3,357.72","0.23","3,357.72","692,349.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"WELL","WELLTOWER","Real Estate","Equity","3,317.03","0.22","3,317.03","916,371.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"COP","CONOCOPHILLIPS","Energy","Equity","3,281.44","0.22","3,281.44","1,580,833.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"ETN","EATON PLC","Industrials","Equity","3,225.65","0.22","3,225.65","505,474.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"PFE","PFIZER","Health Care","Equity","3,200.37","0.22","3,200.37","7,429,231.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"BA","BOEING","Industrials","Equity","3,149.67","0.21","3,149.67","1,025,834.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"BLK","BLACKROCK","Financials","Equity","3,089.39","0.21","3,089.39","188,074.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,961.50","0.20","2,961.50","448,291.00","-","United States","NASDAQ","CAD","-","USD"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","2,925.46","0.20","2,925.46","2,648,663.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"NOW","SERVICENOW","Information Technology","Equity","2,895.10","0.19","2,895.10","1,341,484.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"TJX","TJX","Consumer Discretionary","Equity","2,830.63","0.19","2,830.63","1,435,165.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","2,760.93","0.19","2,760.93","461,878.00","-","United States","NASDAQ","CAD","-","USD"
"DHR","DANAHER","Health Care","Equity","2,717.85","0.18","2,717.85","820,665.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"NEM","NEWMONT","Materials","Equity","2,688.84","0.18","2,688.84","1,387,005.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","2,672.38","0.18","2,672.38","1,005,550.00","-","United States","NASDAQ","CAD","-","USD"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","2,661.32","0.18","2,661.32","330,707.00","-","United States","NASDAQ","CAD","-","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","2,601.79","0.18","2,601.79","2,656,518.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"PLD","PROLOGIS REIT","Real Estate","Equity","2,597.15","0.17","2,597.15","1,232,710.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"PGR","PROGRESSIVE","Financials","Equity","2,561.55","0.17","2,561.55","759,919.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","2,549.89","0.17","2,549.89","809,785.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"MPC","MARATHON PETROLEUM","Energy","Equity","2,501.28","0.17","2,501.28","380,344.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"CB","CHUBB","Financials","Equity","2,495.89","0.17","2,495.89","468,402.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"SPGI","S&P GLOBAL","Financials","Equity","2,487.81","0.17","2,487.81","395,008.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"VLO","VALERO ENERGY CORP","Energy","Equity","2,483.18","0.17","2,483.18","386,216.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","2,423.95","0.16","2,423.95","1,676,457.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"SNOW","SNOWFLAKE","Information Technology","Equity","2,371.30","0.16","2,371.30","449,627.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","2,367.26","0.16","2,367.26","798,214.00","-","United States","New York Stock Exchange Inc.","CAD","-","USD"
