Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"MSFT","MICROSOFT","Information Technology","Equity","12,316,781.84","3.59","12,316,781.84","17,692.00","696.17","United States","NASDAQ","CAD","0.71","USD"
"AAPL","APPLE","Information Technology","Equity","11,369,313.95","3.32","11,369,313.95","24,121.00","471.34","United States","NASDAQ","CAD","0.71","USD"
"NVDA","NVIDIA","Information Technology","Equity","10,766,133.49","3.14","10,766,133.49","35,094.00","306.78","United States","NASDAQ","CAD","0.71","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","10,381,709.70","3.03","10,381,709.70","29,550.00","351.32","United States","NASDAQ","CAD","0.71","USD"
"META","META PLATFORMS CLASS A","Communication","Equity","9,488,732.98","2.77","9,488,732.98","9,943.00","954.31","United States","NASDAQ","CAD","0.71","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","9,177,782.13","2.68","9,177,782.13","18,894.00","485.75","United States","NASDAQ","CAD","0.71","USD"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","6,980,822.99","2.04","6,980,822.99","5,106.00","1,367.17","United States","NASDAQ","CAD","0.71","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","6,529,854.60","1.91","6,529,854.60","12,749.00","512.18","United States","NASDAQ","CAD","0.71","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","5,923,819.48","1.73","5,923,819.48","12,125.00","488.56","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","5,914,047.18","1.73","5,914,047.18","8,304.00","712.19","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"LLY","ELI LILLY","Health Care","Equity","5,770,459.54","1.68","5,770,459.54","3,580.00","1,611.85","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","5,630,251.10","1.64","5,630,251.10","7,385.00","762.38","United States","NASDAQ","CAD","0.71","USD"
"GOOGL","ALPHABET CLASS A","Communication","Equity","5,334,008.29","1.56","5,334,008.29","10,980.00","485.79","United States","NASDAQ","CAD","0.71","USD"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","4,283,988.30","1.25","4,283,988.30","18,760.00","228.36","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GOOG","ALPHABET CLASS C","Communication","Equity","4,244,475.32","1.24","4,244,475.32","8,830.00","480.68","United States","NASDAQ","CAD","0.71","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","4,119,958.86","1.20","4,119,958.86","10,901.00","377.94","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"V","VISA CLASS A","Financials","Equity","3,886,728.29","1.13","3,886,728.29","7,512.00","517.40","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","3,399,547.50","0.99","3,399,547.50","22,340.00","152.17","United States","NASDAQ","CAD","0.71","USD"
"WMT","WALMART INC","Consumer Staples","Equity","2,960,052.82","0.86","2,960,052.82","19,818.00","149.36","United States","NASDAQ","CAD","0.71","USD"
