Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"JPM","JPMORGAN CHASE & CO","Financials","Equity","7,676,292.92","11.87","7,676,292.92","15,712.00","488.56","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","7,656,070.23","11.84","7,656,070.23","10,750.00","712.19","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"V","VISA CLASS A","Financials","Equity","5,035,362.05","7.79","5,035,362.05","9,732.00","517.40","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MA","MASTERCARD CLASS A","Financials","Equity","3,743,442.85","5.79","3,743,442.85","4,731.00","791.25","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BAC","BANK OF AMERICA","Financials","Equity","3,115,301.43","4.82","3,115,301.43","38,284.00","81.37","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","2,300,907.41","3.56","2,300,907.41","1,729.00","1,330.76","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"WFC","WELLS FARGO","Financials","Equity","2,181,683.20","3.37","2,181,683.20","17,952.00","121.53","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MS","MORGAN STANLEY","Financials","Equity","2,002,250.95","3.10","2,002,250.95","7,034.00","284.65","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"C","CITIGROUP","Financials","Equity","1,854,709.34","2.87","1,854,709.34","9,993.00","185.60","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SCHW","CHARLES SCHWAB","Financials","Equity","1,402,822.42","2.17","1,402,822.42","9,586.00","146.34","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","1,358,315.13","2.10","1,358,315.13","3,121.00","435.21","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BLK","BLACKROCK","Financials","Equity","1,248,580.62","1.93","1,248,580.62","847.00","1,474.11","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PGR","PROGRESSIVE","Financials","Equity","1,035,807.97","1.60","1,035,807.97","3,424.00","302.51","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,030,863.68","1.59","1,030,863.68","3,648.00","282.58","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CB","CHUBB","Financials","Equity","1,010,911.49","1.56","1,010,911.49","2,114.00","478.20","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SPGI","S&P GLOBAL","Financials","Equity","1,006,636.25","1.56","1,006,636.25","1,781.00","565.20","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","860,794.16","1.33","860,794.16","4,022.00","214.02","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CME","CME GROUP CLASS A","Financials","Equity","805,514.14","1.25","805,514.14","2,124.00","379.24","United States","NASDAQ","CAD","0.71","USD"
"USB","US BANCORP","Financials","Equity","766,507.75","1.19","766,507.75","9,096.00","84.27","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","765,172.85","1.18","765,172.85","2,358.00","324.50","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BX","BLACKSTONE","Financials","Equity","763,185.83","1.18","763,185.83","4,351.00","175.40","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","712,023.57","1.10","712,023.57","4,636.00","153.58","United States","NASDAQ","CAD","0.71","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","710,350.42","1.10","710,350.42","3,313.00","214.41","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MRSH","MARSH","Financials","Equity","690,530.62","1.07","690,530.62","2,828.00","244.17","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TRV","TRAVELERS COMPANIES","Financials","Equity","661,874.79","1.02","661,874.79","1,247.00","530.77","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MCO","MOODYS CORP","Financials","Equity","569,133.46","0.88","569,133.46","881.00","646.00","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"KKR","KKR AND CO INC","Financials","Equity","556,337.78","0.86","556,337.78","4,051.00","137.33","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ALL","ALLSTATE CORP","Financials","Equity","533,363.32","0.83","533,363.32","1,512.00","352.75","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AON","AON PLC CLASS A","Financials","Equity","518,416.06","0.80","518,416.06","1,252.00","414.07","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","508,498.03","0.79","508,498.03","1,506.00","337.65","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TFC","TRUIST FINANCIAL","Financials","Equity","493,665.06","0.76","493,665.06","7,285.00","67.76","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"APO","APOLLO GLOBAL MANAGEMENT","Financials","Equity","475,996.96","0.74","475,996.96","2,701.00","176.23","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AFL","AFLAC","Financials","Equity","438,202.92","0.68","438,202.92","2,687.00","163.08","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MET","METLIFE","Financials","Equity","431,350.37","0.67","431,350.37","3,168.00","136.16","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"STT","STATE STREET","Financials","Equity","414,290.28","0.64","414,290.28","1,618.00","256.05","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","403,755.71","0.62","403,755.71","529.00","763.24","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","395,925.34","0.61","395,925.34","5,314.00","74.51","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PYPL","PAYPAL HOLDINGS","Financials","Equity","383,180.45","0.59","383,180.45","5,175.00","74.04","United States","NASDAQ","CAD","0.71","USD"
"NDAQ","NASDAQ INC","Financials","Equity","336,006.93","0.52","336,006.93","2,631.00","127.71","United States","NASDAQ","CAD","0.71","USD"
