HoldingName,WeightPct,AsOf
SK Hynix Inc.,3.41,2026-09-18
Yangzijiang Shipbuilding (Holdings) Ltd.,3.25,2026-09-18
"Hanwha Aerospace Co., Ltd.",3.08,2026-09-18
AngloGold Ashanti Plc,3.03,2026-09-18
Advantest Corporation,2.91,2026-09-18
SAP SE,2.82,2026-09-18
argenx SE,2.82,2026-09-18
Azimut Holding SpA,2.58,2026-09-18
Deutsche Boerse AG,2.54,2026-09-18
BHP Group Limited,2.54,2026-09-18
Tokyo Electron Limited,2.53,2026-09-18
Publicis Groupe,2.52,2026-09-18
Kia Corporation,2.51,2026-09-18
Andritz AG,2.51,2026-09-18
"Tokio Marine Holdings, Inc.",2.48,2026-09-18
Prysmian SpA,2.47,2026-09-18
Poste Italiane SpA,2.47,2026-09-18
Rio Tinto Plc,2.44,2026-09-18
Schneider Electric SE,2.43,2026-09-18
ASML Holding N.V.,2.42,2026-09-18
ABB Ltd,2.42,2026-09-18
Roche Holding AG,2.4,2026-09-18
Sony Corporation,2.39,2026-09-18
Rolls-Royce Holdings Plc,2.39,2026-09-18
Technip Energies N.V.,2.39,2026-09-18
BAE Systems Plc,2.38,2026-09-18
Techtronic Industries Company Ltd.,2.38,2026-09-18
AstraZeneca Plc,2.37,2026-09-18
"Chugai Pharmaceutical Co., Ltd.",2.36,2026-09-18
GSK Plc,2.34,2026-09-18
UCB S.A.,2.32,2026-09-18
Siemens Energy AG,2.32,2026-09-18
Unilever Plc,2.3,2026-09-18
"Ryohin Keikaku Co., Ltd.",2.3,2026-09-18
Airbus SE,2.29,2026-09-18
Siemens AG,2.27,2026-09-18
Novartis AG,2.16,2026-09-18
Volvo AB (Class B),2.15,2026-09-18
LVMH Moet Hennessy Louis Vuitton SE,2.06,2026-09-18
WH Group Limited,1.86,2026-09-18
