Ticker,HoldingName,WeightPct
JNJ,Johnson & Johnson,6.9
ABBV,AbbVie Inc,5.5
CSCO,Cisco Systems Inc,5.5
,B 07/16/26,5.0
XOM,Exxon Mobil Corp,4.5
HD,HOME DEPOT INC,4.4
CVX,Chevron Corp,4.1
GLW,Corning Inc,2.9
MRK,MERCK & CO.,2.9
MO,"ALTRIA GROUP, INC.",2.8
CMI,Cummins Inc,2.7
CL,Colgate-Palmolive Co,2.6
ITW,ILLINOIS TOOL,2.6
SYY,SYSCO CORP.,2.5
FAST,Fastenal Co,2.4
CHRW,C.H. ROBINSON WORLDWIDE,2.2
SNA,Snap-on Inc,2.1
TPR,Tapestry Inc,2.1
WEC,WEC ENERGY GROUP INC,2.1
EVRG,EVERGY INC,2.1
TEL,TE Connectivity PLC,2.0
WSM,WILLIAMS-SONOMA,1.9
IBM,INTL BUSINESS MACHINES CO,1.9
FHI,FEDERATED HERMES INC,1.8
CVS,CVS Health Corp,1.8
,B 08/13/26,1.8
PEP,PepsiCo Inc,1.8
RPRX,ROYALTY PHARMA PLC- CL A,1.7
BX,Blackstone Inc,1.7
WFC,Wells Fargo & Co,1.7
CCL,CARNIVAL CORPORATION,1.7
C,Citigroup Inc,1.6
KO,Coca-Cola Co/The,1.6
FERG,FERGUSON ENTERPRISES INC/,1.5
CFG,CITIZENS FINANCIAL GROUP,1.5
ROK,ROCKWELL AUTOMATION INC,1.5
AB,ALLIANCEBERNSTEIN HLDG LP,1.5
OXY,Occidental Petroleum Corp,1.4
LOW,LOWE'S COMPANIES,1.4
SLB,SCHLUMBERGER,1.4
IVZ,INVESCO LTD,1.4
KR,KROGER CO,1.3
APAM,ARTISAN PARTNERS ASSET MA,1.3
KMB,Kimberly-Clark Corp,1.3
TXN,Texas Instruments Inc,1.2
PG,Procter & Gamble Co,1.1
GD,GENERAL DYNAMICS,0.9
DELL,DELL TECHNOLOGIES -C,0.9
UNH,UnitedHealth Group Inc,0.9
PM,PHILIP MORRIS INTERNATION,0.9
MC,MOELIS & CO - CLASS A,0.8
SYF,SYNCHRONY FINANCIAL,0.8
QCOM,Qualcomm Inc,0.7
QCOM,Qualcomm Inc,0.7
HAL,Halliburton Co,0.7
AMGN,Amgen Inc,0.5
ADM,Archer-Daniels-Midland Co,0.5
LMT,LOCKHEED MARTIN,0.5
AEE,AMEREN CORPORATION,0.4
ATO,Atmos Energy Corp,0.4
FRHLF,Freehold Royalties Ltd,0.4
GRMN,GARMIN LIMITED,0.2
BG,BUNGE GLOBAL SA,0.2
PNNT,PENNANTPARK INV.,0.0
,JUL 26 CALL OXY US 60.000,-0.0
,JUL 26 PUT UNH US 385.000,-0.0
,JUL 26 CALL WFC US 87.500,-0.0
,JUL 26 PUT UPS US 105.000,-0.0
,JUL 26 PUT ACN US 115.000,-0.0
,JUL 26 PUT C US 140.00000,-0.0
,AUG 26 CALL BX US 125.000,-0.1
,AUG 26 CALL CCL US 28.000,-0.1
,AUG 26 CALL C US 130.0000,-0.2
,AUG 26 CALL IBM US 240.00,-0.3
,SCOTIA LEVERAGE,-18.3
,"Cash, Cash Equivalents 1",1.0
