Ticker,HoldingName,WeightPct
,iShares iBoxx $ High Yield Corporate Bond ETF,7.1
,CAD CASH SWEEP,6.3
,ENBCN 5 3/8 09/27/77,1.0
,MACKENZIE US HIGH YIELD B,0.9
,SSW 5 1/2 08/01/29,0.7
,CHTR 6 3/8 09/01/29,0.7
,CCOI 6.5 07/01/32,0.7
,GDDY 3 1/2 03/01/29,0.7
,LW 4 3/8 01/31/32,0.7
,ATHENA 6 1/2 02/15/30,0.7
,AES 8.15 06/10/55,0.6
,THC 4 3/8 01/15/30,0.6
,RCICN 5 1/4 03/15/2082,0.6
,BCECN 6 7/8 09/15/55,0.6
,JBL 3 01/15/31,0.6
,MSCI 3 1/4 08/15/33,0.6
,CE 1.4 08/05/26,0.6
,IQV 6 1/4 06/01/32,0.5
,BCULC 4 10/15/30,0.5
,VETCN 6 7/8 05/01/30,0.5
,ECHOSTAR CORP 10.75 11/29,0.5
,WFRD 6 3/4 10/15/33,0.5
,VMED 4 3/4 07/15/31,0.5
,FAIRIC 4 06/15/28,0.5
,KEYCN 6 7/8 06/13/2079,0.5
,ENBCN 8.747 01/15/2084,0.5
,SFRFP 9 1/2 11/01/29,0.5
,BGS 8 09/15/28,0.5
,IPLCN 6.625 11/19/2079,0.5
,CLCN TL 1L USD,0.5
,UA 7.25 07/15/30 144A,0.5
,NXST 6 1/2 09/15/33,0.5
,ATHENA TL 1L USD,0.5
,SPBCN 4 1/2 03/15/29,0.5
,TRPCN 4.65 05/18/77,0.5
,BCAPS 3.9 04/27/31,0.5
,SPBCN 4 1/4 05/18/28,0.5
,NSANY 4.81 09/17/30,0.5
,IPLCN 6.875 03/26/2079,0.5
,QBRCN 3.125 1/15/31,0.5
,ILDFP 7 04/15/32,0.4
,IRM 5 1/4 07/15/30,0.4
,ISATLN 9 09/15/29,0.4
,CCK 5 1/4 04/01/30,0.4
,AMAGGI 5 1/4 01/28/28,0.4
,TACN 5 7/8 02/01/34,0.4
,THC 4 1/4 06/01/29,0.4
,UPCB 4.875 07/15/2031,0.4
,PPLCN 4.8 01/25/81,0.4
,KEYCN 6 10/15/55,0.4
,COIN 3 5/8 10/01/31,0.4
,TCN 6 1/4 07/21/55,0.4
,AQNCN 5 1/4 01/31/2082,0.4
,SUN 6 06/22/28,0.4
,BCECN 7 09/15/55,0.4
,V 2.05 04/15/30,0.4
,NCX 9 02/15/30,0.4
,SOLEIN 7 1/4 06/15/31,0.4
,TDG 6 3/4 01/31/34,0.4
,CUCN 5.45 12/22/55,0.4
,YUM 4 5/8 01/31/32,0.4
,MSCI 3 5/8 11/01/31,0.4
,CASCN 6 3/4 07/15/30,0.4
,TVECN 6 7/8 07/25/30,0.4
,VMDTEF 4 1/4 01/31/31,0.4
,CURACN 0 02/18/29,0.4
,FIHUCN 5 02/26/28,0.4
,JANEST 6.75 05/1/33 C,0.4
,NCX 7 12/01/31,0.4
,AQNCN 4 3/4 01/18/2082,0.4
,DOTMER 7.625 06/15/32,0.4
,SESCN 5 3/4 11/20/32,0.4
,CRC 7 01/15/34,0.4
,IGT 2 3/8 04/15/28,0.4
,TCN 5 7/8 06/09/56,0.4
,PPC 4 1/4 04/15/31,0.3
,ADAHEA 4 5/8 08/01/29,0.3
,QBRCN 3 5/8 06/15/28,0.3
,VTOL 6 3/4 02/01/33,0.3
,MATHOM 4 5/8 03/01/30,0.3
,ARCO 6 3/8 01/29/32 CORP,0.3
,BLL 3 1/8 09/15/31,0.3
,PRGO 3.15 06/15/30,0.3
,GEICN 5 1/4 12/22/80,0.3
,WBD 5.05 03/15/42,0.3
,UNSEAM 7 7/8 02/15/31,0.3
,UVN 4 1/2 05/01/29,0.3
,COLBUN 3.15 01/19/32,0.3
,POST 4.625 04/15/2030,0.3
,FAIRIC 6 1/4 09/15/34,0.3
,VEGLPL 7 3/4 05/01/35,0.3
,TOPACE 7 02/18/31,0.3
,SAIC 5 7/8 11/01/33,0.3
,CLVTSC 4 7/8 06/30/29,0.3
,VMED 5 07/15/2030,0.3
