Ticker,HoldingName,WeightPct
MSFT,Microsoft Corp,4.0
AMZN,Amazon.com Inc,3.8
JNJ,Johnson & Johnson,3.7
BRK/B,BERKSHIRE HATHAWAY INC-CL,3.7
GOOGL,ALPHABET INC-CL A,3.6
DHR,Danaher Corp,3.4
ADM,Admiral Group PLC,3.3
BN,BROOKFIELD CORPORATION,3.2
CPG,Compass Group PLC,3.2
APH,AMPHENOL CORP-CL A,3.1
UNP,UNION PACIFIC,3.0
MRSH,MARSH,2.9
RKT,RECKITT BENCK GRP ORD,2.9
2330,TAIWAN SEMICONDUCTOR MANU,2.8
CL,Colgate-Palmolive Co,2.7
HLMA,Halma PLC,2.7
ROP,Roper Technologies Inc,2.7
SU,Schneider Electric SE,2.6
DB1,Deutsche Boerse AG,2.6
ITX,INDUSTRIA DE DISENO TEXTI,2.6
SYK,Stryker Corp,2.5
ADP,AUTOMATIC DATA PROCESSING,2.4
V,VISA INC-CLASS A SHARES,2.4
ABT,Abbott Laboratories,2.4
GWW,WW Grainger Inc,2.3
4543,TERUMO,2.2
MCD,MCDONALD'S CORPORATION,2.2
SBUX,STARBUCKS,2.2
PEP,PepsiCo Inc,2.2
TJX,TJX COMPANIES INC,2.1
HD,HOME DEPOT INC,1.8
TXN,Texas Instruments Inc,1.6
SPGI,S&P Global Inc,1.5
IHG,INTERCONTINENTAL HOTELS G,1.4
MC,LVMH MOET HENNESSY LOUIS,1.3
PG,Procter & Gamble Co,1.3
VLTO,VERALTO CORP,1.2
JKHY,J. HENRY & ASSOC,1.2
BIM,BioMerieux,0.8
NSISB,Novonesis (Novozymes) B,0.5
ACN,ACCENTURE PLC.,0.4
KNEBV,KONE OYJ-B,0.2
,"Cash, Cash Equivalents 1",1.1
