Ticker,HoldingName,WeightPct
,CAN 3 1/4 06/01/35,6.4
,CAD CASH SWEEP,4.0
,ONT 3.9 06/02/36,3.2
,CAN 3 1/2 12/01/57,2.6
,Q 4.4 12/01/55,2.6
,CAN 3 02/01/27,2.4
,CAN 3 1/4 06/01/36,2.3
,ONT 3.95 12/02/35,2.1
,BCIMCO 4 06/02/35,1.7
,TII 2 3/8 02/15/55,1.7
,CAN 2 1/2 05/01/28,1.5
,CPPIBC 4.3 06/02/34,1.5
,MACKENZIE CANADIAN AGGREG,1.4
,Q 4 09/01/35,1.2
,NGB 1 3/4 02/17/27,1.2
,CPPIBC 4 06/02/35,1.2
,Q 4.2 12/01/57,1.1
,TII 2 3/8 02/15/56,0.9
,CADEPO 3.65 06/02/35,0.8
,QBRCN 3.125 1/15/31,0.7
,PSPCAP 4 1/4 12/01/55,0.7
,CAN 2 3/4 12/01/2055,0.7
,PPLCN 4.8 01/25/81,0.7
,BAMREP 3.63 01/15/27,0.6
,ENBCN 5 3/8 09/27/77,0.6
,BAC 3.615 03/16/28,0.6
,JPM 1.896 03/05/28,0.5
,BNS 3.734 06/27/31,0.5
,CAN 1 1/2 06/01/31,0.5
,RY 4 10/17/30,0.5
,BCECN 5 5/8 03/27/55,0.5
,ALTA 4.45 12/01/54,0.5
,QBRCN 4.65 07/15/29,0.5
,ENBCN 6 5/8 04/12/78,0.5
,TRPCN 5.277 07/15/30,0.5
,NWRWPT 2.8 06/01/31,0.4
,AQNCN 5 1/4 01/31/2082,0.4
,SCDA 4.1 06/02/36,0.4
,MP 3.2 03/05/2050,0.4
,MCK CAN GOVER LONGBONDIND,0.4
,SCDA 2.8 12/02/52,0.4
,BMO 6.034 09/07/33,0.4
,GS 2.013 02/28/29,0.4
,SCDA 4.2 12/02/54,0.4
,RCICN 5.9 09/21/2033,0.4
,Q 3.5 12/1/2045,0.4
,IPLCN 6.59 02/09/34,0.4
,PPLCN 4.02 03/27/2028,0.4
,NEE 4.85 04/30/31,0.4
,TRPCN 4.2 03/04/2081,0.4
,CP 2.54 02/28/28,0.4
,HYDONE 4.89 03/13/2037,0.4
,PSPCAP 2.6 03/01/32,0.4
,HYDONE 5.36 5/20/2036,0.4
,RCICN 6 3/4 11/09/39,0.4
,SLFCN 4.78 08/10/34,0.3
,BNTNF 10 01/01/27,0.3
,FCRCN 5.572 03/01/31,0.3
,NWRWPT 4.15 06/01/2033,0.3
,SCDA 3.1 06/02/50,0.3
,BMO 4.42 07/17/29,0.3
,EPCOR 5.326 10/03/53,0.3
,CM 3.8 12/10/30,0.3
,C 4.55 06/03/35,0.3
,MACKENZIE GLOBAL SUSTAINA,0.3
,TRPCN 4.65 05/18/77,0.3
,HTHROW 3.782 09/04/30,0.3
,TCN 6 3/4 07/21/55,0.3
