Ticker,HoldingName,WeightPct
CVE,Cenovus Energy Inc,5.6
AEM,Agnico Eagle Mines Ltd,4.9
ABX,Barrick Mining Corp,4.8
TRP,TC Energy Corp,4.7
CNQ,CANADIAN NATURAL RESOURCE,4.7
ENB,Enbridge Inc,3.3
TTFNF,TotalEnergies SE,3.0
KEY,Keyera Corp,2.9
FM,FIRST QUANTUM MINERALS LT,2.9
,CAD CASH SWEEP,2.8
TOU,Tourmaline Oil Corp,2.4
AAV,Advantage Energy Ltd,2.4
NTR,Nutrien Ltd,2.3
OVV,Ovintiv Inc,2.1
MX,Methanex Corp,2.1
SHEL,SHELL PLC-W/I-ADR,2.0
,GOLD FUT OPT(CMX) DEC26C,2.0
PSX,Phillips 66,1.8
TECK/B,TECK RESOURCES LTD-CLS B,1.6
AA,Alcoa Corp,1.6
WPM,WHEATON PRECIOUS METALS C,1.6
PXT,Parex Resources Inc,1.5
IFP,Interfor Corp,1.5
ELD,Eldorado Gold Corp,1.4
PAAS,Pan American Silver Corp,1.4
EDV,Endeavour Mining PLC,1.4
PEY,PEYTO EXPLORATION & DEV C,1.3
CS,CAPSTONE COPPER CORP,1.3
AU,Anglogold Ashanti Plc,1.0
DINO,HF Sinclair Corp,1.0
GMIN,G MINING VENTURE CORP,1.0
WCP,Whitecap Resources Inc,1.0
PPL,Pembina Pipeline Corp,1.0
HBM,HudBay Minerals Inc,1.0
EFX,Enerflex Ltd,0.9
SDE,SPARTAN DELTA CORPORATION,0.9
RIO,RIO2 LTD/NEW,0.9
TVE,TAMARACK VALLEY ENERGY LT,0.9
VET,Vermilion Energy Inc,0.9
RUS,Russel Metals Inc,0.9
,SEP 26 CALL XGD CN 25.000,0.9
,CANADIAN DOLLAR - MARGIN,0.8
PR,Permian Resources Corp,0.7
GGB,"GERDAU SA, ADR",0.7
VAR,VAR ENERGI ASA,0.7
SGO,COMPAGNIE DE SAINT GOBAIN,0.7
CRH,CRH PLC,0.7
WMB,WILLIAMS COS INC,0.7
SOIL,Saturn Oil & Gas Inc,0.7
DSV,Discovery Silver Corp,0.6
AKZA,AKZO NOBEL,0.6
MPC,MARATHON PETROLEUM CORP.,0.6
CIA,CHAMPION IRON LTD,0.6
IMG,IAMGOLD Corp,0.5
NGEX,NGEX MINERALS LTD,0.5
SM,SM Energy Co,0.5
VG,VENTURE GLOBAL INC-CL A,0.5
PD,Precision Drilling Corp,0.5
AGI,ALAMOS GOLD INC-CLASS A,0.5
TPZ,TOPAZ ENERGY CORP-W/I,0.5
OGC,OceanaGold Corp,0.4
TA,TransAlta Corp,0.4
KNT,K92 MINING,0.4
EQX,Equinox Gold Corp,0.4
OMG,OMAI GOLD MINES CORP,0.3
SGY,Surge Energy Inc,0.3
,LUMINA METALS CORP,0.3
K,Kinross Gold Corp,0.3
CE,CELANESE CORP-SERIES A,0.3
PRIO3,PRIO S.A.,0.2
TKO,TREKOR METALS LTD,0.2
VROY,VIZSLA ROYALTIES CORP,0.2
SW,SMURFIT WESTROCK PLC,0.2
PHX,PHX Energy Services Corp,0.2
SGD,SNOWLINE GOLD CORP,0.2
KEL,KELT EXPLORATION LTD,0.2
ASTL,ALGOMA STEEL GROUP INC,0.2
NCX,NORTHISLE COPPER & GOLD I,0.2
NEXG,NEXGOLD MINING CORP,0.1
PIF,POLARIS RENEWABLE ENERGY,0.1
GFI,GOLD FIELDS ADR,0.1
POU,PARAMOUNT RESOURCES LTD -,0.1
CEI,COELACANTH ENERGY INC,0.0
CLCO,CULICO METALS INC,0.0
,NEXGOLD MIN WTS 10/31/27,0.0
,"Cash, Cash Equivalents 1",-0.3
