Ticker,HoldingName,WeightPct
,CAT 1.1 09/14/27,5.2
,MMM 2 7/8 10/15/27,5.1
,AMGN 3.2 11/02/27,5.1
,GM 4.2 10/01/27,5.1
,ZTS 3 09/12/27,5.1
,WM 3.15 11/15/27,5.0
,UPS 3.05 11/15/27,5.0
,BNS 1.4 11/01/2027,5.0
,BCECN 1.65 08/16/27,5.0
,RY 2.328 01/28/2027,5.0
,GM 3.15 02/08/27,5.0
,SAPCN 2.242 06/16/27,5.0
,HYNMTR 3.196 02/16/27,4.9
,BCIMCR 3 03/31/2027,4.9
,MFCCN 2.864 02/16/2027,4.9
,NWRWPT 2.8 06/01/2027,4.9
,ALCTRA 2.488 05/17/27,4.9
,CHPUCN 2.848 05/21/27,4.9
,ENBCN 3.2 06/08/2027,4.9
,AAPL 3 11/13/27,4.8
,"Cash, Cash Equivalents 1",0.3
