Ticker,HoldingName,WeightPct
,NEE 2 3/4 11/01/29,5.2
,INTC 2.45 11/15/29,5.1
,GM 4.9 10/06/29,5.1
,PYPL 2.85 10/01/29,5.1
,TMUS 4.2 10/01/29,5.1
,CAT 2.6 09/19/29,5.1
,AER 4 5/8 09/10/29,5.1
,BCECN 3.65 08/14/29,5.0
,ABBV 3.2 11/21/29,5.0
,TCN 3.3 5/02/2029,5.0
,TRPCN 3 09/18/29,5.0
,GEICN 3.6 09/17/2029,5.0
,BIP 3.41 10/09/29,5.0
,ENBCN 2.99 10/03/2029,5.0
,PPLCN 3.62 04/03/29,4.9
,AIREIN 2.712 06/01/2029,4.9
,HYDONE 3.02 04/05/2029,4.9
,CHPUCN 3.532 06/11/2029,4.9
,DOLCN 2.443 07/09/29,4.8
,ONTPOW 2.977 09/13/29,4.5
,"Cash, Cash Equivalents 1",0.1
