Ticker,HoldingName,WeightPct
,"T 4 5/8 11/15/55",3.8
,"T 4 1/4 05/15/35",3.2
,"CAD CASH SWEEP",2.9
,"Mackenzie AAA CLO ETF",2.6
,"CAN 3.5 09/01/2029",2.3
,"MACKENZIE US INVESTMENT G",2.3
,"BNTNF 10 01/01/29",2.1
,"T 4 5/8 02/15/35",2.0
,"MACKENZIE FLOATING RATE I",2.0
,"NGB 1 3/4 02/17/27",1.9
,"T 3 1/2 02/15/33",1.8
,"CAN 3 1/4 06/01/35",1.5
,"TII 2 3/8 02/15/55",1.1
,"NZGB 4 1/4 05/15/34",1.0
,"FANG 3 1/8 03/24/31",0.9
,"ENBCN 5 3/8 09/27/77",0.8
,"MCD 3.6 07/01/30",0.7
,"MACKENZIE EM LOCAL CURREN",0.7
,"TII 2 3/8 02/15/56",0.6
,"ENBCN 8.747 01/15/2084",0.6
,"MACKENZIE GLOBAL SUSTAINA",0.6
,"RCICN 5 1/4 03/15/2082",0.6
,"BCECN 6 7/8 09/15/55",0.6
,"TRPCN 4.2 03/04/2081",0.5
,"ENBCN 6 5/8 04/12/78",0.5
,"WMT 1.8 09/22/31",0.5
,"TRPCN 4.65 05/18/77",0.5
,"CURACN 0 02/18/29",0.5
,"XOM 3.095 08/16/49",0.5
,"PXD 2.15 01/15/31",0.5
,"T 1 7/8 02/15/32",0.5
,"BRAZIL 6 1/4 03/18/31",0.4
,"IGT 2 3/8 04/15/28",0.4
,"CVECN 3 3/4 02/15/52",0.4
,"PPLCN 4.8 01/25/81",0.4
,"CHTR 2.8 04/01/31",0.4
,"CLR 4.9 06/01/44",0.4
,"TMUS 2.55 02/15/31",0.4
,"ATDBCN 5.592 09/25/30",0.4
,"COST 1.6 04/20/30",0.4
,"NXST 6 1/2 09/15/33",0.4
,"MCD 2 1/8 03/01/30",0.3
,"TMUS 3 02/15/41",0.3
,"GEICN 5 1/4 12/22/80",0.3
,"UA 7.25 07/15/30 144A",0.3
,"BCRED 5.95 05/15/31",0.3
,"IPLCN 3.983 11/25/31",0.3
,"VETCN 6 7/8 05/01/30",0.3
,"AAPL 3.35 08/08/32",0.3
,"GOOGL 1.1 08/15/30",0.3
,"CVECN 2.65 01/15/32",0.3
,"GIS 2 7/8 04/15/30",0.3
