Ticker,HoldingName,WeightPct
RY,Royal Bank of Canada,9.5
TD,TORONTO-DOMINION BANK,6.7
SHOP,SHOPIFY INC - A W/I,5.1
BMO,Bank of Montreal,4.1
BNS,Bank of Nova Scotia,3.9
ENB,Enbridge Inc,3.6
CM,CAN IMPERIAL BK OF COMMER,3.5
CNQ,CANADIAN NATURAL RESOURCE,3.5
AEM,Agnico Eagle Mines Ltd,3.5
SU,Suncor Energy Inc,2.8
BN,BROOKFIELD CORPORATION,2.7
CP,CANADIAN PACIFIC KANSAS,2.6
MFC,Manulife Financial Corp,2.5
ABX,Barrick Mining Corp,2.4
WPM,WHEATON PRECIOUS METALS C,2.3
CNR,CANADIAN NATL RAILWAY CO,2.2
TRP,TC Energy Corp,2.2
NA,National Bank of Canada,2.0
FNV,Franco-Nevada Corp,1.7
SLF,Sun Life Financial Inc,1.5
CVE,Cenovus Energy Inc,1.5
CSU,CONSTELLATION SOFTWARE IN,1.4
CCO,Cameco Corp,1.4
ATD,ALIMENTATION COUCHE-TARD,1.3
WCN,WASTE CONNECTIONS INC CO,1.3
NTR,Nutrien Ltd,1.3
CLS,Celestica Inc,1.3
POW,Power Corp of Canada,1.2
FFH,FAIRFAX FINANCIAL HLDGS L,1.1
K,Kinross Gold Corp,1.1
IFC,Intact Financial Corp,1.1
DOL,Dollarama Inc,1.1
TECK/B,TECK RESOURCES LTD-CLS B,0.9
FTS,Fortis Inc,0.9
PPL,Pembina Pipeline Corp,0.9
L,Loblaw Companies Ltd,0.8
QSR,RESTAURANT BRANDS INTERN,0.8
FM,FIRST QUANTUM MINERALS LT,0.7
PAAS,Pan American Silver Corp,0.7
BCE,BCE Inc,0.7
IMO,Imperial Oil Ltd,0.6
BAM,BROOKFIELD ASSET MGMT-A,0.6
BBD/B,BOMBARDIER INC-B,0.6
GWO,Great-West Lifeco Inc,0.6
WSP,WSP Global Inc,0.6
MG,Magna International Inc,0.6
LUN,Lundin Mining Corp,0.5
WCP,Whitecap Resources Inc,0.5
TOU,Tourmaline Oil Corp,0.5
RBA,RB GLOBAL INC.,0.5
EMA,Emera Inc,0.5
AGI,ALAMOS GOLD INC-CLASS A,0.5
T,TELUS Corp,0.5
MRU,Metro Inc Class A Sub. voting,0.5
RCI/B,Rogers Communications Inc,0.5
GIB/A,CGI Inc,0.4
TRI,Thomson Reuters Corp,0.4
H,Hydro One Ltd,0.4
ATRL,AtkinsRealis Group Inc,0.3
,CAD CASH SWEEP,0.0
,CONSTELLATION WTS 3/31/40,0.0
,Cash; Cash Equivalents 1,0.2
