Ticker,HoldingName,WeightPct
RY,Royal Bank of Canada,7.7
TD,TORONTO-DOMINION BANK,5.5
SHOP,SHOPIFY INC - A W/I,4.2
BMO,Bank of Montreal,3.4
BNS,Bank of Nova Scotia,3.1
ENB,Enbridge Inc,2.9
CM,CAN IMPERIAL BK OF COMMER,2.9
CNQ,CANADIAN NATURAL RESOURCE,2.8
AEM,Agnico Eagle Mines Ltd,2.7
SU,Suncor Energy Inc,2.2
BN,BROOKFIELD CORPORATION,2.2
CP,CANADIAN PACIFIC KANSAS,2.1
MFC,Manulife Financial Corp,2.0
ABX,Barrick Mining Corp,1.9
WPM,WHEATON PRECIOUS METALS C,1.8
CNR,CANADIAN NATL RAILWAY CO,1.8
TRP,TC Energy Corp,1.8
NA,National Bank of Canada,1.6
FNV,Franco-Nevada Corp,1.4
SLF,Sun Life Financial Inc,1.2
CVE,Cenovus Energy Inc,1.2
CSU,CONSTELLATION SOFTWARE IN,1.1
ATD,ALIMENTATION COUCHE-TARD,1.1
CCO,Cameco Corp,1.1
WCN,WASTE CONNECTIONS INC CO,1.1
NTR,Nutrien Ltd,1.0
CLS,Celestica Inc,1.0
POW,Power Corp of Canada,1.0
FFH,FAIRFAX FINANCIAL HLDGS L,0.9
IFC,Intact Financial Corp,0.9
DOL,Dollarama Inc,0.9
K,Kinross Gold Corp,0.9
TECK/B,TECK RESOURCES LTD-CLS B,0.8
FTS,Fortis Inc,0.8
PPL,Pembina Pipeline Corp,0.8
QSR,RESTAURANT BRANDS INTERN,0.7
L,Loblaw Companies Ltd,0.6
BCE,BCE Inc,0.6
FM,FIRST QUANTUM MINERALS LT,0.6
PAAS,Pan American Silver Corp,0.5
IMO,Imperial Oil Ltd,0.5
BAM,BROOKFIELD ASSET MGMT-A,0.5
BBD/B,BOMBARDIER INC-B,0.5
GWO,Great-West Lifeco Inc,0.5
WSP,WSP Global Inc,0.5
MG,Magna International Inc,0.5
WCP,Whitecap Resources Inc,0.4
TOU,Tourmaline Oil Corp,0.4
RBA,RB GLOBAL INC.,0.4
LUN,Lundin Mining Corp,0.4
EMA,Emera Inc,0.4
AGI,ALAMOS GOLD INC-CLASS A,0.4
T,TELUS Corp,0.4
RCI/B,Rogers Communications Inc,0.4
MRU,Metro Inc Class A Sub. voting,0.4
IAG,iA Financial Corp Inc,0.4
TRI,Thomson Reuters Corp,0.4
GIB/A,CGI Inc,0.4
GFL,GFL ENVIRONMENTAL INC-SUB,0.3
EQX,Equinox Gold Corp,0.3
TIH,Toromont Industries Ltd,0.3
H,Hydro One Ltd,0.3
ALA,AltaGas Ltd,0.3
IMG,IAMGOLD Corp,0.3
HBM,HudBay Minerals Inc,0.3
KEY,Keyera Corp,0.3
WN,WESTON (GEORGE) LTD,0.3
ATRL,AtkinsRealis Group Inc,0.3
X,TMX Group Ltd,0.3
CCL/B,CCL INDUSTRIES INC - CL B,0.3
ELD,Eldorado Gold Corp,0.3
TFII,TransForce Inc,0.3
DPM,DPM METALS INC,0.2
FTT,Finning International Inc,0.2
ATZ,ARITZIA INC-SUBORDINATE V,0.2
STN,Stantec Inc,0.2
CAE,CAE Inc,0.2
GIL,Gildan Activewear Inc,0.2
CGG,CHINA GOLD INTERNATIONAL,0.2
AG,FIRST MAJESTIC SILVER COR,0.2
GMIN,G MINING VENTURE CORP,0.2
SOBO,SOUTH BOW CORP-W/I,0.2
SSRM,SSR Mining Inc,0.2
EFN,Element Financial Corp,0.2
QBR/B,QUEBECOR INC -CL B,0.2
BTO,B2Gold Corp,0.2
DSG,DESCARTES SYSTEMS GRP/THE,0.2
CPX,Capital Power Corp,0.2
CTC/A,CANADIAN TIRE CORP-CLASS,0.2
OR,OR Royalties Inc,0.2
SAP,Saputo Inc,0.2
LUG,Lundin Gold Inc,0.2
OGC,OceanaGold Corp,0.2
IVN,IVANHOE MINES LTD-CL A,0.2
NXE,NEXGEN ENERGY LTD,0.2
PSK,PrairieSky Royalty Ltd,0.2
CS,CAPSTONE COPPER CORP,0.2
OTEX,Open Text Corp,0.2
AC,AIR CANADA,0.2
IGM,IGM FINANCIAL INC,0.1
FSV,NEW FIRSTSERVICE CORP-W/I,0.1
DFY,DEFINITY FINANCIAL CORP-W,0.1
ONEX,ONEX CORPORATION,0.1
KNT,K92 MINING,0.1
DSV,Discovery Mining Ltd,0.1
CSH-U,CHARTWELL RETIREMENT RESI,0.1
MDA,MDA Space Ltd,0.1
CU,CANADIAN UTILITIES LTD-A,0.1
MX,Methanex Corp,0.1
TVE,TAMARACK VALLEY ENERGY LT,0.1
BB,BlackBerry Ltd,0.1
EIF,Exchange Income Corp,0.1
2537087,BROOKFIELD INFRASTRUCTURE,0.1
CG,Centerra Gold Inc,0.1
TXG,TOREX GOLD RESOURCES LTD,0.1
REI-U,RIOCAN REAL ESTATE INVST,0.1
AQN,ALGONQUIN POWER & UTILITI,0.1
NPI,Northland Power Inc,0.1
EMP/A,EMPIRE CO LTD 'A',0.1
MAU,Montage Gold Corp,0.1
CIGI,COLLIERS INTERNATIONAL GR,0.1
GEI,Gibson Energy Inc,0.1
ACO/X,ATCO LTD -CLASS I,0.1
WFG,West Fraser Timber Co Ltd.,0.1
GCM,ARIS MINING CORP,0.1
ATH,ATHABASCA OIL CORP,0.1
GRT-U,GRANITE REAL ESTATE INVES,0.1
AYA,Aya Gold & Silver Inc,0.1
WDO,Wesdome Gold Mines Ltd,0.1
TA,TransAlta Corp,0.1
KXS,Kinaxis Inc,0.1
CAR-U,CAN APARTMENT PROP REAL E,0.1
PEY,PEYTO EXPLORATION & DEV C,0.1
FVI,FORTUNA MINING CORP,0.1
FCR-U,FIRST CAPITAL REAL ESTATE,0.1
BTE,Baytex Energy Corp,0.1
RUS,Russel Metals Inc,0.1
ERO,ERO COPPER CORP,0.1
CHP-U,CHOICE PROPERTIES REIT,0.1
BDT,Bird Construction Inc,0.1
TKO,TREKOR METALS LTD,0.1
SKE,SKEENA RESOURCES LTD,0.1
CEU,CES Energy Solutions Corp,0.1
EDR,ENDEAVOUR SILVER CORP,0.1
PBH,PREMIUM BRANDS HOLDINGS C,0.1
LNR,Linamar Corp,0.1
EFX,Enerflex Ltd,0.1
SJ,Stella-Jones Inc,0.1
SEA,SEABRIDGE GOLD INC,0.1
SII,SPROTT INC,0.1
DIR-U,DREAM INDUSTRIAL REAL EST,0.1
DML,DENISON MINES CORP,0.1
TPZ,TOPAZ ENERGY CORP-W/I,0.1
SRU-U,SMART CENTRES REAL ESTATE,0.1
NGEX,NGEX MINERALS LTD,0.1
ALS,ALTIUS MINERALS CORPORATI,0.1
SVM,SILVERCORP METALS INC,0.1
BYD,Boyd Group Services Inc,0.1
HWX,HEADWATER EXPLORATION INC,0.1
TFPM,TRIPLE FLAG PRECIOUS MET-,0.1
NG,Novagold Resources Inc,0.1
DOO,BRP INC/CA- SUB VOTING,0.1
ARE,Aecon Group Inc,0.1
EQB,Equitable Group Inc,0.1
AAUC,ALLIED GOLD CORP,0.1
BDGI,BADGER INFRASTRUCTURE SOL,0.1
,CAD CASH SWEEP,0.1
PXT,Parex Resources Inc,0.1
VET,Vermilion Energy Inc,0.1
ATS,ATS Corp,0.1
SXGC,SOUTHERN CROSS GOLD CO,0.1
EXE,EXTENDICARE INC,0.1
POU,PARAMOUNT RESOURCES LTD -,0.0
HR-U,H&R REAL ESTATE INV-REIT,0.0
IPCO,INTERNATIONAL PETROLEUM,0.0
NWC,NORTH WEST CO INC/ THE,0.0
PMZ-U,PRIMARIS REIT,0.0
FRU,Freehold Royalties Ltd,0.0
BEI-U,BOARDWALK REAL ESTATE INV,0.0
SDE,SPARTAN DELTA CORPORATION,0.0
CURA,Curaleaf Holdings Inc,0.0
,BROOKFIELD BUSINESS CORP,0.0
APTX,APOTEX HEALTH CORP,0.0
MTL,Mullen Group Ltd,0.0
SIA,SIENNA SENIOR LIVING INC,0.0
SCR,STRATHCONA RESOURCES LTD,0.0
VNP,5N Plus Inc,0.0
BHC,BAUSCH HEALTH COS INC,0.0
NFI,New Flyer Industries Inc,0.0
SGD,SNOWLINE GOLD CORP,0.0
KMP-U,KILLAM APT REIT,0.0
HPS/A,HAMMOND POWER SOLUTIONS I,0.0
HMMC,HEMLO MINING CORP,0.0
MFI,Maple Leaf Foods Inc,0.0
TSU,Trisura Group Ltd,0.0
JWEL,Jamieson Wellness Inc,0.0
KEL,KELT EXPLORATION LTD,0.0
LB,Laurentian Bank of Canada,0.0
RCH,Richelieu Hardware Ltd,0.0
TVK,TerraVest Industries Inc,0.0
ABRA,ABRASILVER RESOURCE CORP,0.0
CCA,COGECO COMMUNICATIONS INC,0.0
TNZ,TENAZ ENERGY CORP,0.0
RIO,RIO2 LTD/NEW,0.0
CRR-U,CROMBIE REAL ESTATE INVES,0.0
,AMERICAS GOLD & SILVER CO,0.0
