Ticker,HoldingName,WeightPct
ASML,ASML Holding NV,2.7
HSBA,HSBC Holdings PLC,1.5
ROP,Roche Holding AG,1.4
SHEL,Shell PLC,1.2
8306,MITSUBISHI UFJ FINANCIAL,1.2
NOVN,NOVARTIS AG-REG,1.1
NESN,NESTLE SA-REG,1.1
AZN,AstraZeneca PLC,1.1
SAP,SAP AG,1.0
SIE,Siemens AG,1.0
BHP,BHP GROUP LIMITED,0.9
SAN,Banco Santander SA,0.9
ALV,ALLIANZ SE-REG,0.9
TTE,TOTAL ENERGIES SE,0.8
CBA,COMMONWEALTH BAN,0.8
7203,TOYOTA MOTOR CORPORATION,0.8
SU,Schneider Electric SE,0.8
8316,SUMITOMO MITSUI FINANCIAL,0.7
RR/,ROLLS-ROYCE HOLDINGS PLC.,0.7
UBSG,UBS GROUP AG-REG,0.7
BBVA,BANCO BILBAO VIZCAYA ARGE,0.7
6501,Hitachi Ltd,0.7
ABBN,ABB LTD-REG,0.7
8035,Tokyo Electron Ltd,0.7
6857,ADVANTEST CORP,0.6
IBE,IBERDROLA,0.6
9984,SoftBank Group Corp,0.6
6758,Sony Group Corp,0.6
6098,Recruit Holdings Co Ltd,0.6
NOVOB,NOVO NORDISK,0.6
8411,MIZUHO FINANCIAL GROUP,0.6
AIR,Airbus SE,0.6
UCG,UniCredit SpA,0.6
UCG,UniCredit SpA,0.6
ULVR,Unilever PLC,0.6
SAF,Safran SA,0.6
285A,KIOXIA HOLDINGS CORP,0.5
MC,LVMH MOET HENNESSY LOUIS,0.5
DBS,DBS Group Holdings Ltd,0.5
AI,Air Liquide SA,0.5
BNP,BNP PARIBAS,0.5
ENR,Siemens Energy AG,0.5
DTE,DEUTSCHE TELEKOM AG-REG,0.5
BATS,BRITISH AMERICAN TOBACCO,0.5
ISP,INTESA SANPAOLO,0.5
ZURN,ZURICH INSURANCE GROUP AG,0.5
CFR,CIE FINANCIERE RICHEMONT-,0.5
BP/,BP PLC,0.5
RIO,Rio Tinto PLC,0.5
GSK,GSK PLC,0.4
1299,AIA Group Ltd,0.4
INGA,ING Groep NV,0.4
8058,MITSUBISHI CORPORATION,0.4
OR,L'OREAL,0.4
8001,ITOCHU Corp,0.4
SAN,Sanofi,0.4
8766,Tokio Marine Holdings Inc,0.4
6861,KEYENCE CORPORATION,0.4
LLOY,Lloyds Banking Group PLC,0.4
BARC,Barclays PLC,0.4
CS,AXA SA,0.4
SPOT,SPOTIFY TECHNOLOGY SA,0.4
NAB,NATL.AUSTRALIA,0.4
WBC,WESTPAC BANKING,0.4
ABI,ANHEUSER-BUSCH INBEV SA/N,0.4
IFX,Infineon Technologies AG,0.4
6981,MURATA MANUFACTURING CO L,0.4
BA/,BAE Systems PLC,0.4
2218353,AUST AND NZ BANKING GROUP,0.3
8031,MITSUI & CO LTD,0.3
ENEL,Enel SpA,0.3
OCBC,OVERSEA-CHINESE,0.3
9983,FAST RETAILING,0.3
NG/,National Grid PLC,0.3
MUV2,MUENCHENER RUECKVER AG-RE,0.3
7011,MITSUBISHI HEAVY INDUSTRI,0.3
GLEN,Glencore PLC,0.3
NWG,NatWest Group PLC,0.3
INVEB,INVESTOR AB-B SHS,0.3
DBK,DEUTSCHE BANK AG-REGISTER,0.3
ITX,INDUSTRIA DE DISENO TEXTI,0.3
6503,MITSUBISHI ELECT,0.3
NDA,NORDEA BANK ABP,0.3
4063,SHIN-ETSU CHEM,0.3
6752,PANASONIC HOLDINGS CORP.,0.3
DG,Vinci SA,0.3
MQG,MACQUARIE GROUP LTD,0.3
9432,NIPPON TELEGRAPH & TELEPH,0.3
ARGX,ARGENX SE - ADR,0.3
388,HONG KONG EXCHAN,0.3
REL,RELX PLC,0.3
7974,Nintendo Co Ltd,0.3
DHL,DHL GROUP,0.3
CSL,CSL LTD,0.3
DB1,Deutsche Boerse AG,0.3
WES,WESFARMERS LTD,0.3
4502,TAKEDA PHARMACEUTICAL CO,0.3
9433,KDDI CORPORATION,0.3
BAYN,BAYER AG-REG,0.2
STAN,Standard Chartered PLC,0.2
RHM,Rheinmetall AG,0.2
BAS,BASF AG,0.2
5803,FUJIKURA LTD,0.2
GLE,SOCIETE GE EUR1.25,0.2
AAL,Anglo American PLC,0.2
CPG,Compass Group PLC,0.2
NOKIA,Nokia OYJ,0.2
NOKIA,Nokia OYJ,0.2
RMS,HERMES INTERNATIONAL,0.2
CABK,CAIXABANK S.A,0.2
VOLVB,VOLVO AB-B SHS,0.2
ATCOA,ATLAS COPCO AB-A SHS,0.2
PRX,Prosus NV,0.2
ENI,Eni SPA,0.2
ENI,Eni SPA,0.2
RACE,Ferrari NV,0.2
EL,ESSILORLUXOTTICA,0.2
RWE,RWE AG,0.2
DGE,Diageo PLC,0.2
ENGI,ENGIE,0.2
2914,Japan Tobacco Inc,0.2
8053,Sumitomo Corp,0.2
7741,Hoya Corp,0.2
LSEG,LONDON STOCK EXCHANGE GRO,0.2
G,ASSICURAZIONI GENERALI,0.2
SREN,Swiss Re AG,0.2
8002,MARUBENI CORP,0.2
LONN,LONZA GROUP AG-REG,0.2
EOAN,E.ON SE,0.2
9434,SoftBank Corp,0.2
TEVA,TEVA PHARMACEUTICAL IND L,0.2
WDS,Woodside Energy Group Ltd,0.2
BN,Danone,0.2
8591,ORIX CORP.,0.2
RIO,Rio Tinto Ltd,0.2
NBIS,NEBIUS GROUP NV,0.2
6702,Fujitsu Ltd,0.2
RKT,RECKITT BENCK GRP ORD,0.2
8725,MITSUI SUMITOMO INSURANCE,0.2
8750,DAIICHI LIFE GROUP INC,0.2
EBS,ERSTE GROUP BANK AG,0.2
UOB,UNITED OVERSEAS,0.2
ASM,ASM International NV,0.2
7267,Honda Motor Co Ltd,0.2
PRY,Prysmian SpA,0.2
HOLN,HOLCIM LTD.,0.2
HLN,HALEON PLC,0.2
TSCO,Tesco PLC,0.2
SAND,Sandvik AB,0.2
6301,KOMATSU LTD,0.2
LR,Legrand SA,0.2
SSE,SSE PLC,0.2
5802,SUMITOMO ELECTRIC INDUSTR,0.2
8630,SOMPO HOLDINGS INC,0.2
TLS,TELSTRA CORPORATION LTD,0.2
6701,NEC CORP,0.2
KBC,KBC Group NV,0.2
LUMI,Bank Leumi Le-Israel,0.2
7182,JAPAN POST BANK CO LTD,0.2
MBG,MERCEDES-BENZ GROUP AG,0.2
REP,REPSOL YPF S.A.,0.2
GIVN,GIVAUDAN-REG,0.2
GMG,Goodman Group,0.2
DSV,DSV A/S,0.2
SGO,COMPAGNIE DE SAINT GOBAIN,0.2
DANSKE,Danske Bank A/S,0.2
6367,DAIKIN INDUSTRIE,0.2
GALD,Galderma Group AG,0.2
III,3i Group PLC,0.2
SEBA,SKANDINAVISKA ENSKILDA BA,0.2
6762,TDK CORPORATION,0.2
POLI,BANK HAPOALIM LTD,0.2
SWEDA,SWEDBANK AB - A SHARES,0.2
6954,Fanuc Corp,0.2
ORA,ORANGE,0.2
ASSAB,ASSA ABLOY AB-B,0.2
SIKA,SIKA AG-BR,0.1
8308,Resona Holdings Inc,0.1
6723,Renesas Electronics Corp,0.1
CBK,Commerzbank AG,0.1
EXPN,Experian PLC,0.1
WOW,WOOLWORTGRP LTD,0.1
