Ticker,HoldingName,WeightPct
IBE,IBERDROLA,5.2
NEE,NEXTERA ENERGY INC.,4.9
ENB,Enbridge Inc,4.1
SO,SOUTHERN COMPANY,3.8
DUK,Duke Energy Corp,3.6
CEG,CONSTELLATION ENERGY,3.4
WMB,WILLIAMS COS INC,3.4
ENEL,Enel SpA,3.1
NG/,National Grid PLC,3.0
AEP,AMERICAN ELECTRIC POWER,2.6
TRP,TC Energy Corp,2.5
KMI,KINDER MORGAN INC.,2.4
OKE,ONEOK Inc,2.3
D,Dominion Energy Inc,2.2
LNG,CHENIERE ENERGY INC,2.2
RWE,RWE AG,1.9
ENGI,ENGIE,1.9
VST,VISTRA CORP,1.8
ETR,Entergy Corp,1.8
XEL,XCEL ENERGY INC.,1.8
EOAN,E.ON SE,1.8
EXC,EXELON CORPORATION,1.7
SSE,SSE PLC,1.6
ED,Consolidated Edison Inc,1.5
PEG,PUBLIC SERVICE,1.4
WEC,WEC ENERGY GROUP INC,1.3
TCL,TRANSURBAN GROUP,1.2
PCG,PG&E CORP.,1.1
AEE,AMEREN CORPORATION,1.1
FTS,Fortis Inc,1.1
PPL,Pembina Pipeline Corp,1.1
DTE,DTE ENERGY COMPANY,1.0
AWK,AMERICAN WATER WORKS CO I,1.0
ES,Eversource Energy,1.0
PPL,PPL CORP.,1.0
CNP,CenterPoint Energy Inc,1.0
FE,FIRSTENERGY CORPORATION,1.0
NRG,NRG Energy Inc,0.8
AENA,Aena SME SA,0.8
EIX,Edison International,0.8
CMS,CMS ENERGY CORP,0.8
STO,SANTOS LTD.,0.8
EVRG,EVERGY INC,0.7
LNT,Alliant Energy Corp,0.7
ELE,ENDESA S.A.,0.6
EMA,Emera Inc,0.6
ORG,ORIGIN ENERGY,0.6
UU/,UNITED UTILITIES GROUP PL,0.5
DTM,DT MIDSTREAM INC,0.5
SBS,CIA SANEAMENTO BASICO ADR,0.5
KEP,KEPPEL CORP.,0.5
9502,CHUBU ELECTRIC,0.5
FORTUM,Fortum OYJ,0.5
ALA,AltaGas Ltd,0.5
PNW,PINNACLE WEST,0.4
KEY,Keyera Corp,0.4
SVT,SEVERN TRENT PLC,0.4
WTRG,ESSENTIAL UTILITIES INC,0.4
AES,AES CORPORATION,0.4
6,POWER ASSETS HOLDINGS LTD,0.4
OGE,OGE Energy Corp,0.4
ENLT,ENLIGHT RENEWABLE ENERGY,0.4
CNA,Centrica PLC,0.4
NTGY,NATURGY ENERGY GROUP SA,0.3
AIA,AUCKLAND INTL AIRPORT LTD,0.3
SOBO,SOUTH BOW CORP-W/I,0.3
PAC,GRUPO AEROPORT DE PAC-ADR,0.3
VG,VENTURE GLOBAL INC-CL A,0.3
IDA,IDACORP INC.,0.3
AM,ANTERO MIDSTREAM CORP,0.3
CPX,Capital Power Corp,0.3
TXNM,TXNM ENERGY INC,0.2
POR,PORTLAND GEN ELECTRIC CO,0.2
MYTIL,METLEN ENERGY & METALS PL,0.2
9501,TOKYO ELEC POWER,0.2
HESM,HESS MIDSTREAM LP - CLASS,0.2
1038,CK INFRASTRUCTURE HOLDING,0.2
CEN,CONTACT ENERGY LTD,0.2
FHZN,FLUGHAFEN ZUERICH AG-REG,0.2
CU,CANADIAN UTILITIES LTD-A,0.2
EDPR,EDP RENOVAVEIS SA,0.2
ASR,GRUPO AEROPORTUARIO SUR-A,0.2
2537087,BROOKFIELD INFRASTRUCTURE,0.2
A2A,A2A SPA,0.2
NWE,NorthWestern Corp,0.2
AQN,ALGONQUIN POWER & UTILITI,0.2
ACO/X,ATCO LTD -CLASS I,0.1
DRX,Drax Group PLC,0.1
AGL,AGL ENERGY LTD,0.1
TA,TransAlta Corp,0.1
ADP,ADP,0.1
9435,HIKARI TSUSHIN INC,0.1
AWR,AMERICAN STATES WATER CO,0.1
OMAB,GRUPO AEROPORTUARIO CEN-A,0.1
HER,HERA SPA,0.1
ALX,ATLAS ARTERIA,0.1
AVA,AVISTA CORP,0.1
BKW,BKW AG,0.1
,Cash / Cash Equivalents,0.2
