Ticker,HoldingName,WeightPct
WELL,WELLTOWER OP INC.,7.2
PLD,Prologis Inc,5.5
PLD,Prologis Inc,5.5
EQIX,Equinix Inc,4.4
AMT,American Tower Corp,3.6
SPG,Simon Property Group Inc,2.9
DLR,Digital Realty Trust Inc,2.8
O,Realty Income Corp,2.3
PSA,Public Storage,2.2
VMRK,VIVMARK RESIDENTIAL,2.0
VTR,Ventas Inc,1.9
CBRE,CBRE GROUP INC - A,1.8
GMG,Goodman Group,1.6
IRM,Iron Mountain Inc,1.5
CCI,Crown Castle Inc,1.4
EXR,Extra Space Storage Inc,1.3
8802,MITSUBISHI EST,1.2
8801,MITSUI FUDOSAN C,1.1
VICI,VICI PROPERTIES INC,1.1
SBAC,SBA COMMUNICATIONS CORP,0.8
16,SUN HUNG KAI PROPERTIES,0.8
ESS,Essex Property Trust Inc,0.8
8830,SUMITOMO REALTY & DEVELOP,0.8
INVH,INVITATION HOMES INC,0.7
SGRO,Segro PLC,0.7
NLY,ANNALY CAPITAL MANAGEMENT,0.7
WY,WEYERHAEUSER CO,0.7
JLL,JONES LANG LASALLE INC,0.7
VNA,VONOVIA SE,0.7
KIM,Kimco Realty Corp,0.6
HST,Host Hotels & Resorts Inc,0.6
WPC,WP CAREY INC,0.6
OHI,OMEGA HEALTHCARE INVESTOR,0.6
DOC,HEALTHPEAK PROPERTIES INC,0.6
MAA,MID-AMERICA APARTMENT COM,0.6
SUI,SUN COMMUNITIES INC,0.6
SCG,SCENTRE GROUP,0.6
URW,Unibail-Rodamco-Westfield,0.6
1928,SEKISUI HOUSE LTD,0.6
LAMR,LAMAR ADVERTISING CO-A,0.6
SPSN,Swiss Prime Site AG,0.5
823,Link REIT,0.5
REG,REGENCY CENTERS,0.5
ELS,EQUITY LIFESTYLE PROPERTI,0.5
AGNC,AGNC INVESTMENT CORP,0.5
CICT,CAPITALAND INTEGRATED COM,0.5
GLPI,GAMING AND LEISURE PROPER,0.5
EGP,EASTGROUP PROPERTIES INC,0.5
1113,CK ASSET HOLDINGS LTD,0.5
AMH,AMERICAN HOMES 4 RENT- A,0.5
UDR,UDR INC,0.4
AHR,AMERICAN HEALTHCARE REIT,0.4
CPT,Camden Property Trust,0.4
LI,Klepierre,0.4
BXP,Boston Properties Inc,0.4
CUBE,CubeSmart,0.4
CTRE,CareTrust REIT Inc,0.4
ARE,ALEXANDRIA REAL ESTATE EQ,0.4
FRT,FEDERAL REALTY INVS TRUST,0.4
REXR,REXFORD INDUSTRIAL REALTY,0.4
BRX,BRIXMOR PROPERTY GROUP IN,0.4
HKL,HONGKONG LAND HOLDINGS LT,0.4
PSPN,PSP SWISS PROPERTY AG-REG,0.4
FR,FIRST INDUSTRIAL REALTY T,0.4
ADC,AGREE REALTY CORPORATION,0.4
NNN,NNN REIT INC.,0.3
CLAR,CAPITALAND ASCENDAS REIT,0.3
RHP,RYMAN HOSPITALITY PROPERT,0.3
COMP,COMPASS INC - CLASS A,0.3
SGP,STOCKLAND,0.3
