TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"BA US EQUITY",2.65E-02,1633,"Boeing Co/The",Industrial,"Produits Industriels","United States",États-Unis,197.0000,450027.53,,
"TDG US EQUITY",1.14E-02,128,"TransDigm Group Inc",Industrial,"Produits Industriels","United States",États-Unis,"1,076.0100",192669.49,,
"EADSY US EQUITY",7.44E-02,16162,"Airbus SE",Industrial,"Produits Industriels",Netherlands,Pays-Bas,55.8700,1263166.05,,
"EMBJ US EQUITY",2.55E-02,4154,"Embraer SA",Industrial,"Produits Industriels",Brazil,Brésil,74.5500,433212.33,,
"AM FP EQUITY",1.17E-02,424,"Dassault Aviation SA",Industrial,"Produits Industriels",France,France,291.8000,198674.5,,
"BBD/B CN EQUITY",4.08E-02,2268,"Bombardier Inc",Industrial,"Produits Industriels",Canada,Canada,304.9800,691694.64,,
"HAG GR EQUITY",1.04E-02,1409,"Hensoldt AG",Industrial,"Produits Industriels",Germany,Allemagne,77.6800,175756.42,,
"HO FP EQUITY",4.69E-02,2078,"Thales SA",Industrial,"Produits Industriels",France,France,238.3000,795171.07,,
"LDO IM EQUITY",4.57E-02,9534,"Leonardo SpA",Industrial,"Produits Industriels",Italy,Italie,50.6900,776047.72,,
"MRO LN EQUITY",1.69E-02,31494,"Melrose Industries PLC",Industrial,"Produits Industriels",Britain,Grande-Bretagne,485.9000,285969.3,,
"MTX GR EQUITY",4.23E-02,1292,"MTU Aero Engines AG",Industrial,"Produits Industriels",Germany,Allemagne,345.7000,717220.81,,
"RNMBY US EQUITY",6.91E-02,3590,"Rheinmetall AG",Industrial,"Produits Industriels",Germany,Allemagne,233.5400,1172849.79,,
"RYCEY US EQUITY",7.69E-02,47263,"Rolls-Royce Holdings PLC",Industrial,"Produits Industriels",Britain,Grande-Bretagne,19.7350,1304803.43,,
"SAABB SS EQUITY",4.69E-02,9123,"Saab AB",Industrial,"Produits Industriels",Sweden,Suède,612.5000,795824.39,,
"SAFRY US EQUITY",7.57E-02,9691,"Safran SA",Industrial,"Produits Industriels",France,France,94.7700,1284772.24,,
"STE SP EQUITY",2.76E-02,41955,"Singapore Technologies Engineering Ltd",Industrial,"Produits Industriels",Singapore,Singapour,10.1900,468809.09,,
"KDEF US EQUITY",7.78E-02,21424,"PLUS Korea Defense Industry Index ETF",Industrial,"Produits Industriels","South Korea","Corée Du Sud",44.0600,1320479.68,,
"BAESY US EQUITY",7.71E-02,8589,"BAE Systems PLC",Industrial,"Produits Industriels",Britain,Grande-Bretagne,108.8900,1308329.91,,
"LHX US EQUITY",9.62E-03,466,"L3Harris Technologies Inc",Industrial,"Produits Industriels","United States",États-Unis,250.4600,163271.72,,
"HWM US EQUITY",1.72E-02,922,"Howmet Aerospace Inc",Industrial,"Produits Industriels","United States",États-Unis,225.7600,291182.04,,
"RTX US EQUITY",4.55E-02,2854,"RTX Corp",Industrial,"Produits Industriels","United States",États-Unis,193.5400,772700.82,,
"HON US EQUITY",1.22E-02,714,"Honeywell International Inc",Industrial,"Produits Industriels","United States",États-Unis,206.4900,206245.23,,
"GD US EQUITY",1.84E-02,626,"General Dynamics Corp",Industrial,"Produits Industriels","United States",États-Unis,355.9500,311709.47,,
"GE US EQUITY",5.81E-02,2249,"General Electric Co",Industrial,"Produits Industriels","United States",États-Unis,313.4700,986216.15,,
"LMT US EQUITY",2.18E-02,492,"Lockheed Martin Corp",Industrial,"Produits Industriels","United States",États-Unis,538.0900,370345.18,,
"NOC US EQUITY",0.01377849,319,"Northrop Grumman Corp",Industrial,"Produits Industriels","United States",États-Unis,524.0000,233834.53,,
