TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"TD CN EQUITY",1.02E-01,1302,"Toronto-Dominion Bank/The",Financial,"Services Financiers",Canada,Canada,170.3700,221821.74,,
"SLF CN EQUITY",1.01E-01,1945,"Sun Life Financial Inc",Financial,"Services Financiers",Canada,Canada,113.1700,220115.65,,
"BMO CN EQUITY",9.80E-02,878,"Bank of Montreal",Financial,"Services Financiers",Canada,Canada,243.2400,213564.72,,
"CM CN 09/18/26 C164 EQUITY",-2.29E-06,-1,"Canadian Imperial Bank of Commerce - CALL Option",Financial,"Services Financiers",Canada,Canada,0.0450,-5,,
"GWO CN 09/18/26 C91 EQUITY",-1.21E-04,-1,"Great-West Lifeco Inc - CALL Option",Financial,"Services Financiers",Canada,Canada,2.6250,-263,,
"NA CN EQUITY",9.49E-02,980,"National Bank of Canada",Financial,"Services Financiers",Canada,Canada,211.0800,206858.4,,
"GWO CN EQUITY",1.04E-01,2412,"Great-West Lifeco Inc",Financial,"Services Financiers",Canada,Canada,93.6100,225787.32,,
"POW CN EQUITY",1.02E-01,2332,"Power Corp of Canada",Financial,"Services Financiers",Canada,Canada,94.9100,221330.12,,
"MFC CN 09/18/26 C61 EQUITY",-2.11E-04,-6,"Manulife Financial Corp - CALL Option",Financial,"Services Financiers",Canada,Canada,0.7650,-459,,
"NA CN 09/18/26 C224 EQUITY",-2.29E-06,-1,"National Bank of Canada - CALL Option",Financial,"Services Financiers",Canada,Canada,0.0450,-5,,
"BMO CN 09/18/26 C248 EQUITY",-1.84E-06,-1,"Bank of Montreal - CALL Option",Financial,"Services Financiers",Canada,Canada,0.0400,-4,,
"BNS CN 09/18/26 C124 EQUITY",-1.38E-03,-4,"Bank of Nova Scotia/The - CALL Option",Financial,"Services Financiers",Canada,Canada,7.5000,-3000,,
"CM CN 09/18/26 C166 EQUITY",-4.59E-06,-2,"Canadian Imperial Bank of Commerce - CALL Option",Financial,"Services Financiers",Canada,Canada,0.0500,-10,,
"GWO CN 09/18/26 C92 EQUITY",-4.57E-04,-6,"Great-West Lifeco Inc - CALL Option",Financial,"Services Financiers",Canada,Canada,1.6600,-996,,
"MFC CN 09/18/26 C60 EQUITY",-4.54E-04,-5,"Manulife Financial Corp - CALL Option",Financial,"Services Financiers",Canada,Canada,1.9800,-990,,
"NA CN 09/18/26 C226 EQUITY",-2.29E-06,-1,"National Bank of Canada - CALL Option",Financial,"Services Financiers",Canada,Canada,0.0500,-5,,
"POW CN 09/18/26 C94 EQUITY",-2.73E-04,-7,"Power Corp of Canada - CALL Option",Financial,"Services Financiers",Canada,Canada,0.8500,-595,,
"RY CN 09/18/26 C290 EQUITY",-9.18E-06,-2,"Royal Bank of Canada - CALL Option",Financial,"Services Financiers",Canada,Canada,0.1000,-20,,
"SLF CN 09/18/26 C112 EQUITY",-3.33E-04,-6,"Sun Life Financial Inc - CALL Option",Financial,"Services Financiers",Canada,Canada,1.2100,-726,,
"TD CN 09/18/26 C166 EQUITY",-4.11E-04,-2,"Toronto-Dominion Bank/The - CALL Option",Financial,"Services Financiers",Canada,Canada,4.4750,-895,,
"TD CN 09/18/26 C165 EQUITY",-2.66E-04,-1,"Toronto-Dominion Bank/The - CALL Option",Financial,"Services Financiers",Canada,Canada,5.8000,-580,,
"BNS CN EQUITY",1.08E-01,1782,"Bank of Nova Scotia/The",Financial,"Services Financiers",Canada,Canada,131.6600,234618.12,,
"CM CN EQUITY",9.71E-02,1330,"Canadian Imperial Bank of Commerce",Financial,"Services Financiers",Canada,Canada,159.0500,211536.5,,
"MFC CN EQUITY",1.01E-01,3557,"Manulife Financial Corp",Financial,"Services Financiers",Canada,Canada,61.7300,219573.61,,
"RY CN EQUITY",9.77E-02,747,"Royal Bank of Canada",Financial,"Services Financiers",Canada,Canada,284.9300,212842.71,,
"BMO CN 09/18/26 C246 EQUITY",-2.29E-05,-1,"Bank of Montreal - CALL Option",Financial,"Services Financiers",Canada,Canada,0.5000,-50,,
"BNS CN 09/18/26 C132 EQUITY",-2.29E-05,-1,"Bank of Nova Scotia/The - CALL Option",Financial,"Services Financiers",Canada,Canada,0.5000,-50,,
"CM CN 09/18/26 C160 EQUITY",-1.38E-05,-1,"Canadian Imperial Bank of Commerce - CALL Option",Financial,"Services Financiers",Canada,Canada,0.3000,-30,,
"NA CN 09/18/26 C216 EQUITY",-2.75E-06,-1,"National Bank of Canada - CALL Option",Financial,"Services Financiers",Canada,Canada,0.0600,-6,,
"TD CN 09/18/26 C170 EQUITY",-4.08E-05,-1,"Toronto-Dominion Bank/The - CALL Option",Financial,"Services Financiers",Canada,Canada,0.8900,-89,,
