TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"ENB CN EQUITY",9.71E-02,3400,"Enbridge Inc",Pipelines,"réseaux pipeliniers",Canada,Canada,68.1800,231812,,
"BCE CN EQUITY",1.05E-01,8045,"BCE Inc",Telecommunications,télécommunications,Canada,Canada,31.2000,251004,,
"RCI/B CN EQUITY",1.08E-01,5236,"Rogers Communications Inc",Telecommunications,télécommunications,Canada,Canada,49.1700,257454.12,,
"TRP CN EQUITY",9.95E-02,2757,"TC Energy Corp",Pipelines,"réseaux pipeliniers",Canada,Canada,86.1400,237487.98,,
"PPL CN EQUITY",1.04E-01,3734,"Pembina Pipeline Corp",Pipelines,"réseaux pipeliniers",Canada,Canada,66.6000,248684.4,,
"FTS CN EQUITY",1.00E-01,3136,"Fortis Inc/Canada",Utilities,"Services Publics",Canada,Canada,76.2200,239025.92,,
"EMA CN EQUITY",0.098900532,3422,"Emera Inc",Utilities,"Services Publics",Canada,Canada,69.0000,236118,,
"KEY CN EQUITY",9.82E-02,4359,"Keyera Corp",Energy,Énergie,Canada,Canada,53.7800,234427.02,,
"H CN EQUITY",9.44E-02,4339,"Hydro One Ltd",Utilities,"Services Publics",Canada,Canada,51.9600,225454.44,,
"BCE CN 09/18/26 C33.5 EQUITY",-1.04715E-05,-25,"BCE Inc - CALL Option",Telecommunications,télécommunications,Canada,Canada,0.0100,-25,,
"EMA CN 09/18/26 C71 EQUITY",-1.26E-05,-10,"Emera Inc - CALL Option",Utilities,"Services Publics",Canada,Canada,0.0300,-30,,
"ENB CN 09/18/26 C71 EQUITY",-2.51E-05,-10,"Enbridge Inc - CALL Option",Pipelines,"réseaux pipeliniers",Canada,Canada,0.0600,-60,,
"FTS CN 09/18/26 C78 EQUITY",-1.88E-05,-10,"Fortis Inc/Canada - CALL Option",Utilities,"Services Publics",Canada,Canada,0.0450,-45,,
"H CN 09/18/26 C55 EQUITY",-1.47E-05,-10,"Hydro One Ltd - CALL Option",Utilities,"Services Publics",Canada,Canada,0.0350,-35,,
"KEY CN 09/18/26 C60 EQUITY",-8.38E-06,-10,"Keyera Corp - CALL Option",Energy,Énergie,Canada,Canada,0.0200,-20,,
"PPL CN 09/18/26 C69 EQUITY",-1.84E-05,-11,"Pembina Pipeline Corp - CALL Option",Pipelines,"réseaux pipeliniers",Canada,Canada,0.0400,-44,,
"RCI CN 09/18/26 C52 EQUITY",-4.69E-05,-16,"Rogers Communications Inc - CALL Option",Telecommunications,télécommunications,Canada,Canada,0.0700,-112,,
"T CN 09/18/26 C14 EQUITY",-2.43E-05,-58,"TELUS Corp - CALL Option",Telecommunications,télécommunications,Canada,Canada,0.0100,-58,,
"T CN EQUITY",9.49E-02,18162,"TELUS Corp",Telecommunications,télécommunications,Canada,Canada,12.4700,226480.14,,
"TRP CN 09/18/26 C88 EQUITY",-1.34E-05,-8,"TC Energy Corp - CALL Option",Pipelines,"réseaux pipeliniers",Canada,Canada,0.0400,-32,,
"H CN 09/18/26 C54 EQUITY",-1.47E-05,-3,"Hydro One Ltd - CALL Option",Utilities,"Services Publics",Canada,Canada,0.1150,-35,,
"KEY CN 09/18/26 C61 EQUITY",-9.63E-06,-3,"Keyera Corp - CALL Option",Energy,Énergie,Canada,Canada,0.0750,-23,,
