TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"RIDTFS CCP 0 09/18/26",5.11E-02,8000000,"Rideau Trail Funding Trust","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",100.0000,8000000,,
"RITRUS CCP 0 10/27/26",0.038167716,6000000,"Ridge Trust","31 - 60 Days","31 - 60 Jours","Commercial Paper","Papier commercial",99.5905,5976057.21,,
"PLAZUS CCP 0 10/26/26",9.54E-03,1500000,"Plaza Trust","31 - 60 Days","31 - 60 Jours","Commercial Paper","Papier commercial",99.5917,1494037.05,,
"STORUS CCP 0 01/12/27",4.42E-03,700000,"Storm King Funding","91 - 120 Days","91 - 120 Jours","Commercial Paper","Papier commercial",98.7576,691378.29,,
"RELTUS CCP 0 11/10/26",0.033029295,5200000,"Reliant Trust","31 - 60 Days","31 - 60 Jours","Commercial Paper","Papier commercial",99.4417,5171518.42,,
"FUSUSA CCP 0 11/16/26",1.27E-02,2000000,"Fusion Trust","31 - 60 Days","31 - 60 Jours","Commercial Paper","Papier commercial",99.3624,1987464.52,,
"PRIMUS CCP 0 09/23/26",4.47E-02,7000000,"Prime Trust","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",99.9477,6997069.62,,
"MERSUS CCP 0 11/02/26",6.19E-02,9745000,"Merit Trust","31 - 60 Days","31 - 60 Jours","Commercial Paper","Papier commercial",99.5235,9699595.05,,
"RIDTFS CCP 0 09/21/26",3.19E-02,5000000,"Rideau Trail Funding Trust","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",99.9687,4998958.06,,
"RITRUS CCP 0 12/01/26",4.44E-02,7000000,"Ridge Trust","61 - 90 Days","61 - 90 Jours","Commercial Paper","Papier commercial",99.2039,6945028.65,,
"CANMTU CCP 0 12/03/26",0.024700003,3899000,"Canadian Master Trust","61 - 90 Days","61 - 90 Jours","Commercial Paper","Papier commercial",99.1783,3867382.48,,
"RIDTFS CCP 0 10/16/26",1.78E-02,2800000,"Rideau Trail Funding Trust","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",99.7031,2791984,,
"RITRUS CCP 0 11/20/26",1.84E-02,2900000,"Ridge Trust","61 - 90 Days","61 - 90 Jours","Commercial Paper","Papier commercial",99.3207,2880612.87,,
"PRIMUS CCP 0 11/27/26",5.58E-02,8800000,"Prime Trust","61 - 90 Days","61 - 90 Jours","Commercial Paper","Papier commercial",99.2455,8734550.81,,
"MERSUS CCP 0 11/16/26",2.54E-02,4000000,"Merit Trust","31 - 60 Days","31 - 60 Jours","Commercial Paper","Papier commercial",99.3653,3975041.53,,
"ZEUSUS CCP 0 09/18/26",1.34E-02,2100000,"Zeus Receivables Trust","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",100.0000,2100000,,
"BANTRU CCP 0 11/25/26",3.17E-02,5000000,"Banner Trust","61 - 90 Days","61 - 90 Jours","Commercial Paper","Papier commercial",99.2741,4964239.26,,
"RELTUS CCP 0 10/08/26",2.29E-02,3600000,"Reliant Trust","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",99.7930,3592922.09,,
"ZEUSUS CCP 0 03/08/27",2.51E-02,4000000,"Zeus Receivables Trust","151 - 180 Days","151 - 180 Jours","Commercial Paper","Papier commercial",98.0689,3923208.84,,
"B 11/19/26",3.49E-02,5505000,"United States Treasury Bill","61 - 90 Days","61 - 90 Jours","Cash Or Equivalent","Espèces ou équivalent",99.3458,5469567.19,,
"ENBUS CCP 0 10/13/26",9.75E-02,15300000,"Enbridge Inc","0 - 30 Days","0 - 30 Jours","Commercial Paper","Papier commercial",99.7221,15259187.99,,
"CANMTU CCP 0 03/04/27",4.21E-02,6726000,"Canadian Master Trust","151 - 180 Days","151 - 180 Jours","Commercial Paper","Papier commercial",98.0849,6597959.77,,
"LAKTUS CCP 0 01/14/27",2.52E-02,4000000,"Lakeshore Trust","91 - 120 Days","91 - 120 Jours","Commercial Paper","Papier commercial",98.6391,3946026.56,,
"LAKTUS CCP 0 01/06/27",2.52E-02,4000000,"Lakeshore Trust","91 - 120 Days","91 - 120 Jours","Commercial Paper","Papier commercial",98.7302,3949668.77,,
