TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"AAPL US EQUITY",1.14E-01,316.9731861,"Apple Inc",Technology,Technologie,"United States",États-Unis,337.0000,149430.4472,,
"GOOGL US EQUITY",4.98E-02,134.5260328,"Alphabet Inc",Technology,Technologie,"United States",États-Unis,347.3300,65363.50029,,
"AMD US EQUITY",4.95E-02,85.10830646,"Advanced Micro Devices Inc",Technology,Technologie,"United States",États-Unis,545.0900,64897.33066,,
"INTC US EQUITY",2.85E-02,245.8001631,"Intel Corp",Technology,Technologie,"United States",États-Unis,108.8000,37410.86351,,
"INTU US EQUITY",0.004996366,14.96605831,"Intuit Inc",Technology,Technologie,"United States",États-Unis,313.1300,6555.695612,,
"SNPS US EQUITY",4.32E-03,10.62491027,"Synopsys Inc",Technology,Technologie,"United States",États-Unis,381.1700,5665.400979,,
"WDC US EQUITY",0.007945823,17.5826407,"Western Digital Corp",Technology,Technologie,"United States",États-Unis,423.8700,10425.65743,,
"CRWD US EQUITY",0.014528991,55.46361744,"Crowdstrike Holdings Inc",Technology,Technologie,"United States",États-Unis,245.7000,19063.38498,,
"META US EQUITY",8.56E-02,117.607449,"Meta Platforms Inc",Technology,Technologie,"United States",États-Unis,682.3100,112254.3647,,
"MSTR US EQUITY",0.002635664,18.69270595,"Strategy Inc",Technology,Technologie,"United States",États-Unis,132.2500,3458.235144,,
"CDNS US 09/18/26 C335 EQUITY",-9.52E-07,-0.059467781,"Cadence Design Systems Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.1500,-1.248823409,,
"CRWD US 09/18/26 C205 EQUITY",-1.15E-03,-0.257693719,"Crowdstrike Holdings Inc - CALL Option",Technology,Technologie,"United States",États-Unis,41.8000,-1506.52704,,
"CRWV US 09/18/26 C91 EQUITY",-4.23E-07,-0.099112969,"CoreWeave Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.0400,-0.555032626,,
"DASH US 09/18/26 C245 EQUITY",-8.46E-07,-0.099112969,"DoorDash Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.0800,-1.110065252,,
