etf_ticker,etf_name,holding_ticker,holding_name,weight_pct,as_of_date,source,provider
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,,RBC Target 2027 Canadian Corporate Bond Index ETF,20.1452,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,,RBC Target 2028 Canadian Corporate Bond Index ETF,20.058561,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,,RBC Target 2029 Canadian Corporate Bond Index ETF,19.977614,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,,RBC Target 2030 Canadian Corporate Bond Index ETF,19.930026,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,,RBC Target 2031 Canadian Corporate Bond ETF,19.888599,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Bank of Nova Scotia,6.576501,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Toronto-Dominion Bank,6.560681,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Royal Bank of Canada,6.044122,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Bank of Montreal,5.502628,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,TC Energy Corp,4.843497,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Canadian Natural Resources Ltd,4.619603,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Manulife Financial Corp,4.5186,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Barrick Mining Corp,3.941884,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Kinross Gold Corp,3.802853,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Constellation Software Inc/Canada,3.755484,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Canadian National Railway Co,2.500229,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,George Weston Ltd,2.496073,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Lundin Gold Inc,2.388428,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Sun Life Financial Inc,2.33939,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Suncor Energy Inc,2.3341,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,RioCan Real Estate Investment Trust,2.22003,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Open Text Corp,2.2008,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,BCE Inc,2.075699,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Cameco Corp,1.940533,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,OceanaGold Corp,1.858612,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Northland Power Inc,1.729361,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Whitecap Resources Inc,1.622826,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Gibson Energy Inc,1.373303,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Aecon Group Inc,1.341048,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Atco Ltd/Canada - Class I Shares,1.339879,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Lundin Mining Corp,1.303248,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,South Bow Corp,1.284875,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Toromont Industries Ltd,1.196895,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Power Corp of Canada,1.160087,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Great-West Lifeco Inc,0.938019,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Enbridge Inc,0.917518,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
RCD,RBC Quant Canadian Dividend Leaders ETF,,Vermilion Energy Inc,0.88642,2026-09-18,RBC GAM holdings CSV (rbcgam.com),RBC GAM
