etf_ticker,holding_ticker,holding_name,weight_pct
SRIB,,Canadian Government Bonds 3.25% 06/01/2036,2.1
SRIB,,Canadian Government Bonds 3.25% 12/01/2035,1.6
SRIB,,Canadian Government Bonds 2.75% 03/01/2031,1.5
SRIB,,Canadian Government Bonds 1.25% 06/01/2030,1.5
SRIB,,Canadian Government Bonds 1.50% 06/01/2031,1.4
SRIB,,Canadian Government Bonds 2.75% 09/01/2030,1.4
SRIB,,Canadian Government Bonds 3.25% 06/01/2035,1.4
SRIB,,Canadian Government Bonds 3.00% 09/01/2031,1.3
SRIB,,Canadian Government Bonds 0.50% 12/01/2030,1.2
SRIB,,Canadian Government Bonds 2.00% 12/01/2051,1.2
SRIC,,The Toronto-Dominion Bank,9.9
SRIC,,Royal Bank of Canada,9.6
SRIC,,Shopify Inc.,8.9
SRIC,,Bank of Montreal,7.3
SRIC,,The Bank Of Nova Scotia,6.8
SRIC,,Canadian Imperial Bank Of Commerce,6.3
SRIC,,Agnico Eagle Mines Limited,5.6
SRIC,,Canadian Pacific Kansas City Limited,5.0
SRIC,,Wheaton Precious Metals Corp.,3.7
SRIC,,National Bank of Canada,3.6
SRII,,ASML holding nv COMMON STOCK EUR.09,4.8
SRII,,ROCHE HOLDING AG COMMON STOCK CHF.001,2.1
SRII,,Novartis AG reg COMMON STOCK CHF.49,2.0
SRII,,"Nestlé S.A.",1.9
SRII,,MITSUBISHI UFJ FINANCIAL GRO COMMON STOCK,1.8
SRII,,SIEMENS AG REG COMMON STOCK,1.6
SRII,,"Banco Santander, S.A.",1.4
SRII,,ALLIANZ SE REG COMMON STOCK,1.4
SRII,,SAP SE COMMON STOCK,1.3
SRII,,TOKYO ELECTRON LTD COMMON STOCK,1.3
SRIU,,NVIDIA Corporation,10.1
SRIU,,Broadcom Inc.,6.0
SRIU,,Eli Lilly and Company,3.8
SRIU,,JPMorgan Chase & Co.,3.3
SRIU,,"Advanced Micro Devices, Inc.",3.1
SRIU,,Johnson & Johnson,2.5
SRIU,,Visa Inc.,2.2
SRIU,,AbbVie Inc.,1.7
SRIU,,Mastercard Incorporated,1.6
SRIU,,"Cisco Systems, Inc.",1.5
SCDG,,"Global Real Assets Trust, Series I",
SCDG,,Royal Bank of Canada,6.1
SCDG,,The Toronto-Dominion Bank,5.2
SCDG,,Visa Inc.,4.2
SCDG,,Waste Connections Inc.,4.0
SCDG,,Microsoft Corporation,3.8
SCDG,,Canadian National Railway Company,3.5
SCDG,,Enbridge Inc.,3.4
SCDG,,Agnico Eagle Mines Limited,3.0
SCDGC,,"Global Real Assets Trust, Series I",
SCDGC,,Royal Bank of Canada,6.1
SCDGC,,The Toronto-Dominion Bank,5.2
SCDGC,,Visa Inc.,4.2
SCDGC,,Waste Connections Inc.,4.0
SCDGC,,Microsoft Corporation,3.8
SCDGC,,Canadian National Railway Company,3.5
SCDGC,,Enbridge Inc.,3.4
SCDGC,,Agnico Eagle Mines Limited,3.0
SCGG,,"Global Real Assets Trust, Series I",14.2
SCGG,,NVIDIA Corporation,3.2
SCGG,,Amphenol Corporation,3.1
SCGG,,"CrowdStrike Holdings, Inc.",2.8
SCGG,,Alphabet Inc.,2.7
SCGG,,Amazon.com Inc.,2.2
SCGG,,Apple Inc.,2.1
SCGG,,Microsoft Corporation,
SCGG,,Schneider Electric SE,
SCGG,,Visa Inc.,
SCGI,,UB Ventures I LP,11.9
SCGI,,Microsoft Corporation,
SCGI,,"Global Real Assets Trust, Series I",3.5
SCGI,,Brookfield Infrastructure Partners L.P.,3.1
SCGI,,Waste Connections Inc.,3.0
SCGI,,Helios Towers PLC,
SCGI,,Mastercard Incorporated,
SCGI,,Visa Inc.,2.9
SCGI,,Aecon Group Inc.,2.8
SCGR,,"Global Real Assets Trust, Series I",
SCGR,,"Brookfield Office Properties Inc., Preferred Shares, 5.15%, Series P",
SCGR,,Chartwell Retirement Residences,4.6
SCGR,,Welltower Inc.,4.5
SCGR,,Ventas Inc.,
SCGR,,Prologis Inc.,4.1
SCGR,,Granite Real Estate Investment Trust,4.0
SCGR,,"American Healthcare REIT, Inc.",
SCGR,,Helios Towers PLC,
SCNA,,"Global Real Assets Trust, Series I",12.0
SCNA,,Amazon.com Inc.,4.0
SCNA,,Visa Inc.,
SCNA,,Alphabet Inc.,
SCNA,,McKesson Corporation,3.7
SCNA,,Mastercard Incorporated,
SCNA,,The TJX Companies Inc.,
SCNA,,Palo Alto Networks Inc.,3.3
SCNA,,NVIDIA Corporation,3.2
SCNA,,Microsoft Corporation,
SCNAE,,"Global Real Assets Trust, Series I",12.0
SCNAE,,Amazon.com Inc.,4.0
SCNAE,,Visa Inc.,
SCNAE,,Alphabet Inc.,
SCNAE,,McKesson Corporation,3.7
SCNAE,,Mastercard Incorporated,
SCNAE,,The TJX Companies Inc.,
SCNAE,,Palo Alto Networks Inc.,3.3
SCNAE,,NVIDIA Corporation,3.2
SCNAE,,Microsoft Corporation,
LYCT,,Government Of Canada 2.000% 01-Jun-2028 Ser H235,48.6
LYCT,,Government Of Canada 0.500% 01-Dec-2030 Bd Ser L443,10.8
LYCT,,Government Of Canada 2.250% 01-Jun-2029 Ser J397,9.6
LYCT,,Metropolitan Life Global Fdg I 1.950% 20-Mar-2028 Restricted,4.6
LYCT,,Canadian Government Bond 1.000% 01-Jun-2027 Ser F825,4.3
LYCT,,Honda Canada Finance Inc 1.646% 25-Feb-2028 Restricted,4.2
LYCT,,Hydro One Inc 3.020% 05-Apr-2029 Mtn Ser 43,4.0
LYCT,,Toronto-Dominion Bank/The 1.888% 03/08/2028 Dd 03/08/21,3.8
LYCT,,Bank Of Nova Scotia 3.100% 02-Feb-2028 Sr Dep Nts,3.7
LYCT,,Enbridge Gas Inc 2.370% 09-Aug-2029 Mtn,3.6
LYFR,,CANADA HOUSING TRUST NO 1 VAR RT 15-MAR-2027,22.6
LYFR,,METROPOLITAN LIFE GLOBAL FUNDING I,9.3
LYFR,,ROYAL BANK OF CANADA,8.8
LYFR,,PACIFIC LIFE GLOBAL FUNDING II,7.7
LYFR,,BANK OF AMERICA CORP VAR RT 15-SEP-2027 RESTRICTED,7.5
LYFR,,HYDRO ONE INC,7.0
LYFR,,ENBRIDGE INC VAR RT,6.9
LYFR,,TOYOTA CREDIT CANADA INC,6.3
LYFR,,VW CREDIT CANADA INC 4.917669,6.2
LYFR,,BANK OF NOVA SCOTIA/THE,5.8
PR,,Bank Of Montreal $1000 Preferred 7.057%,7.4
PR,,Royal Bank $1000 Preferred 7.4%,6.2
PR,,CIBC $1000 Preferred 7.337%,5.9
PR,,TD Bank $1000 Preferred 7.23%,5.1
PR,,IAF $1000 Preferred 6.435%,4.2
PR,,"Canada Treasury July 1, 2030",4.0
PR,,TD Bank $1000 Preferred 5.75%,3.7
PR,,Royal Bank $1000 Preferred 6.7%,3.1
PR,,Bank Of Montreal $1000 Preferred 7.373%,2.3
PR,,"Industrial Alliance 6.92% LRCN",2.3
