etf_ticker,holding_name,weight_pct
TCSB,"Federation des caisses Desjardins du Quebec Variable Rate Callable 5.279% May 15 2034",2.6
TCSB,"Brookfield Renewable Partners ULC Callable 3.630% Jan 15 2027",2.5
TCSB,"RioCan Real Estate Investment Trust Callable 5.455% Mar 1 2031",2.5
TCSB,"TELUS Corporation Callable 4.950% Feb 18 2031",2.5
TCSB,"Hyundai Capital Canada Inc. Callable 5.565% Mar 8 2028",2.5
TCSB,"Royal Bank of Canada Variable Rate Callable 2.940% May 3 2032",2.5
TCSB,"Rogers Communications Inc. Callable 5.800% Sep 21 2030",2.5
TCSB,"Bell Canada Callable 3.800% Aug 21 2028",2.4
TCSB,"Canadian Imperial Bank of Commerce Variable Rate Callable 5.300% Jan 16 2034",2.4
TCSB,"Saputo Inc. Callable 5.492% Nov 20 2030",2.3
TCSB,"Emera Inc. Callable 4.838% May 2 2030",2.3
TCSB,"National Bank of Canada Variable Rate Callable 5.279% Feb 15 2034",2.2
TCSB,"ARC Resources Limited Callable 3.465% Mar 10 2031",2.0
TCSB,"The Bank of Nova Scotia Variable Rate Callable 5.679% Aug 2 2033",2.0
TCSB,"Toyota Credit Canada Inc. 3.740% May 21 2030",2.0
TCSB,"Inter Pipeline Limited Callable Series 15 5.760% Feb 17 2028",1.9
TCSB,"National Bank of Canada Variable Rate Callable 5.426% Aug 16 2032",1.9
TCSB,"Inter Pipeline Limited Callable Series 11 4.232% Jun 1 2027",1.9
TCSB,"Granite REIT Holdings Limited Partnership Callable 3.999% Oct 4 2029",1.8
TCSB,"Allied Properties Real Estate Investment Trust Callable Series G 3.131% May 15 2028",1.7
TCSB,"The Toronto-Dominion Bank Variable Rate Callable 3.060% Jan 26 2032",1.7
TCSB,"Pembina Pipeline Corporation Callable Series 15 3.310% Feb 1 2030",1.6
TCSB,"SmartCentres Real Estate Investment Trust Callable 5.162% Aug 1 2030",1.6
TCSB,"Ford Credit Canada Company Callable 5.582% May 23 2031",1.6
TCSB,"TELUS Corporation Callable 2.350% Jan 27 2028",1.5
TCSH,"Manulife Bank of Canada 2.860% Feb 16 2027",2.2
TCSH,"Canadian Imperial Bank of Commerce 4.950% Jun 29 2026",2.1
TCSH,"Toronto-Dominion Bank 5.419% Jul 10 2026",2.0
TCSH,"Canadian Imperial Bank of Commerce 5.280% Nov 15 2028",2.0
TCSH,"Bank of Nova Scotia 5.500% Aug 5 2028",1.9
TCSH,"National Bank of Canada 5.222% Feb 14 2028",1.9
TCSH,"Bank of Nova Scotia 4.850% Oct 31 2025",1.8
TCSH,"National Bank of Canada 5.019% Feb 7 2028",1.8
TCSH,"Canadian Imperial Bank of Commerce 5.349% Apr 20 2028",1.8
TCSH,"Bank of Nova Scotia 4.700% Aug 1 2028",1.7
TCSH,"Royal Bank of Canada 4.927% Jul 16 2025",1.7
TCSH,"Bank of Montreal 4.041% Mar 24 2027",1.7
TCSH,"Bank of Montreal 5.039% Jul 29 2026",1.7
TCSH,"Bank of Montreal 4.537% Dec 18 2028",1.6
TCSH,"National Bank of Canada 5.260% Jun 20 2025",1.5
TCSH,"Bank of Nova Scotia 5.347% Jun 23 2026",1.5
TCSH,"National Bank of Canada 4.978% Jun 15 2026",1.5
TCSH,"National Bank of Canada 5.020% Feb 4 2026",1.4
TCSH,"Bank of Montreal 5.312% Jan 14 2027",1.4
TCSH,"Royal Bank of Canada 5.096% Jul 24 2026",1.4
TCSH,"Bank of Nova Scotia 5.653% Aug 20 2026",1.4
TCSH,"Laurentian Bank of Canada 4.290% Aug 13 2025",1.3
TCSH,"Toronto-Dominion Bank 5.216% Jul 17 2026",1.3
TCSH,"Laurentian Bank of Canada 5.200% Dec 12 2025",1.3
TCSH,"Bank of Montreal 5.281% Aug 7 2026",1.2
TDOC,"Johnson & Johnson",2.6
TDOC,"Gilead Sciences Inc.",2.5
TDOC,"Pfizer Inc.",2.5
TDOC,"Merck & Company Inc.",2.5
TDOC,"Bristol-Myers Squibb Company",2.4
TDOC,"GSK PLC",2.4
TDOC,"Novartis AG",2.3
TDOC,"McKesson Corporation",2.3
TDOC,"Amgen Inc.",2.3
TDOC,"AstraZeneca PLC",2.2
TDOC,"Sanofi",2.2
TDOC,"AbbVie Inc.",2.1
TDOC,"Roche Holding AG",2.1
TDOC,"Vertex Pharmaceuticals Inc.",2.1
TDOC,"Regeneron Pharmaceuticals Inc.",2.0
TDOC,"Stryker Corporation",2.0
TDOC,"HCA Healthcare Inc.",2.0
TDOC,"Medtronic PLC",1.9
TDOC,"Eli Lilly & Company",1.8
TDOC,"The Cigna Group",1.8
TDOC,"Abbott Laboratories",1.8
TDOC,"Danaher Corporation",1.8
TDOC,"Thermo Fisher Scientific Inc.",1.8
TDOC,"UnitedHealth Group Inc.",1.8
TDOC,"Intuitive Surgical Inc.",1.7
TEC,"NVIDIA Corporation",13.0
TEC,"Apple Inc.",11.7
TEC,"Alphabet Inc.",10.0
TEC,"Microsoft Corporation",8.7
TEC,"Amazon.com Inc.",6.4
TEC,"Broadcom Inc.",4.6
TEC,"Meta Platforms Inc.",4.0
TEC,"Tesla Inc.",3.5
TEC,"Visa Inc.",1.6
TEC,"ASML Holding NV",1.6
TEC,"Netflix Inc.",1.4
TEC,"Mastercard Inc.",1.3
TEC,"Micron Technology Inc.",1.2
TEC,"Advanced Micro Devices Inc.",1.1
TEC,"Palantir Technologies Inc.",1.0
TEC,"Cisco Systems Inc.",1.0
TEC,"Applied Materials Inc.",0.9
TEC,"Lam Research Corporation",0.9
TEC,"Oracle Corporation",0.8
TEC,"International Business Machines Corporation",0.7
TEC,"Intel Corporation",0.6
TEC,"KLA Corporation",0.6
TEC,"Texas Instruments Inc.",0.6
TEC,"SAP SE",0.6
TEC,"Salesforce Inc.",0.6
TECI,"KLA Corporation",11.2
TECI,"Analog Devices Inc.",10.3
TECI,"Arista Networks Inc.",8.5
TECI,"Shopify Inc.",7.3
TECI,"Advantest Corporation",6.1
TECI,"Marvell Technology Inc.",5.5
TECI,"Seagate Technology Holdings PLC",5.5
TECI,"Autodesk Inc.",3.4
TECI,"Monolithic Power Systems Inc.",3.3
TECI,"Lumentum Holdings Inc.",3.2
TECI,"Fujikura Limited",2.5
TECI,"Coherent Corporation",2.3
TECI,"ASM International NV",2.3
TECI,"Strategy Inc.",2.2
TECI,"Workday Inc.",1.8
TECI,"Veeva Systems Inc.",1.7
TECI,"Nebius Group NV",1.4
TECI,"MongoDB Inc.",1.3
TECI,"Lasertec Corporation",1.1
TECI,"MACOM Technology Solutions Holdings Inc.",1.0
TECI,"Okta Inc.",0.9
TECI,"Nova Limited",0.8
TECI,"Guidewire Software Inc.",0.8
TECI,"QXO Inc.",0.8
TECI,"Advanced Energy Industries Inc.",0.8
TECX,"NVIDIA Corporation",13.0
TECX,"Apple Inc.",11.7
TECX,"Alphabet Inc.",10.0
TECX,"Microsoft Corporation",8.7
TECX,"Amazon.com Inc.",6.4
TECX,"Broadcom Inc.",4.6
TECX,"Meta Platforms Inc.",4.0
TECX,"Tesla Inc.",3.5
TECX,"Visa Inc.",1.6
TECX,"ASML Holding NV",1.6
TECX,"Netflix Inc.",1.4
TECX,"Mastercard Inc.",1.3
TECX,"Micron Technology Inc.",1.2
TECX,"Advanced Micro Devices Inc.",1.1
TECX,"Palantir Technologies Inc.",1.0
TECX,"Cisco Systems Inc.",1.0
TECX,"Applied Materials Inc.",0.9
TECX,"Lam Research Corporation",0.9
TECX,"Oracle Corporation",0.8
TECX,"International Business Machines Corporation",0.7
TECX,"Intel Corporation",0.6
TECX,"KLA Corporation",0.6
TECX,"Texas Instruments Inc.",0.6
TECX,"SAP SE",0.6
TECX,"Salesforce Inc.",0.6
TEQT,"TD U.S. Equity Index ETF (TPU)",55.1
TEQT,"TD Canadian Equity Index ETF",25.5
TEQT,"TD International Equity Index ETF",19.3
TEQT,"Cash (Bank Overdraft)",0.0
TGED,"NVIDIA Corporation",5.9
TGED,"Alphabet Inc.",4.1
TGED,"GE Vernova Inc.",3.5
TGED,"ACS Actividades de Construccion y Servicios SA",3.4
