TICKER,HOLDING_TICKER,HOLDING_NAME,WEIGHT_PCT,AS_OF_DATE
TBAL,,TD Canadian Aggregate Bond Index ETF (TDB),40.08,2026-03-31
TBAL,,TD U.S. Equity Index ETF (TPU),25.18,2026-03-31
TBAL,,TD Canadian Equity Index ETF (TTP),19.85,2026-03-31
TBAL,,TD International Equity Index ETF (TPE),14.81,2026-03-31
TBAL,,Cash,0.09,2026-03-31
TBCF,,Bank of Nova Scotia 1.85% 02-Nov-2026,9.41,2026-03-31
TBCF,,Ford Credit Canada Co 6.33% 10-Nov-2026,9.24,2026-03-31
TBCF,,Suncor Energy Inc 5.40% 17-Nov-2026,9.06,2026-03-31
TBCF,,Sun Life Financial Inc 2.46% 18-Nov-2026,8.89,2026-03-31
TBCF,,iA Financial Corp Inc 3.07% 24-Sep-2031,8.89,2026-03-31
TBCF,,Rogers Communications Inc 5.65% 21-Sep-2026,8.16,2026-03-31
TBCF,,Royal Bank of Canada 2.14% 03-Nov-2026,8.04,2026-03-31
TBCF,,North West Redwater Partnershp 2.00% 01-Nov-2026,7.83,2026-03-31
TBCF,,Lower Mattagami Energy LP 2.31% 21-Oct-2026,6.79,2026-03-31
TBCF,,National Bank of Canada 3.64% 07-Oct-2026,5.96,2026-03-31
TBCF,,Toronto-Dominion Bank 4.68% 08-Sep-2028,4.84,2026-03-31
TBCF,,Manulife Bank of Canada 1.34% 26-Feb-2026,4.83,2026-03-31
TBCF,,Enbridge Inc 3.05% 19-Nov-2026,4.69,2026-03-31
TBCF,,Loblaw Companies Ltd 4.49% 17-Dec-2026,3.67,2026-03-31
TBCF,,Bell Canada 5.52% 29-Sep-2026,3.34,2026-03-31
TBCF,,Canadian Imperial Bank Commerce 4.95% 29-Jun-2026,2.98,2026-03-31
TBCF,,Allied Properties Real Estate 3.31% 02-Nov-2026,2.89,2026-03-31
TBCF,,Cash (Bank Overdraft),0.3,2026-03-31
TBCG,,Dream Industrial REIT 2.06% 17-Jun-2027,4.77,2026-03-31
TBCG,,iA Financial Corp Inc 3.19% 25-Feb-2032,4.61,2026-03-31
TBCG,,Sun Life Financial Inc 2.58% 10-May-2027,4.48,2026-03-31
TBCG,,Cameco Corp 2.95% 21-Oct-2027,4.19,2026-03-31
TBCG,,National Bank of Canada 1.82% 16-Oct-2027,4.19,2026-03-31
TBCG,,Dollarama Inc 1.51% 20-Sep-2027,4.14,2026-03-31
TBCG,,Royal Bank of Canada 2.94% 03-May-2027,3.87,2026-03-31
TBCG,,Enbridge Gas Inc 2.88% 22-Nov-2027,3.85,2026-03-31
TBCG,,Saputo Inc 2.24% 07-Apr-2027,3.79,2026-03-31
TBCG,,JPMorgan Chase & Co 1.90% 05-Mar-2027,3.68,2026-03-31
TBCG,,Bank of Nova Scotia 1.40% 01-Nov-2027,3.54,2026-03-31
TBCG,,Hydro One Ltd 1.41% 15-Oct-2027,3.38,2026-03-31
TBCG,,Gibson Energy Inc 2.85% 14-Jul-2027,3.37,2026-03-31
TBCG,,Bell Canada 1.65% 16-Jun-2027,3.26,2026-03-31
TBCG,,SmartCentres REIT 3.19% 11-Jun-2027,3.23,2026-03-31
TBCG,,John Deere Financial Inc 1.34% 08-Sep-2027,3.2,2026-03-31
TBCG,,Hyundai Capital Canada Inc 3.20% 16-Feb-2027,3.03,2026-03-31
TBCG,,Choice Properties REIT 2.85% 21-May-2027,2.99,2026-03-31
TBCG,,General Motors Fncl Canada Ltd 3.15% 08-Jan-2027,2.83,2026-03-31
TBCG,,North West Redwater Partnershp 2.80% 01-Mar-2027,2.79,2026-03-31
TBCG,,Granite REIT Holdings LP 3.06% 04-Jun-2027,2.57,2026-03-31
TBCG,,Rogers Communications Inc 3.65% 31-Jan-2027,2.57,2026-03-31
TBCG,,First Capital Realty Inc 3.75% 12-Jul-2027,2.4,2026-03-31
TBCG,,AltaGas Ltd - Common,2.22,2026-03-31
TBCG,,Metro Inc 3.39% 06-Dec-2027,2.11,2026-03-31
TBCG,,Allied Properties REIT 3.11% 08-Apr-2027,1.94,2026-03-31
TBCG,,Toronto-Dominion Bank 3.06% 26-Jan-2027,1.72,2026-03-31
TBCG,,Manulife Bank of Canada 2.86% 16-Feb-2027,1.71,2026-03-31
TBCG,,Enbridge Inc 3.20% 08-Mar-2027,1.69,2026-03-31
TBCG,,Bank of Nova Scotia 2.95% 08-Mar-2027,1.68,2026-03-31
TBCG,,Brookfield Renewable Ptnrs ULC 3.63% 15-Oct-2026,1.67,2026-03-31
TBCG,,Inter Pipeline Ltd 4.23% 01-Apr-2027,1.4,2026-03-31
TBCG,,Bank of Nova Scotia 3.93% 03-May-2027,1.18,2026-03-31
TBCG,,Crombie REIT 3.92% 21-Jun-2027,0.76,2026-03-31
TBCG,,Bank of America Corp 3.62% 16-Mar-2027,0.63,2026-03-31
TBCG,,CASH,0.34,2026-03-31
