ticker,etf_name,provider,source
DCU,Desjardins Canadian Universe Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DACU,Desjardins Active Canadian Bond Universe ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-launches-three-new-actively-managed-etfs-834202219.html
DCS,Desjardins Canadian Short Term Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DCC,Desjardins 1-5 Year Laddered Canadian Corporate Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DCG,Desjardins 1-5 Year Laddered Canadian Government Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DCBC,Desjardins Canadian Corporate Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DUIG,Desjardins US Investment Grade Corporate Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DGGB,Desjardins Global Government Bond Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DCP,Desjardins Canadian Preferred Share Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DMQC,Desjardins Quebec Equity ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DACL,Desjardins Canadian Equity Leaders ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-launches-three-new-actively-managed-etfs-834202219.html
DAGL,Desjardins Global Opportunities ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-launches-three-new-actively-managed-etfs-834202219.html
DMEC,Desjardins Canadian Equity Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DMEU,Desjardins American Equity Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DMEI,Desjardins International Equity Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DMEE,Desjardins Emerging Markets Equity Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DMID,Desjardins American Mid Cap Equity Index ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DRFC,Desjardins RI Canada Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DRFU,Desjardins RI USA Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DRFD,Desjardins RI Developed ex-USA ex-Canada Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DRFE,Desjardins RI Emerging Markets Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DRMC,Desjardins RI Canada - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-september-and-q3-2026-cash-distributions-for-some-etfs-882767541.html
DRMU,Desjardins RI USA - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-june-and-second-quarter-of-2026-cash-distributions-for-some-etfs-821804357.html
DRMD,Desjardins RI Developed ex-USA ex-Canada - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-june-and-second-quarter-of-2026-cash-distributions-for-some-etfs-821804357.html
DRME,Desjardins RI Emerging Markets - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-estimated-december-2025-cash-distributions-for-desjardins-etfs-827599384.html
DRFG,Desjardins RI Global Multifactor - Fossil Fuel Reserves Free ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
DRCU,Desjardins RI Active Canadian Bond - Net-Zero Emissions Pathway ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
DANC,Desjardins Market Neutral ETF - CA$ Hedged Units,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
DANC.U,Desjardins Market Neutral ETF - US$ Hedged Units,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
DAMG,Desjardins Absolute Return Global Equity Markets ETF - CA$ Hedged Units,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
DAMG.U,Desjardins Absolute Return Global Equity Markets ETF - US$ Hedged Units,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
DGLM,Desjardins Global Macro ETF,Desjardins,https://www.newswire.ca/news-releases/desjardins-announces-2025-estimated-annual-reinvested-distributions-for-desjardins-etfs-821804357.html
TERM,Manulife Smart Short-Term Bond ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
BSKT,Manulife Smart Core Bond ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
CBND,Manulife Smart Corporate Bond ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
GBND,Manulife Smart Global Bond ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
CYLD,Manulife Smart Enhanced Yield ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UYLD,Manulife Smart U.S. Enhanced Yield ETF - Hedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UYLD.B,Manulife Smart U.S. Enhanced Yield ETF - Unhedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UYLD.U,Manulife Smart U.S. Enhanced Yield ETF - US Dollar,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
BYLD,Manulife Smart Enhanced Yield Bond Fund ETF - Hedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
BYLD.B,Manulife Smart Enhanced Yield Bond Fund ETF - Unhedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
CDIV,Manulife Smart Dividend ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UDIV,Manulife Smart U.S. Dividend ETF - Hedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UDIV.B,Manulife Smart U.S. Dividend ETF - Unhedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UDIV.U,Manulife Smart U.S. Dividend ETF - US Dollar,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
IDIV.B,Manulife Smart International Dividend ETF - Unhedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
CDEF,Manulife Smart Defensive Equity ETF,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UDEF,Manulife Smart U.S. Defensive Equity ETF - Hedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UDEF.B,Manulife Smart U.S. Defensive Equity ETF - Unhedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
UDEF.U,Manulife Smart U.S. Defensive Equity ETF - US Dollar,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
IDEF.B,Manulife Smart International Defensive Equity ETF - Unhedged,Manulife Investments,https://www.tradingview.com/news/prnewswire:123528fa87644:0-manulife-investments-announces-june-2026-cash-distributions-for-manulife-exchange-traded-funds-and-etf-series-of-manulife-funds/
MCLC,Manulife Multifactor Canadian Large Cap Index ETF,Manulife Investments,https://pr.chestercounty.com/article/Manulife-Investments-Announces-June-2026-Cash-Distributions-for-Manulife-Exchange-Traded-Funds-and-ETF-Series-of-Manulife-Funds/6a3a6f13564d536c69a531ce
MULC,Manulife Multifactor U.S. Large Cap Index ETF - Hedged,Manulife Investments,https://pr.chestercounty.com/article/Manulife-Investments-Announces-June-2026-Cash-Distributions-for-Manulife-Exchange-Traded-Funds-and-ETF-Series-of-Manulife-Funds/6a3a6f13564d536c69a531ce
MULC.B,Manulife Multifactor U.S. Large Cap Index ETF - Unhedged,Manulife Investments,https://pr.chestercounty.com/article/Manulife-Investments-Announces-June-2026-Cash-Distributions-for-Manulife-Exchange-Traded-Funds-and-ETF-Series-of-Manulife-Funds/6a3a6f13564d536c69a531ce
MUMC,Manulife Multifactor U.S. Mid Cap Index ETF - Hedged,Manulife Investments,https://pr.chestercounty.com/article/Manulife-Investments-Announces-June-2026-Cash-Distributions-for-Manulife-Exchange-Traded-Funds-and-ETF-Series-of-Manulife-Funds/6a3a6f13564d536c69a531ce
MUMC.B,Manulife Multifactor U.S. Mid Cap Index ETF - Unhedged,Manulife Investments,https://pr.chestercounty.com/article/Manulife-Investments-Announces-June-2026-Cash-Distributions-for-Manulife-Exchange-Traded-Funds-and-ETF-Series-of-Manulife-Funds/6a3a6f13564d536c69a531ce
